"PathwayKey","Database","ID","Description","RNA_setSize","RNA_NES","RNA_pvalue","RNA_padj","RNA_leadingEdge","Protein_setSize","Protein_NES","Protein_pvalue","Protein_padj","Protein_leadingEdge","DirectionPattern","RNANominal","ProteinNominal","RNAFDR","ProteinFDR","EvidencePattern","JointNominalP","EvidenceRank"
"GO BP:GO:0038061","GO BP","GO:0038061","non-canonical NF-kappaB signal transduction",122,-1.52954909416625,0.00455165197544791,0.0620356216787623,"266692/19697/19106/66824/72565/240354/58994/57373/22032/378425/142980/110829/20375/23892/107607/230738/384309/19766/12654/12524/23802/24088/12034/72674/69097/56722/110784/21687/11848/19698/56496/24105/16173/171285/18033/18673/16202/83433/236511/18477/18034/16792/16179/215653/11651/70097/27050",55,0.724159170882892,0.934102141680395,1,"11820/19245/11797/27050/12675/26409/67027/18033/23802/54446/110829/12317/19043/24105/57321/12333","Opposite",TRUE,FALSE,FALSE,FALSE,"RNA nominal P only",0.934102141680395,2
"GO BP:GO:0070507","GO BP","GO:0070507","regulation of microtubule cytoskeleton organization",159,1.6561178232769,0.000130362887394237,0.00463819024638526,"67300/13424/99512/56637/108079/18472/17755/75786/18479/328108/13640/14544/26419/212307/76686/73420/227634/14677/230101/213582/83679/140810/56430/76707/58522/13191/15505/170835/20479/22153/16800/69697/16765/17762/17760/12569/76499/20257/54126/74187/260315/17475/100986/12562/20460/67886/108989/19822/229589/68942/240121/13728/72948/20393/29877",110,0.762277709323814,0.934169278996865,1,"83679/27050/67886/68942/100732/105787/67064/17762/75608/18226/72948/330938/12569/19353/13640/277468/15505","Both up",TRUE,FALSE,TRUE,FALSE,"RNA nominal P only",0.934169278996865,2
"KEGG:mmu04723","KEGG","mmu04723","Retrograde endocannabinoid signaling",146,-1.58265129536376,0.00122651312774062,0.0116353002118097,"14707/17992/225887/16521/14405/407790/54405/67130/75406/66416/78330/18797/595136/230075/407785/57249/14799/68375/16439/104130/14701/66377/68342/67264/66916/14678/68198/66414/66091/17991/66218/14404/14700/67184/17720/17719/68202/17717/17721/17722/17718/17716",120,0.762049072140792,0.93423019431988,1,"14702/14073/70316/66082/26420/14802/140919/14700/14704/14682/16524/14800/16519/14394/69875/11515/17991/432530/14401/595136/116837/11514/26419/110886/26416/269060/230075/100041273/231871/17717/14402/14681","Opposite",TRUE,FALSE,TRUE,FALSE,"RNA nominal P only",0.93423019431988,2
"GO BP:GO:0060048","GO BP","GO:0060048","cardiac muscle contraction",129,1.45353619183896,0.00923115278476548,0.0971520932228635,"20265/11938/14219/238161/20541/56717/238871/16480/11928/170762/232975/12293/109676/13383/20855/18578/11548/242202/11554/12289/433809/12291/22003/11931/230899/24052/12288/72821/330953/100986/18706/16511/57442/21954/11549/227753/22226/74166/108058/13405/12652/16518/17901/83814/21393/17888",62,0.729941452748515,0.934453781512605,1,"56188/20648/21924/18706/26399","Both up",TRUE,FALSE,FALSE,FALSE,"RNA nominal P only",0.934453781512605,2
"GO BP:GO:1902751","GO BP","GO:1902751","positive regulation of cell cycle G2/M phase transition",32,1.43701820673633,0.039680048484199,0.240200598839464,"11820/76843/216021/53869/57261/20479/18514/67141/20133/237877/22410/108058",16,0.62365235508706,0.935304990757856,1,"11820/382985","Both up",TRUE,FALSE,FALSE,FALSE,"RNA nominal P only",0.935304990757856,2
"GO BP:GO:0071826","GO BP","GO:0071826","protein-RNA complex organization",176,-1.76676015611636,1.90705810185324e-05,0.000980145304595189,"20826/68077/100503670/67332/69902/67941/50783/68011/236511/16573/107686/110954/75617/20103/20104/68193/105244208/268449/11837/19988/54127/22121/67671/16785/20044/20085/67025/20054/14109",137,0.779496911679935,0.935435435435435,1,"224619/75617/20901/231386/26908/54127/20085/57837/67671/269061/20103/100503670/53975/268449/20595/68995/20641","Opposite",TRUE,FALSE,TRUE,FALSE,"RNA nominal P only",0.935435435435435,2
"GO BP:GO:0022411","GO BP","GO:0022411","cellular component disassembly",449,1.42724202969256,0.000110100570504983,0.00410869423108006,"11938/76055/14219/99512/104015/100502841/21916/107338/56637/108079/18472/17755/217207/225326/53972/14086/12176/244962/77573/50754/212307/194401/235072/14089/18708/14853/20404/72685/245860/74006/73420/20740/230895/269275/227634/13347/74374/20742/208691/14852/102058/15481/140810/56422/15194/269523/20588/17957/75909/77987/76707/76559/58522/12421/93760/228361/13191/13829/110380/211323/94178/71742/20479/26926/75669/16593/54723/22351/270086/16800/66270/20586/18195/83797/11472/69697/15251/16765/72175/22003/67453/235130/209815/13368/83431/106042/76561/76499/20257/231580/21809/67727/74187/260315/208194/232227/54636/74244/14489/13482/15944/319801/67391/18706/67886/51897/269254/227753/116733/106064/99412/19305/16337/68942/72349/56085/22333/24015/14063/210933/213556/20393/106583/29877/320878/80743/11518/320869/23794/192119/208158/11827",312,-0.853781674837367,0.936170212765957,1,"59026/106583/11789/67588/170731/20833/66437/244962/56208/68041/66905/74244/320878/114741/99412/227753/57028/26921/226519/268396/83431/16573/67998/20586/78610/260315/56431/51800/14086/14219/18826/17754/17755/22333/12266/319801/18815/77044/65970/329015/106025/11783/66454/11472/54194","Opposite",TRUE,FALSE,TRUE,FALSE,"RNA nominal P only",0.936170212765957,2
"GO BP:GO:0042921","GO BP","GO:0042921","glucocorticoid receptor signaling pathway",16,1.74898894192111,0.00976353967619633,0.100715277570389,"109593/17978/12753/93760/11865/17999/19060/22629/14815",12,0.598417399251678,0.936448598130841,1,"12064/17978","Both up",TRUE,FALSE,FALSE,FALSE,"RNA nominal P only",0.936448598130841,2
"GO BP:GO:0010971","GO BP","GO:0010971","positive regulation of G2/M transition of mitotic cell cycle",29,1.51962643756406,0.0154276119567526,0.132439472603029,"11820/76843/216021/53869/57261/20479/18514/67141/20133/22410/108058",15,0.620565980490585,0.936567164179104,1,"11820/382985","Both up",TRUE,FALSE,FALSE,FALSE,"RNA nominal P only",0.936567164179104,2
"GO BP:GO:1904262","GO BP","GO:1904262","negative regulation of TORC1 signaling",40,1.89081031132789,0.000208746659768556,0.00636677312294096,"18099/108079/97998/320311/277854/110616/22215/11920/56480/270802/18749/56032/22628/22631/252870",29,0.66711891330926,0.937062937062937,1,"277854/105787/18099/80909/22631","Both up",TRUE,FALSE,TRUE,FALSE,"RNA nominal P only",0.937062937062937,2
