"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","Evidence","FDRSignificant","PathwayKey"
"GO:0060426","lung vasculature development",11,0.557222177661685,1.43527211232305,0.105831533477322,0.403754340277778,0.349302304740216,2332,"tags=45%, list=12%, signal=40%","15227/12159/16000/12168/12156","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:0060426"
"GO:0001942","hair follicle development",108,-0.305672919796401,-1.24018502756828,0.105845181674566,0.403754340277778,0.349302304740216,2587,"tags=20%, list=13%, signal=18%","83925/14178/20672/22061/70300/12614/241639/494504/14633/14419/16870/18053/433759/235505/21808/319757/11651/20682/223227/18128/66042/13167","GO BP","Transcriptomics","Down","Not significant",FALSE,"GO BP:GO:0001942"
"GO:0051354","negative regulation of oxidoreductase activity",25,-0.447166338199808,-1.37361606514099,0.105902777777778,0.403754340277778,0.349302304740216,2699,"tags=36%, list=14%, signal=31%","54683/12389/13115/14870/18033/11754/13492/50873/17751","GO BP","Transcriptomics","Down","Not significant",FALSE,"GO BP:GO:0051354"
"GO:0009615","response to virus",358,0.224297309448649,1.12085513803666,0.106060606060606,0.403970979696226,0.349489727241011,3791,"tags=23%, list=20%, signal=18%","107338/13211/13204/319955/16172/72179/69807/12176/234311/19094/20847/15519/213211/58801/71586/78933/98999/15481/70428/20846/56480/14042/56417/15958/233490/11909/13052/24014/101613/15957/235626/72162/104721/26939/20597/15251/17973/15959/117198/16396/14265/18854/214158/69192/26943/13205/68039/211948/18983/242691/12043/16159/74244/27041/15944/667823/28185/107569/223752/72354/56085/67775/21822/17874/14063/230073/67040/67917/52513/66141/67486/192119/209200/16145/19280/67065/72935/100689/14349/67005/94088","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:0009615"
"GO:0006882","intracellular zinc ion homeostasis",27,-0.434389422618485,-1.3549815851231,0.106086956521739,0.403970979696226,0.349489727241011,3377,"tags=37%, list=18%, signal=31%","74772/217356/106957/72027/109108/17750/226781/230810/17748/17751","GO BP","Transcriptomics","Down","Not significant",FALSE,"GO BP:GO:0006882"
"GO:0051492","regulation of stress fiber assembly",99,0.2927714488041,1.23383272656519,0.106267029972752,0.404051584791623,0.349559461588823,2404,"tags=24%, list=13%, signal=21%","14219/16423/19878/18479/56717/18708/17926/76707/243725/11806/102774/399591/80880/16765/22003/68760/76499/268970/242553/21809/236266/50768/14744/19062","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:0051492"
"GO:0032944","regulation of mononuclear cell proliferation",260,-0.262023542241303,-1.18207845820709,0.106442577030812,0.404051584791623,0.349559461588823,5442,"tags=34%, list=28%, signal=25%","18019/12772/11846/12505/17096/117149/12519/20737/229473/20423/242122/94185/75863/15289/20304/14972/15024/22724/240095/12151/13866/12229/14728/57257/114774/17120/19354/66824/217303/19055/16854/20739/70103/17221/80795/16362/14714/22416/67245/243958/74131/12524/12048/54698/16331/18782/208650/22177/12509/237256/13844/15013/11629/16988/16189/22329/22637/21803/12978/20666/20535/26971/12493/12608/15223/16175/19099/234695/16173/171285/78317/15170/14419/105855/14732/50723/213208/12520/12494/74048/105782/16792/71228/18950/109594/20971/19116/27050","GO BP","Transcriptomics","Down","Not significant",FALSE,"GO BP:GO:0032944"
"GO:0061178","regulation of insulin secretion involved in cellular response to glucose stimulus",84,-0.324667576856268,-1.26737661590227,0.106451612903226,0.404051584791623,0.349559461588823,3678,"tags=30%, list=19%, signal=24%","217166/56455/19353/57915/12922/94353/109552/16973/18576/21416/22228/545192/66461/238377/75597/20909/69952/14761/50873/101772/14756/16573/192185/26921/71111","GO BP","Transcriptomics","Down","Not significant",FALSE,"GO BP:GO:0061178"
"GO:0008298","intracellular mRNA localization",14,0.498751073975377,1.37928809932805,0.106521739130435,0.404051584791623,0.349559461588823,1391,"tags=29%, list=7%, signal=27%","75786/15194/22695/72162","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:0008298"
"GO:1900077","negative regulation of cellular response to insulin stimulus",48,0.35425474652765,1.29676997075357,0.106598984771574,0.404051584791623,0.349559461588823,5133,"tags=48%, list=27%, signal=35%","338346/56637/98496/18751/232339/17973/19255/18605/228869/19062/117150/72508/18750/12703/17700/434246/26569/12702/108083/19268/17975/19016/19271","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:1900077"
