"PathwayKey","Database","ID","Description","RNA_setSize","RNA_NES","RNA_pvalue","RNA_padj","RNA_leadingEdge","Protein_setSize","Protein_NES","Protein_pvalue","Protein_padj","Protein_leadingEdge","DirectionPattern","RNANominal","ProteinNominal","RNAFDR","ProteinFDR","EvidencePattern","JointNominalP","EvidenceRank"
"GO BP:GO:0002275","GO BP","GO:0002275","myeloid cell activation involved in immune response",97,-1.19453865659737,0.155660377358491,0.465697279639814,"12229/378460/14728/74732/19354/16803/66824/217303/11745/13419/56632/15368/20375/77125/16797/68891/17916/12523/18124/20911/85305/22177/22040/225642/16189/16409/22320/214084/20619/11541/171285/70450/15170/18806/83433/20909/94176/14127",39,0.917799413497339,0.585840707964602,0.966079390834409,"16590/12890/16409/12921/19215/109934/22631","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.585840707964602,4
"GO BP:GO:0030865","GO BP","GO:0030865","cortical cytoskeleton organization",53,1.2879243040389,0.104591836734694,0.402627798692292,"13823/18810/18472/19878/109711/235072/18571/192167/16150/225288/13383/269587/20166/102502/26934/104027/109042/219181",41,-0.928888893164705,0.586206896551724,0.966079390834409,"22379/102502/68743/16897/22388/105855/19878/269587/18571/21894/56193/109711/225288/104027","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.586206896551724,4
"KEGG:mmu05216","KEGG","mmu05216","Thyroid cancer",37,-0.920482761867942,0.586330935251799,0.762230215827338,"27015/18211/23882/21415/26396/76551/26417/19713/21416/16842/20181/15461",14,1.11755133092947,0.320284697508897,0.905849621247545,"12387/26396/18176/76551/16653/26413/59069/26417/12018","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.586330935251799,4
"GO BP:GO:0045429","GO BP","GO:0045429","positive regulation of nitric oxide biosynthetic process",46,-0.91421362481716,0.586601307189543,0.797526702487266,"58994/53791/11898/19288/51793/24088/15894/13430/11629/109900/69219/12759/11651/11606",25,0.937746731927398,0.529411764705882,0.956856371154719,"11606/26420/11820/12491/15894","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.586601307189543,4
"GO BP:GO:0090277","GO BP","GO:0090277","positive regulation of peptide hormone secretion",143,-1.27752708689239,0.0574886535552194,0.306735086757201,"16443/109552/64384/67623/21416/23830/16878/14652/545192/18111/13722/238377/109305/103988/30878/13447/20909/69952/14761/14672/276952/50873/12494/380714/101772/18760/14756/12425/16573/192185/14661/14645/14609/71111",81,-0.947759536296784,0.586633663366337,0.966424642464246,"18642/17886/16443/19662/12361/18751/18760/245049/110135/23830/238377/215999/14161/74244/268860/19084/16573/319613/109689/99571/16438/12288/53357/67041/14061","Both down",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.586633663366337,4
"GO BP:GO:0043278","GO BP","GO:0043278","response to morphine",12,0.901043316867662,0.586813186813187,0.797526702487266,"11548/14810/19060/71978/11514",10,-1.232597112315,0.181434599156118,0.780624780624781,"19049/11548/71978/19060","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.586813186813187,4
"GO BP:GO:0032371","GO BP","GO:0032371","regulation of sterol transport",59,-0.922917954052332,0.586885245901639,0.797526702487266,"11807/246703/17846/68767/19206/83433/14792/20280/18830/16179/11816",30,1.26979849229572,0.140350877192982,0.755434782608696,"20788/27404/11307/77371/14792/192663/217265/16971/27410/69863/20280/17846/11816/12389/246703/12306","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.586885245901639,4
"GO BP:GO:0032374","GO BP","GO:0032374","regulation of cholesterol transport",59,-0.922917954052332,0.586885245901639,0.797526702487266,"11807/246703/17846/68767/19206/83433/14792/20280/18830/16179/11816",30,1.26979849229572,0.140350877192982,0.755434782608696,"20788/27404/11307/77371/14792/192663/217265/16971/27410/69863/20280/17846/11816/12389/246703/12306","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.586885245901639,4
"GO BP:GO:0046470","GO BP","GO:0046470","phosphatidylcholine metabolic process",56,-1.11828939021358,0.277324632952692,0.598417507296556,"18782/16816/14178/12660/270084/16592/212862/26971/11807/27226/106861/12334/241274/14792/76574/13167",35,0.922776544535846,0.587219343696028,0.966909662367512,"99712/16592/106861/26457","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.587219343696028,4
"GO BP:GO:0001892","GO BP","GO:0001892","embryonic placenta development",106,1.08472139795474,0.290760869565217,0.609564032638714,"12211/207304/16410/20541/72780/17684/26413/50785/56406/16007/12160/19014/15221/235626/226841/15251",30,0.922122969695418,0.587719298245614,0.966909662367512,"72469/20687/16410/19014/23950/11819/56334/20541/18194/18799/26413/22329","Both up",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.587719298245614,4
"GO BP:GO:0040018","GO BP","GO:0040018","positive regulation of multicellular organism growth",42,-0.952569922504933,0.51575456053068,0.75472795087202,"14600/320790/14732/208188/319757/11606/22350",17,0.929485626745345,0.587901701323251,0.966909662367512,"11606/102774/19035/71175/50769","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.587901701323251,4
"GO BP:GO:0052372","GO BP","GO:0052372","modulation by symbiont of entry into host",55,0.932830271313353,0.588082901554404,0.797726529688404,"16410/66482/20597/19360/214158/667823/227753/67525/18550/53413/66141/319415/27354/94088/319236/434219/17535",16,0.977837935367909,0.487985212569316,0.945062073719959,"16410/17069/20597/54198","Both up",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.588082901554404,4
"GO BP:GO:0010950","GO BP","GO:0010950","positive regulation of endopeptidase activity",164,-1.05336085081373,0.331288343558282,0.642629712945514,"53313/15289/223453/107771/13638/66340/12015/19876/114774/66824/72565/240354/14062/68350/66593/19823/12042/14066/107607/11783/22035/20680/22416/64704/432763/13636/19713/170770/68606/13063/383619/11848/330721/19188/226548/51800/67628/66437/223870/19712/67941/18053/19186/240690/74048/12370/16792/56462/14694/17196/67184/27050",81,0.934178813837688,0.588628762541806,0.967278123161153,"26408/432763/65106/70186/14066/65973/26420/11820/18174/59287/27050/14810","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.588628762541806,4
"GO BP:GO:0031099","GO BP","GO:0031099","regeneration",154,-0.94271005971381,0.588855421686747,0.798055713561359,"18028/74777/15368/20311/17390/11692/17181/14371/26396/13361/19716/21357/20878/14056/12527/192176/16878/21803/66175/21682/11807/12608/94045/12335/14632/22421/14580/12633/12520/22601/14275/17938/26921/17242/18933/14609/74318",79,-1.29346966875624,0.0608017522840169,0.637844797545535,"26395/14226/18213/16779/18028/13405/74318/16880/80913/30957/14824/26921/83431/16438/14775/18605/223255/11818/11806/16646/12576/18815/22370","Both down",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.588855421686747,4
"GO BP:GO:1900117","GO BP","GO:1900117","regulation of execution phase of apoptosis",20,-0.913709910395224,0.589565217391304,0.798588346409304,"12042/230738/12683/12048/51800/64383/100463512",10,-1.23245659128019,0.181434599156118,0.780624780624781,"12048/80751/51800/236732","Both down",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.589565217391304,4
"GO BP:GO:0120034","GO BP","GO:0120034","positive regulation of plasma membrane bounded cell projection assembly",116,-0.938601427123287,0.589783281733746,0.798588346409304,"15114/104445/69710/56455/19353/114602/353047/21812/229320/18829/74117/13430/76709/70300/69871/70839/103742/20430/75974/234695/18186/15461/99662/20807/74055/17427/56699/18643/18011/18483/13860/66573",72,0.966573836322916,0.535303776683087,0.957390912218082,"101314/23999/16590/329421/231225/67425/102774/18011/66713/192167/19353/18643","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.589783281733746,4
