"EntrezID","Statistic"
"14401",6.1290507421793
"170772",4.70613424212715
"67300",4.7019858876227
"18040",4.58087754796513
"210108",4.26815568302509
"20265",4.20313383254096
"238271",4.1613886515805
"96875",4.13713388464801
"433022",4.11597108555377
"16485",4.07743361000379
"12810",4.03400955878289
"399558",4.02297699801975
"13424",3.91934116564085
"20338",3.89365159343215
"11938",3.77743073533225
"71472",3.71381379034776
"76055",3.69977011027893
"108100",3.67643286102605
"241263",3.65243499686948
"12326",3.64500794274002
"11496",3.63352272749598
"12211",3.56569914412465
"16490",3.54554670875637
"110651",3.46605549499428
"71781",3.45514764533552
"213760",3.45388727578959
"68795",3.44691706087079
"71902",3.42902707100626
"72993",3.42649678060338
"320027",3.42473775262291
"66725",3.4110951913438
"99633",3.4036570896044
"228942",3.40082640569887
"74694",3.38407774432597
"18845",3.36268762936984
"80883",3.35342065451906
"110750",3.34920519235688
"26878",3.34143291399677
"327655",3.32402101566772
"93708",3.29062937061095
"11975",3.2779070349872
"17356",3.27747155539389
"241134",3.26298440447995
"19386",3.24716457842584
"93691",3.24500900815567
"14219",3.23742661234547
"234889",3.2339678527813
"217733",3.22745435914025
"237615",3.20969377016075
"211329",3.20917491056125
"238161",3.20773612402558
"217265",3.20588899533685
"67412",3.19863197744442
"319818",3.18940694557146
"207304",3.1844860370516
"625298",3.16154698532653
"245026",3.14864407452471
"383348",3.14546827856943
"68585",3.13695481035687
"99512",3.13624585667887
"56421",3.11782871309456
"16564",3.10800150503252
"241494",3.10709192016174
"104015",3.10189261833879
"27403",3.07410406879612
"76132",3.06580319750377
"11820",3.06527698619383
"210673",3.06015698239898
"226922",3.05577632750068
"69863",3.05345638036446
"15563",3.03612809587279
"231238",3.02180497056448
"75540",3.01008528986208
"192161",3.00979521181556
"16499",3.00248140112704
"13518",2.99665801275056
"19266",2.99004461679688
"242083",2.98643678388422
"16423",2.98637160198982
"100502841",2.98065774695706
"11980",2.9804131073918
"100862177",2.980134398264
"170719",2.97820884726465
"320632",2.97640917811631
"76965",2.97032200562537
"26381",2.96364849569269
"100042856",2.9494664808239
"330914",2.94894668086565
"75956",2.94759136221557
"17968",2.94757315418753
"270120",2.94482019781922
"70892",2.93870731088776
"20744",2.93722672672373
"22234",2.93513949075844
"108857",2.92721521350281
"69352",2.92541060529574
"217843",2.92316524812869
"13175",2.91776420245878
"21916",2.91655998422741
"67784",2.91186363093325
"208869",2.90690790644694
"353234",2.89886925913633
"13823",2.8965172638147
"11941",2.89397089590305
"23850",2.88137734895279
"233726",2.87585029225672
"68617",2.87229754665206
"72584",2.8711834660076
"433323",2.86878838432874
"23792",2.85809043145251
"108664",2.85685523570102
"230649",2.85494953302748
"54216",2.85488729839616
"11787",2.85300255526437
"107338",2.84946501655787
"230085",2.8489156717634
"17311",2.84650944919871
"330998",2.8391027512635
"74682",2.83434214473558
"54563",2.82572999474053
"12298",2.82564825073625
"14365",2.82473384080878
"18795",2.82152861174369
"240119",2.81950481986433
"22284",2.8187360251978
