"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","Evidence","FDRSignificant","PathwayKey"
"GO:0040013","negative regulation of locomotion",352,0.239331212239652,1.19937075146781,0.0361779012848216,0.223368464563668,0.193244038998302,2591,"tags=20%, list=14%, signal=18%","17356/100862177/18795/14083/104831/20312/56637/20346/52392/19272/268902/338366/77574/237542/234593/17260/16480/19281/269275/20347/18133/17684/19252/52592/20563/76707/19211/20855/19017/107831/12550/211323/17342/56715/52662/381290/105352/13078/12825/74012/20355/110532/20351/22003/320271/11595/19255/13179/19274/20357/76499/14270/18183/54608/114715/260315/15139/73608/57781/19273/118453/50768/22418/21838/28010/12043/13482/18121/238247/18015/240725/269003","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:0040013"
"GO:0030521","androgen receptor signaling pathway",40,0.411579408955822,1.44100392733169,0.0361952682174418,0.223368464563668,0.193244038998302,3721,"tags=45%, list=19%, signal=36%","18095/108655/56736/22215/26413/16000/93760/20586/74132/13207/16969/20602/17344/67040/13132/56198/11835/328365","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:0030521"
"GO:0042157","lipoprotein metabolic process",132,0.289007445059418,1.26812709502987,0.0364088729256794,0.224468308882906,0.194195553613107,4064,"tags=33%, list=21%, signal=26%","22234/16410/225326/320150/98732/243983/238331/76686/100102/224454/208884/11920/228136/16835/12421/16891/226407/18108/70325/11806/433931/19042/68268/320655/54636/74244/15944/231293/51897/74168/11815/27801/14731/208158/16145/16416/70546/68904/14466/77583/19043/225651/18777","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:0042157"
"GO:0006109","regulation of carbohydrate metabolic process",197,0.270318294613821,1.27712126092863,0.0367092327597648,0.226100361774707,0.195607500878297,3006,"tags=22%, list=16%, signal=19%","67300/19386/11820/15558/108079/11771/59046/13194/235344/19883/17978/56717/56745/228026/58801/14534/78830/77781/13645/16000/19017/15937/11548/15251/19255/18605/58246/236900/26380/18640/16969/19062/252870/19052/319801/227659/244416/20848/16337/16847/56690/103836/20533/74370","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:0006109"
"GO:0035733","hepatic stellate cell activation",14,-0.594069484930132,-1.55875064459889,0.0368931809665551,0.227012938944545,0.196397003991647,1602,"tags=43%, list=8%, signal=39%","11475/20111/17863/114886/14182/319757","GO BP","Transcriptomics","Down","Nominal P < 0.05",FALSE,"GO BP:GO:0035733"
"GO:0098754","detoxification",66,-0.383791466300325,-1.43696777555756,0.0371015872146187,0.22807409814878,0.197315050731356,2345,"tags=33%, list=12%, signal=29%","11532/12359/320769/57320/13361/11668/58810/14778/17750/18024/226781/14528/14866/14859/20655/18477/17748/18230/11669/11758/68312/17751","GO BP","Transcriptomics","Down","Nominal P < 0.05",FALSE,"GO BP:GO:0098754"
"GO:0051250","negative regulation of lymphocyte activation",162,-0.311396603341601,-1.32540139491945,0.0378787878787879,0.232372991499245,0.201034176955775,5427,"tags=40%, list=28%, signal=29%","11846/12505/17096/225160/12519/20737/229473/20423/242122/94185/75863/15289/22724/13866/12229/14728/114774/17120/279766/217303/17173/16854/16950/230738/16362/234199/14714/67245/12524/54698/16331/18782/208650/22177/237256/16988/16189/16768/21803/20666/20535/26971/67122/12493/12608/15223/171285/12400/22694/15170/14419/105855/213208/14357/14634/69769/74048/17289/105782/16792/71228/17242/20971/26362","GO BP","Transcriptomics","Down","Nominal P < 0.05",FALSE,"GO BP:GO:0051250"
"GO:0051453","regulation of intracellular pH",80,0.34219876618441,1.39407133071384,0.0378978289779615,0.232372991499245,0.201034176955775,2333,"tags=22%, list=12%, signal=20%","66725/11975/94229/59033/57138/70495/235380/77573/331004/22215/11966/99237/73658/11984/67549/20536/12043/11972","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:0051453"
"GO:2000807","regulation of synaptic vesicle clustering",10,0.630874455131712,1.56728106675084,0.0379107891238522,0.232372991499245,0.201034176955775,1488,"tags=40%, list=8%, signal=37%","20616/192167/19211/216856","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:2000807"
"GO:0022604","regulation of cell morphogenesis",270,0.253930541576583,1.23242074974811,0.038067432609824,0.233107907796065,0.201669979300571,2920,"tags=24%, list=15%, signal=20%","12810/108100/18845/80883/17356/19266/67784/13823/14083/14457/382253/20979/19699/18472/16568/77579/270163/13640/53872/18222/18606/74006/227634/331461/54338/20983/26420/19211/13383/27418/16019/13829/13047/13544/72162/11750/74143/11674/20351/22003/116838/171171/269587/382018/68151/224617/18786/58804/13048/665113/50768/22418/12361/81904/207214/20980/99152/70834/16590/17344/107368/16975/269233/12721","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:0022604"
"GO:1904861","excitatory synapse assembly",38,0.417898865274327,1.45612687542403,0.0381316131815547,0.233275751228335,0.201815186650385,2778,"tags=39%, list=14%, signal=34%","19266/19699/192167/107065/12404/232370/19211/20320/225875/216856/20351/14270/18191/217692/320712","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:1904861"
"GO:0018279","protein N-linked glycosylation via asparagine",18,0.517697810049885,1.50683578496368,0.0382001399160238,0.233469833937625,0.201983094536201,2101,"tags=33%, list=11%, signal=30%","320011/107895/68292/56228/80286/16430","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:0018279"
"GO:0019730","antimicrobial humoral response",113,-0.329596195216478,-1.35021626266668,0.0383435582822086,0.23412082169618,0.202546287304023,4800,"tags=27%, list=25%, signal=20%","20300/14972/15024/20307/240095/17329/12010/16854/22041/20311/23993/57349/67405/18829/53603/15013/18976/19041/14825/20568/57266/58809/67701/67067/15331/71660/67248/19946/20085/14109","GO BP","Transcriptomics","Down","Nominal P < 0.05",FALSE,"GO BP:GO:0019730"
"GO:0046651","lymphocyte proliferation",327,-0.270590809425376,-1.24904570063177,0.0384087791495199,0.234293552812071,0.202695723163559,3145,"tags=35%, list=16%, signal=29%","16889/18173/18019/12772/11846/58206/12505/17096/17869/117149/22362/12519/20737/229473/20423/242122/94185/75863/15289/20304/14972/15024/22724/240095/12151/13866/12229/19171/14728/12767/57257/114774/17120/19354/66824/217303/19055/16854/240354/20739/70103/17221/80795/76088/16362/16197/14714/80859/22416/67245/243958/74131/12524/12476/21940/54698/16331/18782/208650/22177/12509/237256/13844/15013/11629/16988/16189/16409/23918/15976/22329/22637/21803/12978/20666/20535/26971/16842/12493/12608/17698/15223/16175/19099/234695/68767/12445/16173/14225/171285/78317/15170/14419/105855/14732/50723/213208/94176/12520/12494/74048/105782/13731/16792/71228/18950/109594/18753/20971/20104/14609/19116/27050","GO BP","Transcriptomics","Down","Nominal P < 0.05",FALSE,"GO BP:GO:0046651"
"GO:0042472","inner ear morphogenesis",118,-0.324425508538753,-1.33281742818357,0.0386996904024768,0.235703113733454,0.203915184676151,3561,"tags=30%, list=19%, signal=24%","19353/16206/241226/229320/22416/72747/212937/18124/97031/14472/13844/12614/57265/328789/21417/15372/21683/17921/110253/14633/73750/15373/320790/20776/26941/19712/20655/21386/105782/14182/20674/18933/20682/18424/17920","GO BP","Transcriptomics","Down","Nominal P < 0.05",FALSE,"GO BP:GO:0042472"
"GO:2000649","regulation of sodium ion transmembrane transporter activity",59,0.356749875633936,1.35594558539783,0.0387375417953756,0.235703113733454,0.203915184676151,3910,"tags=44%, list=20%, signal=35%","18795/53416/246317/329152/100102/14169/14167/75607/11735/93692/94253/11931/75785/17999/279561/72821/545622/23967/108058/22629/13405/18693/83997/83814/56398/399548","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:2000649"
"GO:0043030","regulation of macrophage activation",52,0.378695457153117,1.40451676322484,0.0387513158297592,0.235703113733454,0.203915184676151,2615,"tags=29%, list=14%, signal=25%","66725/20312/15525/19883/224938/11920/16835/16190/329731/238205/360013/22418/18783/15944/20698","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:0043030"
"GO:0071320","cellular response to cAMP",38,0.417006725402364,1.4530183031063,0.0388579078713747,0.235964013920803,0.20414089874943,2415,"tags=32%, list=13%, signal=28%","238161/15165/16438/20541/11622/238871/13829/76089/330953/100986/19062/110893","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:0071320"
"GO:0019058","viral life cycle",239,0.253359223900235,1.22450975727466,0.0388685993926921,0.235964013920803,0.20414089874943,3824,"tags=28%, list=20%, signal=23%","240255/16410/20817/16647/13194/225326/20815/72179/18571/69165/71586/98999/15481/269523/56417/228545/22174/24014/18711/20479/13030/217695/30960/21974/20597/110532/16650/13207/19360/14265/214158/13205/211948/17999/18983/227738/12043/74244/19324/19062/74522/75339/58235/84505/13209/667823/227753/116733/18552/67525/16337/68942/67166/18550/212163/52513/66141/80743/192119/107373/11607/16416/67846/319415/17002/27354/94088/233979","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:0019058"
"GO:2001244","positive regulation of intrinsic apoptotic signaling pathway",73,-0.380165857083081,-1.45242455879614,0.0392731191244215,0.238191842949646,0.206068273236121,2897,"tags=40%, list=15%, signal=34%","22361/16818/22187/22038/107771/12015/18952/17701/56208/57320/23992/12389/54711/170770/13198/20747/68428/54673/22062/51800/66437/26941/20655/12759/14694/20115/19941/27050/67025","GO BP","Transcriptomics","Down","Nominal P < 0.05",FALSE,"GO BP:GO:2001244"
"GO:0006999","nuclear pore organization",15,0.562087796920259,1.56594304583895,0.0393525864730815,0.238445853472043,0.206288026814102,1186,"tags=27%, list=6%, signal=25%","68585/234865/103468/107939","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:0006999"
"GO:1902751","positive regulation of cell cycle G2/M phase transition",32,0.432554467674177,1.43701820673633,0.039680048484199,0.240200598839464,0.207806119723397,3134,"tags=38%, list=16%, signal=31%","11820/76843/216021/53869/57261/20479/18514/67141/20133/237877/22410/108058","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:1902751"
"GO:0007229","integrin-mediated signaling pathway",96,-0.346815640342279,-1.38002836217317,0.0398089171974522,0.240750973022533,0.208282268092435,4432,"tags=39%, list=23%, signal=30%","378460/16412/57257/16401/19262/16950/16413/16399/16404/16403/12557/110829/241226/20779/108101/16797/68891/22177/192176/16409/16421/241639/21682/11848/16419/16398/19247/18186/16202/22324/19303/21894/218952/14127/13731/12512/67916","GO BP","Transcriptomics","Down","Nominal P < 0.05",FALSE,"GO BP:GO:0007229"
