"EntrezID","Statistic"
"76877",5.10664221085688
"93734",4.7544911882449
"235312",4.51222465637828
"12351",4.10329949474841
"27366",3.97262100069375
"20788",3.90914625919531
"14872",3.80670209895917
"17319",3.69522607516792
"435684",3.64421252083459
"56449",3.54025960784541
"11842",3.53558312802831
"243846",3.49095747370933
"99712",3.48203213044055
"243300",3.41539566794964
"67014",3.40510904601921
"269682",3.38111527620767
"21838",3.37891270719214
"72098",3.34758754982075
"99650",3.30729825100904
"192970",3.30627630413698
"104069",3.30118699214144
"11932",3.28541414539137
"78428",3.25684610271617
"102093",3.23717558695965
"55983",3.20722289881077
"230991",3.20392365276023
"73737",3.1999604493001
"234371",3.13376175524109
"112403",3.11277512212346
"26896",3.08746565781762
"72649",3.04013455615159
"16206",2.9869389062334
"232333",2.98049441663012
"67088",2.94303241149938
"14167",2.94261401510085
"83679",2.93426346545286
"22353",2.91727183165356
"232146",2.89768498596691
"19309",2.85686962803922
"11758",2.84780203359707
"59043",2.84299905041121
"22146",2.82035410536666
"17113",2.81862111548154
"213491",2.80525971770219
"238880",2.78717687477412
"239364",2.7801238859842
"14702",2.76765238093728
"11432",2.7578130178357
"104079",2.7381798854736
"72008",2.71859329884428
"433022",2.71491713798256
"224619",2.69679234766545
"56812",2.6953309158405
"140740",2.6937483988212
"20872",2.69288892940736
"66231",2.6867840581237
"101314",2.68011000835407
"72469",2.66097675926234
"223664",2.65679767367043
"66387",2.63652975423769
"56747",2.62637894460013
"209268",2.62579121157471
"15473",2.62274668662565
"70178",2.61627402578031
"94284",2.61241268165271
"80976",2.60263168307996
"94281",2.59550916073103
"68291",2.59186038207823
"12091",2.57734222417038
"29811",2.57139538747965
"19338",2.56648537943808
"76846",2.56547355179472
"94245",2.56401777936288
"66995",2.5573817615991
"20606",2.55240867204155
"140546",2.55163131917795
"19895",2.53505177377249
"108689",2.52613712828916
"66357",2.52600530895185
"75617",2.52597197796851
"76740",2.52229419658033
"319625",2.51972666580462
"27205",2.51008941363235
"21912",2.50310346309309
"14862",2.4950275897922
"22068",2.49487592679423
"94062",2.49352096068933
"140721",2.4874179704678
"13123",2.48220531601115
"20511",2.46768894820287
"229521",2.46690503655748
"20687",2.46244102138937
"19899",2.45682960960018
"242384",2.4147979293521
"56188",2.41248755104393
"29819",2.40579093689878
"20773",2.40304935407936
"54632",2.39886127369388
"664994",2.39859840347516
"242819",2.39205140170488
"231801",2.3873667750991
"227541",2.38144205836746
"27387",2.37949830771072
"59042",2.37935222623895
"11881",2.36713822366169
"54447",2.3654463230938
"54003",2.36005942290144
"20203",2.35209213480409
"23999",2.35027565043064
"16590",2.34173310461513
"13723",2.33341866415036
"75475",2.32840852337567
"67166",2.32817038565329
"104009",2.31666198323386
"72461",2.31626428770223
"230082",2.3144161644572
"11488",2.31043965159682
"103466",2.30965390800776
"80886",2.29473579504562
"27058",2.29433620163796
"26408",2.29373446573257
"193813",2.28996900416332
"19989",2.28715792268479
"98956",2.26552803164208
"319554",2.26525868509643
"329421",2.26398176372577
"12262",2.26382332282631
"67023",2.25861632473854
