"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","Evidence","FDRSignificant","PathwayKey"
"GO:0009101","glycoprotein biosynthetic process",279,0.286838930965484,1.40185021105455,0.00122748424453946,0.0250621309827536,0.0216821449100812,3069,"tags=24%, list=16%, signal=20%","76055/26878/27403/69352/18795/240119/71685/320011/94229/380959/107895/68292/244745/14348/211673/20454/56846/15476/78923/100910/195646/268510/54616/56228/14042/50785/233781/16000/26879/53625/68059/20442/59287/83398/14584/225742/14538/11977/11595/16795/57783/80286/387314/278279/16430/333424/230815/66629/17309/67422/12043/94192/74653/54128/270049/71797/14537/64580/328779/99412/16337/233824/70551/59031/11305/232313/99011","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0009101"
"GO:0048675","axon extension",140,0.353996897002981,1.57809529019064,0.00122861329376362,0.0250621309827536,0.0216821449100812,2006,"tags=25%, list=10%, signal=23%","210108/68585/330914/13175/22284/77300/382253/56637/20346/18472/17755/18479/69737/239667/15519/52822/20347/20563/12550/14567/319740/21960/12168/16728/104382/22129/54214/20355/74132/13690/20351/17762/83431/20357/76499","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0048675"
"GO:0016311","dephosphorylation",318,0.281079005915376,1.39435420050271,0.00126151139559296,0.0256480682623731,0.0221890601845114,2932,"tags=25%, list=15%, signal=21%","104015/19266/242083/433323/19276/227059/104831/320024/59046/54384/19878/19258/17931/19272/107895/16452/381511/11622/17260/20975/79560/19281/72685/12234/243382/219135/19047/210376/19256/16150/19252/15194/252864/76469/72828/56405/19211/26932/228361/170835/19275/19042/319468/105352/20597/17973/51792/83493/67311/19255/244650/19057/19274/14050/19277/72930/11432/19273/50768/12043/12156/74411/74585/72519/545622/19062/226849/72542/19052/19060/12562/17872/77116/56318/320634/71978/70686/72349","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0016311"
"GO:2000489","regulation of hepatic stellate cell activation",12,-0.734767892897967,-1.85205234831263,0.001265423292264,0.0256480682623731,0.0221890601845114,1602,"tags=50%, list=8%, signal=46%","11475/20111/17863/114886/14182/319757","GO BP","Transcriptomics","Down","Nominal P < 0.05",TRUE,"GO BP:GO:2000489"
"GO:0042063","gliogenesis",387,-0.303870730833785,-1.41594440915884,0.00126951211128589,0.0256489962866169,0.0221898630514403,2655,"tags=24%, list=14%, signal=21%","20679/26417/14758/14254/12259/27374/14056/12527/56217/16409/12017/21416/22352/18991/16878/70839/22326/21803/12978/20666/230822/110355/14725/18027/15212/16842/11848/494504/20720/20481/245880/22062/103743/59024/19247/26563/17984/15904/12929/20681/16202/17863/50914/209012/20130/83433/14580/14357/15461/18016/14634/20655/64383/21869/14173/17986/433759/15208/243914/76441/101772/13051/105782/20668/21808/269951/50849/21907/12759/71918/319757/58234/19317/17242/18205/11651/70083/236539/22066/19283/11932/20682/171469/12032/18424/18128/14184/67916/11606/13167/16513","GO BP","Transcriptomics","Down","Nominal P < 0.05",TRUE,"GO BP:GO:0042063"
"GO:0016264","gap junction assembly",17,-0.670205641036427,-1.84832638870547,0.00129001442988161,0.0259063454624408,0.0224125050177816,803,"tags=29%, list=4%, signal=28%","16373/14623/67451/11606/74318","GO BP","Transcriptomics","Down","Nominal P < 0.05",TRUE,"GO BP:GO:0016264"
"GO:0140056","organelle localization by membrane tethering",81,0.410947931075845,1.6758177602678,0.00129041695556924,0.0259063454624408,0.0224125050177816,3868,"tags=43%, list=20%, signal=35%","11938/16500/20979/546134/20910/234593/67295/66482/102058/18457/228545/71732/75909/20336/22249/23943/30960/19339/116838/69940/382018/211446/216274/56041/67727/20907/69908/83671/107368/53413/14681/100504663/53331/105504/67474","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0140056"
"mmu03013","Nucleocytoplasmic transport",112,0.356365257531075,1.55016078165443,0.00354543620714971,0.0259260022647822,0.0202152064442746,4618,"tags=41%, list=24%, signal=31%","110750/19386/233726/54563/234865/234733/16646/16647/76582/71844/170762/445007/103468/107939/67878/70572/231042/16650/226432/75751/19387/170722/19069/53817/269966/65246/108989/107829/16211/227699/57258/73192/103573/16648/227720/13628/97112/100042165/13680/70699/16649/74412/53319/331401/75826/212999","KEGG","Transcriptomics","Up","Nominal P < 0.05",TRUE,"KEGG:mmu03013"
"GO:0022406","membrane docking",87,0.400498998335626,1.65867331179096,0.00131853052443008,0.0263872480977427,0.0228285510688309,3880,"tags=41%, list=20%, signal=33%","11938/16500/20979/546134/20910/234593/67295/66482/102058/18457/228545/71732/75909/20336/22249/23943/30960/19339/116838/69940/382018/211446/216274/56041/67727/20907/69908/83671/107368/53413/14681/100504663/53331/105504/67474/56398","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0022406"
"GO:0006090","pyruvate metabolic process",129,0.365817813473705,1.59483800892707,0.00135482686718401,0.0270283699541364,0.0233832084922126,3096,"tags=33%, list=16%, signal=27%","56421/11820/15558/108079/235344/56717/228026/107029/18642/13807/15194/68263/16000/19017/433182/27364/15937/18746/11674/15251/16828/56012/18605/13806/236900/18597/26380/18655/18640/18648/235339/16969/19052/319801/227659/20848/16337/20533/21991/74370/22333/13382","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0006090"
