"Rank","RunningES","Statistic","Hit"
1,-5.29829394934831e-05,6.1290507421793,FALSE
2,-0.000105965878986966,4.70613424212715,FALSE
3,-0.000158948818480449,4.7019858876227,FALSE
4,-0.000211931757973932,4.58087754796513,FALSE
5,-0.000264914697467416,4.26815568302509,FALSE
6,-0.000317897636960899,4.20313383254096,FALSE
7,-0.000370880576454382,4.1613886515805,FALSE
8,-0.000423863515947865,4.13713388464801,FALSE
9,0.0141744074824993,4.11597108555377,TRUE
10,0.0141214245430058,4.07743361000379,FALSE
11,0.0140684416035123,4.03400955878289,FALSE
12,0.0140154586640188,4.02297699801975,FALSE
13,0.0139624757245253,3.91934116564085,FALSE
14,0.0139094927850319,3.89365159343215,FALSE
15,0.0138565098455384,3.77743073533225,FALSE
16,0.0138035269060449,3.71381379034776,FALSE
17,0.0137505439665514,3.69977011027893,FALSE
18,0.0136975610270579,3.67643286102605,FALSE
19,0.0136445780875644,3.65243499686948,FALSE
20,0.013591595148071,3.64500794274002,FALSE
21,0.0135386122085775,3.63352272749598,FALSE
22,0.013485629269084,3.56569914412465,FALSE
23,0.0134326463295905,3.54554670875637,FALSE
24,0.013379663390097,3.46605549499428,FALSE
25,0.0133266804506035,3.45514764533552,FALSE
26,0.0132736975111101,3.45388727578959,FALSE
27,0.0132207145716166,3.44691706087079,FALSE
28,0.0131677316321231,3.42902707100626,FALSE
29,0.0131147486926296,3.42649678060338,FALSE
30,0.0130617657531361,3.42473775262291,FALSE
31,0.0130087828136426,3.4110951913438,FALSE
32,0.0129557998741492,3.4036570896044,FALSE
33,0.0129028169346557,3.40082640569887,FALSE
34,0.0128498339951622,3.38407774432597,FALSE
35,0.0127968510556687,3.36268762936984,FALSE
36,0.0127438681161752,3.35342065451906,FALSE
37,0.0126908851766817,3.34920519235688,FALSE
38,0.0126379022371883,3.34143291399677,FALSE
39,0.0125849192976948,3.32402101566772,FALSE
40,0.0125319363582013,3.29062937061095,FALSE
41,0.0124789534187078,3.2779070349872,FALSE
42,0.0124259704792143,3.27747155539389,FALSE
43,0.0123729875397208,3.26298440447995,FALSE
44,0.0123200046002274,3.24716457842584,FALSE
45,0.0122670216607339,3.24500900815567,FALSE
46,0.0122140387212404,3.23742661234547,FALSE
47,0.0121610557817469,3.2339678527813,FALSE
48,0.0121080728422534,3.22745435914025,FALSE
49,0.0120550899027599,3.20969377016075,FALSE
50,0.0120021069632665,3.20917491056125,FALSE
51,0.011949124023773,3.20773612402558,FALSE
52,0.0118961410842795,3.20588899533685,FALSE
53,0.011843158144786,3.19863197744442,FALSE
54,0.0117901752052925,3.18940694557146,FALSE
55,0.011737192265799,3.1844860370516,FALSE
56,0.0116842093263056,3.16154698532653,FALSE
57,0.0116312263868121,3.14864407452471,FALSE
58,0.0115782434473186,3.14546827856943,FALSE
59,0.0115252605078251,3.13695481035687,FALSE
60,0.0114722775683316,3.13624585667887,FALSE
61,0.0114192946288382,3.11782871309456,FALSE
62,0.0113663116893447,3.10800150503252,FALSE
63,0.0113133287498512,3.10709192016174,FALSE
64,0.0112603458103577,3.10189261833879,FALSE
65,0.0112073628708642,3.07410406879612,FALSE
66,0.0111543799313707,3.06580319750377,FALSE
67,0.0111013969918773,3.06527698619383,FALSE
68,0.0110484140523838,3.06015698239898,FALSE
69,0.0109954311128903,3.05577632750068,FALSE
70,0.0109424481733968,3.05345638036446,FALSE
71,0.0108894652339033,3.03612809587279,FALSE
72,0.0108364822944098,3.02180497056448,FALSE
73,0.0107834993549164,3.01008528986208,FALSE
74,0.0107305164154229,3.00979521181556,FALSE
75,0.0106775334759294,3.00248140112704,FALSE
76,0.0106245505364359,2.99665801275056,FALSE
77,0.0105715675969424,2.99004461679688,FALSE
78,0.0105185846574489,2.98643678388422,FALSE
79,0.0104656017179555,2.98637160198982,FALSE
80,0.010412618778462,2.98065774695706,FALSE
81,0.0103596358389685,2.9804131073918,FALSE
82,0.010306652899475,2.980134398264,FALSE
83,0.0102536699599815,2.97820884726465,FALSE
84,0.010200687020488,2.97640917811631,FALSE
85,0.0101477040809946,2.97032200562537,FALSE
86,0.0100947211415011,2.96364849569269,FALSE
87,0.0100417382020076,2.9494664808239,FALSE
88,0.00998875526251411,2.94894668086565,FALSE
89,0.00993577232302062,2.94759136221557,FALSE
90,0.00988278938352714,2.94757315418753,FALSE
91,0.00982980644403366,2.94482019781922,FALSE
92,0.00977682350454018,2.93870731088776,FALSE
