"PathwayKey","Database","ID","Description","RNA_setSize","RNA_NES","RNA_pvalue","RNA_padj","RNA_leadingEdge","Protein_setSize","Protein_NES","Protein_pvalue","Protein_padj","Protein_leadingEdge","DirectionPattern","SharedFDR","JointPvalue","JointFDR"
"GO BP:GO:0042775","GO BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport",75,-2.44310499156542,2.55212162405764e-08,3.8549189483385e-06,"57320/27369/72900/12857/407785/230075/66052/66383/13063/67264/12868/12861/66594/67530/66152/66218/12859/22272/12867/107197/68375/66576/78330/66414/20463/17721/66416/17717/17719/17722/17708/17716/17710/17718/75406/17711",58,-2.15313266820317,2.03048704465695e-05,0.00200025534865872,"67680/12861/66576/12859/72900/68349/84682/22273/12865/12122/225887/67264/27369/56428/69702/17995/227197/68375/66218/78330/66945/13382/226646/75406","Both negative",TRUE,2.03048704465695e-05,0.00200025534865872
"GO BP:GO:1901293","GO BP","GO:1901293","nucleoside phosphate biosynthetic process",262,-1.67284129959467,5.01934039767891e-05,0.00205436745050806,"72900/17869/14923/223646/54369/66916/66355/407785/230075/66052/70316/14913/22245/23971/212627/22171/11951/50873/67264/270076/57423/17993/171567/83433/17706/237823/12495/85305/66218/110074/17991/74023/27425/104130/71679/68342/67130/20425/23972/107197/67126/54405/68738/68375/17850/78330/66495/269951/11957/68198/66414/66091/79059/67184/17721/192185/66416/23918/67942/17717/216739/18103/665563/18950/66401/16189/17720/17719/66377/17705/17722/17716/17718/75406/27273/68202/68646",191,-1.93681699967427,1.76180448958439e-07,4.33893294573755e-05,"67184/105446/109674/21915/13806/212627/28080/11717/66108/11512/67273/55951/66414/269614/68646/68263/22245/11566/68198/216739/665563/55936/331487/11949/67126/237823/72269/15452/66043/67680/20133/15444/68202/11565/226518/56690/72900/11534/14381/68349/108156/210044/67130/22169/23917/224129/71679/104111/56749/11946/78830/68055/66454/236900/237336/225887/68342/66355/67264/69802/67054/27369/66916/104112/17995/227197/50799/11674/11637/68375/66218/14081/14450/78330/66945/11958/11950/13382/79059/226646/22333/75406","Both negative",TRUE,5.01934039767891e-05,0.00205436745050806
"GO CC:GO:0030658","GO CC","GO:0030658","transport vesicle membrane",188,2.52301281489188,1e-10,2.52666666666667e-09,"108664/11975/54411/11980/67300/234678/229706/59033/66335/19276/13002/69162/20527/19339/11966/67826/11765/20979/64176/20972/11984/18386/68365/20404/12725/11972/20977/240332/11973/20964/70495/64051/11768/11764/72160/20333/75734/73834/140494/56807/99683/22249/20907/235415/13446/53331/108030/67295/244049/218811/68666/27054/74006/13383/218038/76252/107767/19280/67474/11964/56041/18550/171180/72961/22784/22318/66237/84095/72003/19349/229521/14810/20965/69048/382018/217887/252903/11789/53611/69908/19894/105853/240756/328778/13405/271457/14812/89867/11767/12684/15893/67774/60510/100226/67898/20518",153,1.78577522081899,8.28848361150044e-05,0.00205485322868448,"56494/11972/11769/20333/19341/67774/235415/11975/94245/218038/54411/229706/56807/19326/73834/234678/20974/228960/27204/100226/66144/229521/20334/271457/22393/17306/52551/19345/77407/68365/19342/11973/53612/23859/11767/14810/18386/64051/105853/80718/11984/67898/20907/20527/67826/20965/13446/11966/13002/22784/19276/67808/77371/20617/67489/107767/66397/11980/16783/12725/53420/12757/22342/19280/140919/19344/20404/53331/66290/67295","Both positive",TRUE,8.28848361150044e-05,0.00205485322868448
"GO BP:GO:0009205","GO BP","GO:0009205","purine ribonucleoside triphosphate metabolic process",157,-2.01827888862824,9.59246380088314e-07,8.11394538037369e-05,"72900/17869/54369/66916/19384/66437/407785/230075/66052/70316/11951/50873/67264/57423/67414/17993/171567/83433/17706/12495/11848/66218/17991/27425/104130/71679/68342/67130/107197/67126/54405/98660/68375/78330/66495/11957/68198/66414/66091/79059/67184/17721/66416/23918/67942/17717/18103/18950/66401/16189/17720/17719/12015/66377/17705/17722/17716/17718/75406/68202",116,-1.93749006365399,2.22777183370085e-05,0.00214689403017301,"14679/11949/67126/66043/67680/68202/72900/53893/68349/67130/74143/11931/23917/71679/11946/78830/68055/66454/66437/66725/225887/68342/12628/67264/69802/66916/17995/227197/50799/11674/68375/66218/78330/66945/101592/11958/11950/18605/79059/226646/75406","Both negative",TRUE,2.22777183370085e-05,0.00214689403017301
"GO BP:GO:0009165","GO BP","GO:0009165","nucleotide biosynthetic process",261,-1.67907206050588,6.33595542008739e-05,0.00246596939785487,"72900/17869/14923/223646/54369/66916/66355/407785/230075/66052/70316/14913/22245/23971/212627/22171/11951/50873/67264/270076/57423/17993/171567/83433/17706/237823/12495/85305/66218/110074/17991/74023/27425/104130/71679/68342/67130/20425/23972/107197/67126/54405/68738/68375/17850/78330/66495/269951/11957/68198/66414/66091/79059/67184/17721/192185/66416/23918/67942/17717/216739/18103/665563/18950/66401/16189/17720/17719/66377/17705/17722/17716/17718/75406/27273/68202/68646",190,-1.96304601582087,1.43005852258757e-07,3.72908790037101e-05,"67184/105446/109674/21915/13806/212627/28080/11717/66108/11512/67273/55951/66414/269614/68646/68263/22245/11566/68198/216739/665563/55936/331487/11949/67126/237823/72269/15452/66043/67680/20133/15444/68202/11565/226518/56690/72900/11534/14381/68349/108156/210044/67130/22169/23917/224129/71679/104111/56749/11946/78830/68055/66454/236900/237336/225887/68342/66355/67264/69802/67054/27369/66916/104112/17995/227197/50799/11674/11637/68375/66218/14081/14450/78330/66945/11958/11950/13382/79059/226646/22333/75406","Both negative",TRUE,6.33595542008739e-05,0.00246596939785487
"GO BP:GO:0009199","GO BP","GO:0009199","ribonucleoside triphosphate metabolic process",163,-1.9696323878821,2.27826809436983e-06,0.000164242418075934,"72900/17869/54369/66916/19384/66437/407785/230075/66052/70316/22245/11951/50873/67264/57423/67414/17993/171567/83433/17706/12495/11848/66218/17991/27425/104130/71679/68342/67130/107197/67126/54405/98660/68375/78330/66495/11957/68198/66414/66091/79059/67184/17721/66416/23918/67942/17717/18103/18950/66401/16189/17720/17719/12015/66377/17705/17722/17716/17718/75406/68202",121,-1.85374046889242,2.69822218920942e-05,0.00249192061765945,"14679/11949/67126/66043/67680/68202/72900/53893/68349/67130/74143/11931/23917/71679/11946/78830/68055/66454/66437/66725/225887/68342/12628/67264/69802/66916/17995/227197/50799/11674/68375/66218/78330/66945/101592/11958/11950/18605/79059/226646/75406","Both negative",TRUE,2.69822218920942e-05,0.00249192061765945
"GO BP:GO:0046034","GO BP","GO:0046034","ATP metabolic process",133,-1.9620301173187,7.35725994710216e-06,0.000448792856773232,"72900/17869/66916/66437/407785/230075/66052/70316/11951/50873/67264/57423/17993/83433/17706/12495/66218/17991/27425/104130/71679/68342/67130/107197/67126/54405/98660/68375/78330/66495/11957/68198/66414/66091/67184/17721/66416/67942/17717/66401/16189/17720/17719/12015/66377/17705/17722/17716/17718/75406/68202",99,-1.94731530471989,2.84117908331855e-05,0.00257039732170431,"11949/67126/66043/67680/68202/72900/53893/68349/67130/11931/71679/11946/78830/68055/66454/66437/225887/68342/12628/67264/69802/66916/17995/227197/50799/11674/68375/66218/78330/66945/11958/11950/18605/226646/75406","Both negative",TRUE,2.84117908331855e-05,0.00257039732170431
"GO CC:GO:0030672","GO CC","GO:0030672","synaptic vesicle membrane",145,2.54106045822475,1e-10,2.52666666666667e-09,"108664/11975/54411/11980/67300/234678/229706/59033/66335/19276/13002/20527/19339/11966/67826/20979/64176/20972/11984/18386/68365/20404/12725/11972/20977/240332/11973/20964/70495/64051/72160/75734/73834/140494/56807/22249/20907/235415/13446/53331/67295/244049/68666/74006/13383/218038/76252/107767/19280/67474/11964/171180/72961/22784/22318/66237/84095/72003/19349/229521/14810/20965/382018/11789/69908/19894/105853/328778/13405/271457/15893/67774/60510/100226/20518",124,1.75954130708403,0.000146745069142652,0.00281247815915436,"11972/19341/67774/235415/11975/94245/218038/54411/229706/56807/19326/73834/234678/20974/228960/27204/100226/66144/229521/271457/22393/17306/52551/19345/77407/68365/19342/11973/23859/14810/18386/64051/105853/80718/11984/20907/20527/67826/20965/13446/11966/13002/22784/19276/67808/20617/107767/11980/16783/12725/53420/12757/19280/140919/19344/20404/53331/66290/67295/66237/72961/240332/108664/68666/74325","Both positive",TRUE,0.000146745069142652,0.00281247815915436
"GO CC:GO:0099501","GO CC","GO:0099501","exocytic vesicle membrane",145,2.54106045822475,1e-10,2.52666666666667e-09,"108664/11975/54411/11980/67300/234678/229706/59033/66335/19276/13002/20527/19339/11966/67826/20979/64176/20972/11984/18386/68365/20404/12725/11972/20977/240332/11973/20964/70495/64051/72160/75734/73834/140494/56807/22249/20907/235415/13446/53331/67295/244049/68666/74006/13383/218038/76252/107767/19280/67474/11964/171180/72961/22784/22318/66237/84095/72003/19349/229521/14810/20965/382018/11789/69908/19894/105853/328778/13405/271457/15893/67774/60510/100226/20518",124,1.75954130708403,0.000146745069142652,0.00281247815915436,"11972/19341/67774/235415/11975/94245/218038/54411/229706/56807/19326/73834/234678/20974/228960/27204/100226/66144/229521/271457/22393/17306/52551/19345/77407/68365/19342/11973/23859/14810/18386/64051/105853/80718/11984/20907/20527/67826/20965/13446/11966/13002/22784/19276/67808/20617/107767/11980/16783/12725/53420/12757/19280/140919/19344/20404/53331/66290/67295/66237/72961/240332/108664/68666/74325","Both positive",TRUE,0.000146745069142652,0.00281247815915436
"GO BP:GO:0046390","GO BP","GO:0046390","ribose phosphate biosynthetic process",212,-1.71812674635463,7.54772834470631e-05,0.00283330110170514,"72900/17869/14923/54369/66916/66355/407785/230075/66052/70316/22245/23971/212627/11951/50873/67264/270076/57423/17993/171567/83433/17706/237823/12495/66218/17991/27425/104130/71679/68342/67130/23972/107197/67126/54405/68738/68375/17850/78330/66495/11957/68198/66414/66091/79059/67184/17721/66416/23918/67942/17717/216739/18103/18950/66401/16189/17720/17719/66377/17705/17722/17716/17718/75406/27273/68202",167,-1.96232101830061,1.75385125486419e-06,0.000259160753760432,"67184/105446/109674/13806/212627/28080/11717/66108/11512/67273/55951/66414/269614/68263/22245/11566/68198/216739/55936/331487/11949/67126/237823/72269/15452/66043/67680/68202/11565/56690/72900/11534/14381/68349/108156/210044/67130/23917/224129/71679/104111/56749/11946/78830/68055/236900/225887/68342/66355/67264/69802/67054/66916/104112/17995/227197/50799/11674/11637/68375/66218/14081/14450/78330/66945/11958/11950/13382/79059/226646/22333/75406","Both negative",TRUE,7.54772834470631e-05,0.00283330110170514
"GO CC:GO:0005759","GO CC","GO:0005759","mitochondrial matrix",297,-1.76358351851102,2.63928218071784e-06,4.65250207670727e-05,"18563/320717/27395/18041/68636/52575/27397/67840/11639/70478/64655/107734/60441/66834/67308/12534/66841/56451/66400/268697/66493/20216/67212/66448/212508/27398/22059/110821/18242/21780/71832/21915/108037/14148/26568/105675/11409/21752/107733/69163/66148/13361/11370/56248/72960/66198/57320/66077/18120/67713/380601/20917/233799/68537/52538/66383/67270/11364/320204/68611/66121/66163/28028/74600/94061/68735/68565/56282/22171/72039/231086/100039707/100042179/69527/545725/14533/74551/234384/66407/79044/50529/68463/11656/170718/94066/67267/15528/67707/97212/192166/234309/110826/53895/18477/68836/67681/12039/50776/15473/66047/15108/11669/73046/68499/14979/78038/68738/408022/66230/66904/17850/56357/78523/23830/14661/11363/76263/66292/66416/329910/665563/380660/107732/64660/99045/78653/11429/27050/13171/110842/14548/66845",236,-1.58601108683739,0.000196238723357427,0.00324339001104636,"68263/110842/14148/69367/19935/69527/665563/72039/15108/17448/15929/269642/66904/234309/338359/11740/65111/70478/69617/97212/64656/107029/56690/56360/218506/15526/110616/52443/12261/104444/11409/67834/18041/64659/72416/70560/20656/67212/14979/212679/66834/56280/268860/67036/66399/233870/11429/11370/232536/68463/107734/14719/66725/319518/68636/94067/320717/69956/68626/67681/99045/57312/56451/22334/107733/68537/68550/75619/102060/66121/64660/74142/69713/109264/66841/27397/13382/12974/52064/22333","Both negative",TRUE,0.000196238723357427,0.00324339001104636
"KEGG:mmu04932","KEGG","mmu04932","Non-alcoholic fatty liver disease",154,-1.97622910300038,2.0484849952534e-06,5.99181861111619e-05,"26403/72900/66916/12857/407785/230075/110323/66052/70316/105787/12864/13063/18770/12370/67264/12868/12861/20181/17993/66594/67530/18033/66152/19353/66218/17991/11651/104130/68342/12859/22272/67130/12867/58805/54405/68375/66576/78330/66495/68198/66414/66091/20463/67184/66416/17709/78174/407790/66377/17708/17710/75406/68202/17711",96,-1.822838305796,0.000208009697899284,0.00408219032127345,"66108/11652/67273/66414/68198/74769/16396/13063/67680/12861/68202/66576/12859/72900/68349/67130/84682/22273/12865/12122/225887/68342/67264/19697/22030/66916/17995/26414/227197/68375/66218/12864/78330/12540/66945/226646/75406","Both negative",TRUE,0.000208009697899284,0.00408219032127345
"GO MF:GO:0009055","GO MF","GO:0009055","electron transfer activity",49,-2.35861549101669,1.59586690584687e-06,9.98091402567489e-05,"72900/66916/66052/17993/78797/110826/17991/20930/66576/66885/17721/17717/17709/17720/17719/17722/17708/17716/17710/17718/75406/110842/17711",32,-2.14836566871363,6.48653220623121e-05,0.00687356135965219,"67273/110842/14148/67680/66576/72900/68349/20930/84682/12865/225887/66916/17995/227197/66841/66945/226646/75406","Both negative",TRUE,6.48653220623121e-05,0.00687356135965219
"GO BP:GO:0033108","GO BP","GO:0033108","mitochondrial respiratory chain complex assembly",100,-2.44404895102191,3.13754072364138e-09,7.65559936568498e-07,"66916/407785/230075/12856/70316/66359/67264/76947/67105/66706/66836/66379/17993/67267/68332/66218/17991/76178/104130/20930/68342/70556/67130/107197/54405/68375/66495/544717/68198/66414/66091/67184/17721/17717/17719/66377/17722/17716/75597/75406/68202",80,-1.8727352391115,0.000114071680794207,0.00777968863016494,"229211/66108/67273/68002/66414/68198/70556/66487/66706/66349/68202/68349/70207/67130/20930/66379/68653/214489/12856/225887/68342/67264/66928/76826/69089/69702/66916/68332/227197/56046/68375/66218/226646/75406","Both negative",TRUE,0.000114071680794207,0.00777968863016494
"GO MF:GO:0050136","GO MF","GO:0050136","NADH dehydrogenase (quinone) activity",19,-2.1342670424713,0.000433063891590158,0.00840703646716466,"72900/66916/17993/17991/17721/17717/17720/17719/17722/17716/17718/75406",12,-2.1705130710722,0.000115193575269953,0.00790035937059764,"72900/68349/225887/66916/17995/227197/226646/75406","Both negative",TRUE,0.000433063891590158,0.00840703646716466
"GO MF:GO:0008137","GO MF","GO:0008137","NADH dehydrogenase (ubiquinone) activity",18,-2.18257585715391,0.000153767831347503,0.0038316433076592,"72900/66916/17993/17991/17721/17717/17720/17719/17722/17716/17718/75406",11,-2.18359651910841,0.000180517460905426,0.00990439135501103,"72900/68349/225887/66916/17995/227197/226646/75406","Both negative",TRUE,0.000180517460905426,0.00990439135501103
"GO MF:GO:0003955","GO MF","GO:0003955","NAD(P)H dehydrogenase (quinone) activity",22,-2.27129689417226,6.3765492891604e-05,0.00199635043129868,"72900/66916/109857/17993/234309/17991/17721/17717/17720/17719/17722/17716/17718/75406",15,-2.13383773338959,0.000194457367170703,0.010002400823843,"67273/109857/234309/72900/68349/225887/66916/17995/227197/226646/75406","Both negative",TRUE,0.000194457367170703,0.010002400823843
"GO MF:GO:0003954","GO MF","GO:0003954","NADH dehydrogenase activity",21,-2.08557710946049,0.000657639056326826,0.0113095392644374,"72900/66916/17993/17991/17721/17717/17720/17719/17722/17716/17718/75406",13,-2.16157247798933,0.000159589762755725,0.00938159819628296,"66108/67273/72900/68349/225887/66916/17995/227197/226646/75406","Both negative",TRUE,0.000657639056326826,0.0113095392644374
"KEGG:mmu00630","KEGG","mmu00630","Glyoxylate and dicarboxylate metabolism",30,-1.84049866015115,0.00161513957342897,0.0123249138198787,"110821/12359/71832/108037/67432/68133/434437/73724/20425/68738/66904/17850/14645/104174/224530/11429",22,-2.00928703483011,0.000404707831470176,0.00635391295408177,"17449/14645/67078/110446/60525/73724/17448/66904/76238/12359/11429/104174/434437/13382/12974","Both negative",TRUE,0.00161513957342897,0.0123249138198787
"GO BP:GO:0006120","GO BP","GO:0006120","mitochondrial electron transport, NADH to ubiquinone",29,-2.03211763775244,0.000509385018421811,0.0117950308913291,"66148/57320/72900/407785/230075/66383/67264/66218/68375/17721/66416/17717/17719/17722/17716/17718/75406",22,-2.00599621041354,0.000275331491788032,0.0164938446364371,"72900/68349/225887/67264/69702/17995/227197/68375/66218/13382/226646/75406","Both negative",TRUE,0.000509385018421811,0.0164938446364371
"GO BP:GO:0010257","GO BP","GO:0010257","NADH dehydrogenase complex assembly",61,-2.63406371446601,4.85583444203074e-09,9.62669178132593e-07,"66821/108755/595136/66916/407785/230075/70316/67264/76947/67105/66706/17993/66218/17991/104130/68342/67130/54405/68375/66495/68198/66414/66091/67184/17721/17717/17719/66377/17722/17716/75597/75406/68202",53,-1.85961062270484,0.000348036445692498,0.0190474760957388,"54405/73694/66826/66091/69487/235169/68493/26926/67184/229211/66108/67273/66414/68198/66706/66349/68202/68349/67130/225887/68342/67264/66928/76826/69089/69702/66916/227197/68375/66218/226646/75406","Both negative",TRUE,0.000348036445692498,0.0190474760957388
