"PathwayKey","Database","ID","Description","RNA_setSize","RNA_NES","RNA_pvalue","RNA_padj","RNA_leadingEdge","Protein_setSize","Protein_NES","Protein_pvalue","Protein_padj","Protein_leadingEdge","DirectionPattern","SharedFDR","JointPvalue","JointFDR"
"GO BP:GO:0032981","GO BP","GO:0032981","mitochondrial respiratory chain complex I assembly",61,-2.63406371446601,4.85583444203074e-09,9.62669178132593e-07,"66821/108755/595136/66916/407785/230075/70316/67264/76947/67105/66706/17993/66218/17991/104130/68342/67130/54405/68375/66495/68198/66414/66091/67184/17721/17717/17719/66377/17722/17716/75597/75406/68202",53,-1.85961062270484,0.000348036445692498,0.0190474760957388,"54405/73694/66826/66091/69487/235169/68493/26926/67184/229211/66108/67273/66414/68198/66706/66349/68202/68349/67130/225887/68342/67264/66928/76826/69089/69702/66916/227197/68375/66218/226646/75406","Both negative",TRUE,0.000348036445692498,0.0190474760957388
"GO MF:GO:0016655","GO MF","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",33,-2.15954671458996,6.06002129025696e-05,0.00199635043129868,"72900/66916/109857/17993/234309/17991/28200/67880/17721/17717/17720/17719/17722/17716/17718/75406",20,-2.09343047739701,0.000590248209335457,0.0220806489219582,"67273/109857/234309/72900/68349/225887/67880/66916/17995/227197/226646/75406","Both negative",TRUE,0.000590248209335457,0.0220806489219582
"KEGG:mmu05020","KEGG","mmu05020","Prion disease",261,-1.77587777806294,6.03491521838428e-06,0.000132390952603305,"17969/72900/20192/66916/12857/19185/407785/230075/110323/66052/12391/70316/12864/13063/19170/11951/20655/26443/67264/12868/208647/12861/17993/16572/66594/67530/19167/17706/66152/19353/66218/11783/17991/104130/71679/68342/12859/22272/67130/19354/12867/18753/67126/54405/26441/68375/66576/78330/66495/11957/68198/66414/16439/66091/20463/67184/17721/66416/67151/67942/17717/17709/78174/16573/17720/18128/407790/17719/19175/12015/66377/17705/17722/17708/17716/17710/17718/75406/68202/73710/17711",194,-1.49180544012062,0.00194339044284117,0.0235357322095122,"74769/11909/13063/11949/67126/11740/66043/67680/12287/12861/68202/12390/66576/12289/22145/12859/72900/16573/26442/68349/67130/71679/84682/22273/12259/11946/12865/215999/225887/68342/20191/67264/22335/19167/16438/16439/12288/66916/22334/17995/11739/26414/226519/227197/11783/68375/66218/110382/12864/78330/66945/11950/74764/226646/22333/75406","Both negative",TRUE,0.00194339044284117,0.0235357322095122
"GO CC:GO:0033176","GO CC","GO:0033176","proton-transporting V-type ATPase complex",27,2.33320827983983,2.16951089868351e-05,0.000278726993424085,"108664/11975/54411/66335/11966/11984/435376/11972/11973/70495/73834/140494/114143/76252/11964/66237",15,1.8656707476084,0.00229936367725301,0.0248749343266462,"11972/11975/54411/73834/66144/11973/11984/11966/66290/66237/108664","Both positive",TRUE,0.00229936367725301,0.0248749343266462
"KEGG:mmu00260","KEGG","mmu00260","Glycine, serine and threonine metabolism",38,-1.77043965537103,0.00482581357145344,0.0285094234429155,"14711/19193/14431/218865/108037/11754/107869/100678/257635/68133/110695/109731/434437/11656/107272/192166/67092/20425/12411/104174/12183/236539",24,-2.11840562535367,0.000270313035922546,0.00480140918506332,"12411/76238/11754/17161/12183/100678/107272/18648/109731/104174/434437/13382","Both negative",TRUE,0.00482581357145344,0.0285094234429155
"KEGG:mmu00640","KEGG","mmu00640","Propanoate metabolism",30,-1.80492657331496,0.00230802632291365,0.0150021710989387,"56451/110821/100705/11409/11430/20917/73724/52665/97212/227095/12039/68738/66904/17850/93747/104776/380660/13171",26,-1.89323752981484,0.00255441262684968,0.0297068727715111,"60525/73724/12040/93747/66904/97212/56690/11409/107476/268860/16832/20916/56451/227095/13382","Both negative",TRUE,0.00255441262684968,0.0297068727715111
"GO CC:GO:0030133","GO CC","GO:0030133","transport vesicle",363,2.26240263175716,1e-10,2.52666666666667e-09,"108664/11975/54411/11980/67300/234678/229706/59033/17918/66335/19276/13002/69162/20527/19339/11827/16570/11966/56017/67826/11765/12111/20979/64176/11820/23821/59287/245860/94090/20972/11984/18386/68365/100503185/83431/94221/20404/12725/11972/26754/20977/13426/240332/11977/20616/104082/11973/20964/53869/228355/70495/20614/64051/20698/11768/223604/11764/72160/20983/66725/18457/20333/75734/70612/12217/73834/101118/140494/56807/99683/22249/20907/13429/16000/235415/13446/53331/235380/108030/56398/67295/244049/218811/68666/21823/27054/74006/320127/242669/13383/15481/218038/76252/107767/22333/67903/99738/19280/226744/83671/67474/11964/56041/18550/171180/111173/78892/72961/22784/22318/56526/66237/84095/78808/72003/12727/19349/229521/18951/14810/20965/69048/382018/217887/252903/18578/11789/20336/53611/69908/67511/19894/16004/105853/240756/328778/22365/68318/80976/13405/28064/271457/14812/18693/89867/20661/11767/11772/232946/12684/15893/67774/19346/60510/100226/22334/67898/20518",272,1.47024213857351,0.00339235107921991,0.031053059879013,"18166/56494/22365/11972/11769/20333/18693/19341/15481/101118/60409/67774/235415/11975/94245/56398/218038/54411/229706/56807/432442/19326/73834/234678/20974/228960/27204/100226/66144/229521/54725/20334/271457/22393/22134/17306/235312/19063/52551/111173/19345/80976/232946/77407/68365/19342/11973/53612/23859/11767/14810/12064/17274/54526/18386/64051/105853/80718/11984/54393/67898/14184/17380/20907/20527/68328/17357/67826/20965/67903/235442/236643/19164/13446/19346/19328/11966/13002/22784/19276/67808/77371/381979/53869/20617/70612/67489/245886/94221/107767/66397/11980/16783/12725/53420/12757/22342/19280/140919/11820","Both positive",TRUE,0.00339235107921991,0.031053059879013
"KEGG:mmu04145","KEGG","mmu04145","Phagocytosis",237,1.86968038281966,2.75036699570878e-06,6.89556296781272e-05,"108664/11975/16410/234663/54411/66335/13191/13424/18708/218035/11966/13030/56715/54130/227613/17533/11984/80743/228545/53857/15239/77573/12845/16790/235661/11972/13426/53598/18706/21826/17534/11973/14133/22145/20333/22153/22142/16416/73834/140494/66691/64291/13429/53331/18711/114143/56444/110350/231874/69654/74244/67526/22152/76252/225326/140792/71732/69142/11964/12721/14969/22318/22154/100529082/15006/66237/75669/19349/14960/69165/15039/226977/17523/20288/13038/216238/242557/170786/78610/67443",137,1.52759576795671,0.00299915703060465,0.0324736312968918,"67526/67841/59288/11972/20333/20335/12317/66212/226977/66615/11975/17113/54411/216238/18706/13040/22146/73834/16410/100226/66144/69654/271457/12330/57436/19345/93739/16416/67068/12721/68097/71116/11973/18709/80718/56715/11984/19353/72825/53598/231874/225326/16790/11966/15239/545486/13033/103967/73710/16783/11793/228983/12491/19344","Both positive",TRUE,0.00299915703060465,0.0324736312968918
"KEGG:mmu00670","KEGG","mmu00670","One carbon pool by folate",37,-2.00471203251121,0.000329821416157045,0.00373442958293944,"269378/218865/108156/108037/229709/13361/107869/107747/17768/22171/216188/68133/100039707/110695/434437/192166/74340/20425/12411/104174/665563",22,-1.7698161620164,0.00414490245236988,0.0419838506465853,"270685/665563/269378/12411/108156/104174/232087/434437/14450/13382","Both negative",TRUE,0.00414490245236988,0.0419838506465853
"GO BP:GO:0072521","GO BP","GO:0072521","purine-containing compound metabolic process",454,-1.37290303437183,0.00266605636049447,0.0422698289206978,"18125/11541/269378/214917/11958/22059/108156/18104/15483/54683/19895/19013/100705/71832/106821/15254/108037/14148/102631912/26568/68732/78373/667034/11821/74114/381101/56248/67725/110935/15378/18158/66198/102954/595136/27369/107477/20917/66171/15444/14380/233799/17969/68603/72900/17869/12012/56720/14923/223646/54369/66916/19384/66437/66355/52538/407785/230075/67800/66052/70316/14913/103988/76974/107747/50493/23971/212627/11951/216188/50873/67264/230163/26914/66681/270076/73724/57423/67414/17993/171567/104158/83433/107227/17706/170718/237823/67528/12495/11848/66218/17991/74023/27425/104130/14263/20521/71679/110959/68342/67130/20425/23972/107197/67126/54405/78038/98660/68738/68375/14732/17850/78330/66495/269951/11957/14149/68198/66414/66091/74167/66885/67880/79059/67184/17721/192185/66416/23918/67942/21351/17717/216739/18103/329910/665563/18950/66401/16189/17720/17719/210808/12015/66377/17705/26897/17722/17716/17718/75406/27273/68202/99586/22139/68646",311,-1.89124964584334,1.58850551077023e-08,9.42842891534197e-06,"54683/212627/28080/78038/11717/66108/11512/67273/11941/55951/66414/269614/66681/208715/14555/68646/68263/14148/11566/333433/68198/216739/665563/17448/269378/15929/224794/74637/76952/14679/11949/67126/237823/15452/66043/67680/74205/15444/68202/56045/11565/226518/107029/17855/110208/15356/56690/56360/72900/11534/14381/53893/68349/108156/210044/67130/67834/74143/107476/11931/23917/224129/71679/67420/104111/66171/66902/71147/16832/11946/22139/78830/68055/66454/66437/66725/236900/225887/68342/11666/66355/12628/67264/56717/20916/69802/18293/66646/67054/27369/67880/18577/66916/104112/56451/17995/266690/227197/14104/50799/14198/74370/11674/11637/68375/66218/14081/14450/78330/12457/66945/101592/11958/11950/319801/18605/13382/12974/79059/226646/22333/75406","Both negative",TRUE,0.00266605636049447,0.0422698289206978
"GO BP:GO:0009150","GO BP","GO:0009150","purine ribonucleotide metabolic process",324,-1.43440805422394,0.00321477275496222,0.0469919777822128,"68603/72900/17869/12012/56720/14923/54369/66916/19384/66437/66355/52538/407785/230075/67800/66052/70316/76974/23971/11951/50873/67264/270076/73724/57423/67414/17993/171567/104158/83433/17706/237823/67528/12495/11848/66218/17991/27425/104130/71679/110959/68342/67130/23972/107197/67126/54405/78038/98660/68738/68375/14732/17850/78330/66495/11957/68198/66414/66091/74167/66885/79059/67184/17721/66416/23918/67942/17717/216739/18103/329910/18950/66401/16189/17720/17719/12015/66377/17705/26897/17722/17716/17718/75406/27273/68202",232,-1.86614892874564,2.19488826935803e-07,4.86496984903207e-05,"28080/78038/11717/66108/11512/67273/11941/55951/66414/269614/208715/68263/11566/68198/216739/76952/14679/11949/67126/237823/15452/66043/67680/74205/68202/11565/17855/15356/56690/56360/72900/11534/53893/68349/108156/210044/67130/74143/107476/11931/23917/224129/71679/67420/104111/71147/11946/78830/68055/66454/66437/66725/236900/225887/68342/11666/66355/12628/67264/20916/69802/18293/67054/18577/66916/104112/56451/17995/227197/14104/50799/11674/11637/68375/66218/14081/14450/78330/66945/101592/11958/11950/18605/13382/12974/79059/226646/22333/75406","Both negative",TRUE,0.00321477275496222,0.0469919777822128
"KEGG:mmu00280","KEGG","mmu00280","Valine, leucine and isoleucine degradation",53,-2.13393563844763,7.74735999943999e-05,0.001189703969914,"66948/110821/113868/11409/11761/52538/11364/72039/231086/110695/73724/56752/97212/227095/12039/15108/11669/78038/66904/17850/56357/93747/66885/15107/104776/224530/13171",42,-1.65322099918291,0.00504608170399233,0.0495146767204247,"15360/73724/12040/93747/257633/78038/208715/72039/15108/11992/66904/58875/97212/15356/72535/11409/268860/12035/227095/67041/13382","Both negative",TRUE,0.00504608170399233,0.0495146767204247
