"PathwayKey","Database","ID","Description","RNA_setSize","RNA_NES","RNA_pvalue","RNA_padj","RNA_leadingEdge","Protein_setSize","Protein_NES","Protein_pvalue","Protein_padj","Protein_leadingEdge","DirectionPattern","SharedPvalue","SharedFDR","JointPvalue"
"KEGG:mmu00541","KEGG","mmu00541","Biosynthesis of various nucleotide sugars",20,1.07201925203111,0.362348178137652,0.560282865754695,"107652/67311/266690/74091/227620/331026/69080/12764",16,-1.14460333812251,0.276785714285714,0.567962695607441,"216558/331026/218138/69080/22122/266690/94181","Opposite",FALSE,FALSE,0.362348178137652
"GO BP:GO:0048512","GO BP","GO:0048512","circadian behavior",61,1.22178271273202,0.160896130346232,0.526765172871909,"16490/56717/15902/17978/27373/19211/16531/19215/11554/16847/14601/19218/18143/16193/26414",27,-1.04657153831455,0.362467866323907,0.849648034569278,"16508/13488/224671/11539/56717/11657/26414/66797","Opposite",FALSE,FALSE,0.362467866323907
"GO BP:GO:0010810","GO BP","GO:0010810","regulation of cell-substrate adhesion",224,1.03939002713401,0.362725450901804,0.721809993889913,"20745/18708/69697/50918/76707/16480/15404/18606/17381/14083/19211/13640/12842/16452/56637/20750/22370/21838/15117/110616/105352/17926/13144/12837/60595/16416/13829/320712/100862177/78473/12361/13612/50768/68169/14538/11815/11601/18552/13132/67896/216560/18015/72349/76499/230959/22417/50706/18792/14268/12631/16728/30060/20440/15227/140709/319922/18073/12043/13405/12540/20194/109648",127,-1.5798893740235,0.00265246488249658,0.081092253959361,"14369/18754/50768/225392/72349/19877/74769/18762/12361/22122/13430/18186/226352/64930/192176/20163/13405/268709/110616/60595/16403/13144/12261/50918/21825/16452/11806/16202/16413/56320/19242/20874/19247/11815/277360/11426/76499/26921/11465/18073/17886/18815/94175/20130/109880/76707/22370/18015/77569/12540/16402/83436","Opposite",FALSE,FALSE,0.362725450901804
"GO BP:GO:0006084","GO BP","GO:0006084","acetyl-CoA metabolic process",35,1.05226558167307,0.363095238095238,0.72186655922162,"64451/18597/228026/13382/68263/22333/27402/236900/107476/55951/208715/56690/14104",28,-1.54279399776036,0.0364277864974714,0.37442854842433,"55951/208715/68263/17855/56690/107476/236900/104112/14104/13382/12974/22333","Opposite",FALSE,FALSE,0.363095238095238
"GO BP:GO:0097194","GO BP","GO:0097194","execution phase of apoptosis",72,-1.04733160731407,0.363095238095238,0.72186655922162,"219149/51800/230103/230738/67338/53619/22067/12048/22059/67379/21973/209456/13423/22038/224105/12042/381560/330409/80859/12370/12683/236732/170770/108138/11783/11651/80751/13804/64383/100463512",28,-1.55055615277976,0.0344797956170096,0.359644550518126,"50768/64383/208194/236732/497097/106025/66454/51800/11783/223255/228355","Both negative",FALSE,FALSE,0.363095238095238
"GO BP:GO:0045599","GO BP","GO:0045599","negative regulation of fat cell differentiation",59,1.08397768914029,0.316430020283976,0.688878437448127,"17702/11865/13555/19883/22402/22410/12156/435965/232339/225791/22418/20656/231070/18605/228790",17,-1.06244678079653,0.36318407960199,0.849648034569278,"64383/21804/223435/20656/22601/18605","Opposite",FALSE,FALSE,0.36318407960199
"GO BP:GO:0016053","GO BP","GO:0016053","organic acid biosynthetic process",289,-1.32897838480572,0.0162423626602295,0.145333637117766,"244373/11668/67870/54140/72136/18416/74205/19659/170439/14431/22259/20216/107766/102635496/93759/109900/54325/23887/16176/74155/26433/108156/11690/22260/235623/16592/100705/30956/108037/71275/18823/57874/69051/11812/106861/19130/111175/13361/11370/15378/208665/271844/99035/57320/78625/13076/233799/13123/12012/107869/14598/11688/16956/100678/228151/243078/70316/105787/257635/20768/18770/67432/14170/246277/57742/328845/76615/26432/56351/68801/104923/104158/14873/107272/210009/68041/20250/234309/54486/20845/14870/76267/93732/67092/20425/15108/58805/14979/68738/14645/14869/11606/12411/20512/230796/64383/11363/94180/20249/94284/23801/665563/68312/19317/56473/236539/11998/27273/98711",147,-1.04461476559664,0.363636363636364,0.849648034569278,"320808/14870/665563/18823/15108/64383/234309/83603/12411/74205/17117/20698/94180/216456/26874/56690/20768/108156/76267/107476/230796/232078/14979/100678/11668/11898/66902/71147/268860/107272/16832/11370/78830/14719/14660/11666/14873/56454/223722/15194/69116/68312/104112/12035/17918/14104/13884/18746/68801/68041","Both negative",FALSE,FALSE,0.363636363636364
"GO BP:GO:0032941","GO BP","GO:0032941","secretion by tissue",49,1.09975679778527,0.302788844621514,0.681778577899335,"53416/101613/12847/53883/228355/16531/11830/74244/18605/11826/83671/22063/106042/16534/67443",23,-1.04458453837882,0.363855421686747,0.849648034569278,"18754/106042/53416/12847/11539/74244/228355/18605","Opposite",FALSE,FALSE,0.363855421686747
"GO BP:GO:0042744","GO BP","GO:0042744","hydrogen peroxide catabolic process",24,-1.74768325494123,0.0127459003001082,0.123074568499066,"50493/101488143/18477/11758/320769/15122/17751/15129",14,-1.06287537663976,0.363867684478371,0.849648034569278,"21672/54683/15129/14775/14778/12359/11757/53381","Both negative",FALSE,FALSE,0.363867684478371
"GO MF:GO:0016530","GO MF","GO:0016530","metallochaperone activity",12,-1.07417506468091,0.364197530864198,0.679282868525896,"26426/11927/100126824/22041/14297/57320/12856",10,-1.44458519887964,0.0881670533642691,0.47737819025522,"12856/226043/14297/76826/26425","Both negative",FALSE,FALSE,0.364197530864198
"GO MF:GO:0030215","GO MF","GO:0030215","semaphorin receptor binding",22,1.11169614962554,0.33,0.646796588047956,"20346/20347/20351/20355/108151/20354/20358/20361",10,1.09033236114206,0.364273204903678,0.843136771695124,"19762/20352/20401","Both positive",FALSE,FALSE,0.364273204903678
"GO BP:GO:0050862","GO BP","GO:0050862","positive regulation of T cell receptor signaling pathway",19,-1.18913856122744,0.244813278008299,0.640145304104336,"226422/12042/77647/225825/12520/27050",10,-1.06553623183301,0.364285714285714,0.849936090225564,"12520/74256/19697/16151","Both negative",FALSE,FALSE,0.364285714285714
"GO BP:GO:0046578","GO BP","GO:0046578","regulation of Ras protein signal transduction",197,1.12963949148356,0.185258964143426,0.567495349360645,"102442/68585/17311/223513/212307/216831/56715/70527/11548/228355/14744/16765/211673/12825/99371/17926/228998/232227/54153/236920/11845/20262/16000/11549/56392/233046/50768/23921/71544/19053/320127/114713/14063/170731/19414/260299/240057/18015/14251/211323/16800/244418/109689/94190/99167/232906/19158/14064/235041/108058/320271/330863/16653/19415/227326/26554",116,-1.04592439016084,0.364741641337386,0.850552180982973,"216831/68585/50768/99371/66863/320127/109689/74769/11303/13430/18186/193385/19684/228998/70527/19419/235041/229541/11857/11806/19417/170731/69601/232227/19053/16800/216963/104418/26921/14745/57912/211673/94176/215821/73728/16456/18015/24064/228355/70497/19732","Opposite",FALSE,FALSE,0.364741641337386
"GO CC:GO:0005791","GO CC","GO:0005791","rough endoplasmic reticulum",45,1.04503128020835,0.365079365079365,0.568234412176917,"22201/68365/69071/18746/22370/19215/74585/140740",24,1.58534892554135,0.0158516522437646,0.0962421743371424,"20335/66212/20818/140740/19215/69071/330401/68365/216197/54208/67891/13839/19164","Both positive",FALSE,FALSE,0.365079365079365
"GO BP:GO:0046716","GO BP","GO:0046716","muscle cell cellular homeostasis",27,1.05947581134691,0.365503080082136,0.724064902886619,"18642/69807/11674/11732/18605/16795/15251/16193/11789/18750/13405",17,-1.71458168868327,0.013054123145494,0.208653108724752,"11789/17772/13405/18750/18815/14297/18642/11674/18605","Opposite",FALSE,FALSE,0.365503080082136
"GO MF:GO:0120283","GO MF","GO:0120283","protein serine/threonine kinase binding",21,1.65231708642567,0.0149317643778363,0.111614373099546,"67300/26419/11764/56637/13429/74006/17952/11798/18195/26409/103967/11772",14,-1.07221516642002,0.36551724137931,0.843136771695124,"18195/56637/18754/13430/11764/67300","Opposite",FALSE,FALSE,0.36551724137931
"GO MF:GO:0003746","GO MF","GO:0003746","translation elongation factor activity",17,-1.27188514643678,0.173489278752437,0.479579945097633,"13629/67160/66656/55949/13627",14,-1.06778526478335,0.36551724137931,0.843136771695124,"13629/66399/233870/101592","Both negative",FALSE,FALSE,0.36551724137931
"GO BP:GO:0001569","GO BP","GO:0001569","branching involved in blood vessel morphogenesis",43,-1.14432538183427,0.267190569744597,0.662017649327375,"14254/16842/11350/12165/18741/18132/20356/67122/18186/20807/14674/18021/17242",12,1.08968995699975,0.365811965811966,0.850867125988188,"12387/17242/67784/56299/14674","Opposite",FALSE,FALSE,0.365811965811966
