"PathwayKey","Database","ID","Description","RNA_setSize","RNA_NES","RNA_pvalue","RNA_padj","RNA_leadingEdge","Protein_setSize","Protein_NES","Protein_pvalue","Protein_padj","Protein_leadingEdge","DirectionPattern","SharedPvalue","SharedFDR","JointPvalue"
"GO CC:GO:0098800","GO CC","GO:0098800","inner mitochondrial membrane protein complex",146,-3.10666914266168,1e-10,2.52666666666667e-09,"72900/66525/66916/12857/407785/230075/70257/110323/66052/70316/12864/18673/53600/11951/14356/67264/12868/67105/12861/68514/100042179/57423/17993/66594/67530/17706/66152/66541/66218/17991/67067/27425/104130/224904/71679/68342/12859/22272/67130/12867/107197/69029/67126/54405/68375/66576/78330/66495/11957/68198/66414/66091/433771/20463/67184/17721/66075/66416/67942/17717/17709/66477/17720/407790/17719/66377/17705/17722/17708/17716/17710/17718/75406/68202/17711/69773",113,-2.45014438590919,1e-10,1.98333333333333e-08,"28080/66108/68117/66815/67273/66414/68198/66477/76614/66098/11949/67126/66349/66043/67680/12861/68202/66576/12859/72900/68316/68349/216001/67130/71679/84682/22273/11946/12865/215999/225887/68342/67264/230935/67067/66928/224904/66075/30059/66916/18673/17995/227197/30056/69029/68375/66218/12864/78330/66945/11958/11950/226646/75406/78506","Both negative",TRUE,TRUE,1e-10
"GO CC:GO:0098798","GO CC","GO:0098798","mitochondrial protein-containing complex",291,-2.82634782638716,1e-10,2.52666666666667e-09,"75266/66077/626359/595136/18120/67713/20917/72900/66525/68537/66916/12857/407785/230075/68512/66169/70257/110323/66052/66383/70316/12864/67270/68611/66121/66163/28028/74600/94061/68735/18673/68565/53600/56282/11951/72039/14356/67264/12868/231086/67105/12861/68514/100042179/69527/57423/67414/17993/234384/66407/79044/50529/68463/66594/67530/17706/170718/94066/30055/66152/67707/97212/30058/66541/110826/66218/17991/68836/67067/27425/104130/224904/67681/12039/50776/71679/68342/12859/22272/67130/66047/15108/12867/107197/68499/69029/67126/223696/54405/78038/68375/66576/66230/78330/66495/78523/11957/68198/66414/66091/66119/433771/66292/20463/67184/17721/66075/66416/67942/17717/382793/17709/66477/107732/64660/17720/407790/99045/17719/66377/17705/17722/17708/17716/17710/17718/75406/13171/68202/110842/17711/69773/14548/66845",243,-2.16491389640313,1e-10,1.98333333333333e-08,"28080/78038/66108/68117/66815/66493/67273/66414/68263/110842/19935/68198/69527/72039/66477/15108/15929/76614/338359/66098/11949/67126/66349/11740/65111/66043/67680/12861/68202/66576/641376/97212/64656/12859/218506/30055/72900/52443/68316/68349/216001/67130/67834/18041/64659/71679/67212/84682/68653/22273/56280/67036/11946/232536/68463/12865/215999/107734/225887/68342/68512/94067/67264/69956/230935/67067/66928/14297/67681/99045/224904/66075/30059/66916/57312/18673/56451/107733/53333/68537/17995/102060/11739/66121/64660/227197/30056/69029/68375/66218/66841/12864/78330/27397/66945/11958/11950/13382/226646/22333/75406/78506","Both negative",TRUE,TRUE,1e-10
"GO CC:GO:0022626","GO CC","GO:0022626","cytosolic ribosome",132,-4.08133026823984,1e-10,2.52666666666667e-09,"100503670/67248/100502825/100042823/67941/267019/213753/19896/27176/27370/110954/20044/269261/22186/105244208/19951/14109/20103/19921/100043346/67186/20102/11837/100043718/20115/19941/270106/26451/67945/20084/54217/19982/20055/20116/56040/75617/66184/67097/20088/76808/19942/19943/619605/67891/20005/19933/27207/66489/19981/19899/27050/26961/666586/67025/67427/319195/27367/68193/19988/68436/16898/20085/76846/20042/20054/20068/22121/66475/67115/20091/114641/68052/19989/16785/20104/57808/67671/66481/20090/54127/78294/65019/268449/100043813/67281/13627/19946",101,2.34820422410421,1.15493563813806e-09,1.37437340938429e-07,"54127/67097/19899/75617/26451/20055/19942/20090/20085/268449/68052/68193/20042/76846/19989/19934/114641/20084/75452/19981/19946/19943/20044/67671/27176/66480/100503670/19896/27207/67186/22121/20103/16785/27050/66475/27367/20115/67891/19988/57751/27103/16898/68436/20116/27370/76808/67941/67427/67115/65019/20102/19982/20826/20005/57808/14109/77987/19951","Opposite",TRUE,TRUE,1.15493563813806e-09
"GO BP:GO:0009060","GO BP","GO:0009060","aerobic respiration",188,-2.20030401228855,3.00967549004695e-09,7.34360819571456e-07,"66046/11428/14004/12534/15926/66072/56451/268697/28080/214917/11958/215951/56327/12359/71832/108037/102631912/105675/17986/14297/66148/57320/595136/27369/20917/66972/72900/17869/66916/12857/407785/230075/66052/66383/70316/67472/13063/67264/12868/26914/12861/14533/57423/17993/66594/67530/17706/170718/67267/11848/66152/66218/17991/11651/104130/71679/68342/70556/12859/22272/67130/12867/107197/58805/67126/54405/68375/66576/78330/66495/269951/11957/68198/66414/66091/20463/67184/17721/66416/17717/17709/17720/68077/17719/11429/66377/17705/17722/17708/17716/17710/17718/75406/68202/17711/76824",140,-2.27508728235485,2.83482749460849e-09,7.65299027399284e-06,"28080/215951/66108/67273/66414/68263/68198/17448/76824/15929/70556/13063/11949/67126/66043/67680/12359/12861/68202/66576/64602/12859/72900/68349/67130/67834/71679/84682/22273/11429/11946/14467/12865/12122/225887/68342/11666/67264/20916/18293/14297/27369/56428/69089/69702/66916/104112/56451/68550/17995/102060/227197/68375/66218/78330/66945/11958/11950/13382/12974/226646/75406","Both negative",TRUE,TRUE,3.00967549004695e-09
"GO BP:GO:0002181","GO BP","GO:0002181","cytoplasmic translation",143,-3.79864861460075,1e-10,4.22933333333333e-08,"100503670/98221/67248/100042823/267019/666794/13629/69674/19896/27176/27370/20044/269261/22186/12785/105244208/19951/14109/20103/19921/67186/20102/11837/100043718/20115/68028/19941/270106/26451/67945/20084/54217/19982/20055/20116/56040/75617/67097/20088/76808/19942/19943/67891/20005/19933/27207/19981/19899/22608/27050/26961/67025/67427/319195/27367/68193/19988/68436/16898/20085/76846/20042/20054/20068/22121/66475/67115/20091/114641/68052/19989/16785/20104/57808/67671/66481/20090/54127/78294/65019/268449/19946",127,2.2314434879423,3.7781231890915e-09,7.65299027399284e-06,"54127/67097/19899/75617/26451/20055/26908/19942/218693/20090/20085/98221/268449/68052/68193/20042/76846/19989/19934/114641/20084/19981/19946/54632/19943/20044/56403/67671/27176/66480/100503670/19896/67579/27207/67186/22121/20103/66405/16785/11991/27050/66475/27367/20115/67891/19988/27103/16898/68436/20116/69674/27370/76808/217331/67427/67115/65019/666794/20102/231207","Opposite",TRUE,TRUE,3.7781231890915e-09
"GO CC:GO:0022625","GO CC","GO:0022625","cytosolic large ribosomal subunit",69,-3.77409578950681,1e-10,2.52666666666667e-09,"100503670/67248/100502825/100042823/19896/27176/110954/269261/22186/19951/19921/100043346/67186/11837/100043718/19941/270106/26451/67945/54217/19982/56040/76808/19942/19943/619605/67891/20005/19933/66489/19981/19899/26961/666586/67025/319195/27367/68193/19988/68436/20042/22121/67115/114641/19989/57808/67671/65019/268449/67281/19946",48,2.44206249182279,4.20043142851826e-09,4.16542783328061e-07,"19899/26451/19942/268449/68193/20042/19989/19934/114641/19981/19946/19943/67671/27176/66480/100503670/19896/67186/22121/27367/67891/19988/68436/76808/67115/65019/19982/20826/20005/57808/19951","Opposite",TRUE,TRUE,4.20043142851826e-09
"GO BP:GO:0042274","GO BP","GO:0042274","ribosomal small subunit biogenesis",103,-2.39733473007648,5.48216767147112e-09,1.15696479103474e-06,"223499/66523/73736/59028/55989/20826/50529/67941/267019/18148/20044/105244208/14109/20103/14791/102462/20115/68966/20055/20116/75617/20088/27207/70078/20085/76846/20042/20054/20068/66475/67205/20091/68052/16785/20104/67671/66481/54127/67134/100043813",51,2.45410914166421,6.55283204397793e-09,7.65299027399284e-06,"54127/108707/75617/20055/20085/78651/68052/20042/76846/230082/269470/13871/105372/20044/21771/67671/27207/14113/20103/16785/66475/20115/67134/18148/98956/69499/20935/20116","Opposite",TRUE,TRUE,6.55283204397793e-09
"GO BP:GO:0140236","GO BP","GO:0140236","translation at presynapse",47,-3.91097327149864,1e-10,4.22933333333333e-08,"100503670/267019/19896/27176/27370/110954/20044/269261/22186/19951/20103/67186/19941/270106/26451/54217/19982/20055/67097/20088/19942/19943/67891/20005/27207/66489/19981/26961/319195/68193/19988/68436/20042/22121/67115/19989/57808/67671/54127/78294/65019/268449/67281",45,2.46565727838025,1.42879235583894e-08,7.65299027399284e-06,"54127/67097/26451/20055/19942/268449/68193/20042/19989/19934/19981/19943/20044/67671/27176/66480/100503670/19896/27207/67186/22121/20103/67891/19988/68436/27370/67115/65019/19982/20005/57808/19951/57294","Opposite",TRUE,TRUE,1.42879235583894e-08
"GO BP:GO:0045333","GO BP","GO:0045333","cellular respiration",242,-2.07021264231021,8.92370729913238e-09,1.61748568873417e-06,"66046/11428/14004/12534/15926/66072/56451/268697/67636/28080/15975/71701/214917/11958/215951/56327/100126824/12359/71832/108037/102631912/105675/18432/17986/14297/22040/66148/231699/243262/57320/595136/27369/20917/66972/72900/17869/66916/12857/407785/230075/66052/66383/70316/67472/13063/67885/67264/12868/26914/12861/14533/57423/17993/66594/67530/17706/170718/67267/23960/11848/66152/110826/71803/66218/17991/11651/104130/50776/71679/68342/70556/12859/22272/67130/12867/107197/58805/67126/54405/68375/66576/78330/70673/66495/269951/20512/11957/68198/66414/66091/20463/67184/17721/18021/66416/17717/17709/16189/17720/68077/17719/11429/66377/17705/17722/17708/17716/17710/17718/75406/68202/110842/17711/76824",168,-2.08811732968579,2.0550995232153e-08,7.65299027399284e-06,"28080/215951/66108/67273/68002/66414/14555/68263/110842/68198/17448/76824/15929/70556/13063/11949/67126/66043/67680/12359/12861/68202/66576/64602/12859/72900/68349/52637/67130/67834/71679/20656/84682/170731/22273/11429/11946/78830/14467/12865/12122/225887/68342/11666/67264/20916/18293/14297/27369/56428/69089/18810/69702/66916/104112/56451/68550/17995/102060/227197/50799/68375/66218/78330/66945/11958/11950/13382/12974/226646/75406","Both negative",TRUE,TRUE,2.0550995232153e-08
"GO BP:GO:0140241","GO BP","GO:0140241","translation at synapse",48,-3.95897861393492,1e-10,4.22933333333333e-08,"100503670/267019/13629/19896/27176/27370/110954/20044/269261/22186/19951/20103/67186/19941/270106/26451/54217/19982/20055/67097/20088/19942/19943/67891/20005/27207/66489/19981/26961/319195/68193/19988/68436/20042/22121/67115/19989/57808/67671/54127/78294/65019/268449/67281",46,2.39957741902259,2.07164185174631e-08,7.65299027399284e-06,"54127/67097/26451/20055/19942/268449/68193/20042/19989/19934/19981/19943/20044/67671/27176/66480/100503670/19896/27207/67186/22121/20103/67891/19988/68436/27370/67115/65019/19982/20005/57808/19951/57294","Opposite",TRUE,TRUE,2.07164185174631e-08
"GO BP:GO:0140242","GO BP","GO:0140242","translation at postsynapse",48,-3.95897861393492,1e-10,4.22933333333333e-08,"100503670/267019/13629/19896/27176/27370/110954/20044/269261/22186/19951/20103/67186/19941/270106/26451/54217/19982/20055/67097/20088/19942/19943/67891/20005/27207/66489/19981/26961/319195/68193/19988/68436/20042/22121/67115/19989/57808/67671/54127/78294/65019/268449/67281",46,2.39957741902259,2.07164185174631e-08,7.65299027399284e-06,"54127/67097/26451/20055/19942/268449/68193/20042/19989/19934/19981/19943/20044/67671/27176/66480/100503670/19896/27207/67186/22121/20103/67891/19988/68436/27370/67115/65019/19982/20005/57808/19951/57294","Opposite",TRUE,TRUE,2.07164185174631e-08
"GO MF:GO:0003735","GO MF","GO:0003735","structural constituent of ribosome",168,-3.94320177208749,1e-10,6.105e-08,"100038991/19944/66480/68611/66163/74600/94061/68735/68565/56282/66483/69527/66407/79044/50529/68463/94066/67707/68836/100503670/67681/67248/100502825/100042823/67941/66047/267019/19896/225215/27176/78523/27370/110954/20044/66292/269261/22186/105244208/19951/66416/14109/20103/19921/67186/20102/102462/11837/100043718/107732/20115/64660/68028/19941/270106/26451/67945/20084/54217/19982/20055/20116/56040/75617/67097/20088/76808/19942/19943/67891/20005/19933/27207/66489/19981/19899/27050/26961/666586/67025/67427/319195/27367/68193/19988/68436/16898/20085/76846/20042/20054/20068/22121/66475/67115/20091/114641/68052/19989/16785/20104/57808/67671/66481/20090/54127/78294/65019/268449/100043813/67281/19946/66845",142,2.15122061532324,2.73833232867621e-08,2.25364750650052e-05,"54127/67097/18120/19899/75617/26451/20055/19942/20090/20085/27398/268449/68052/68193/20042/76846/19989/19934/66973/114641/20084/66223/19981/19946/19943/20044/67671/27176/66480/100503670/19896/27207/67186/22121/20103/94064/16785/94063/27050/66475/27367/20115/67891/19988/66407/94062/16898/68436/20116/66448/67994/27370/76808/107732/67941/67427/67115/65019/67840/67707/20102/19982/118451/66845/20005/50529","Opposite",TRUE,TRUE,2.73833232867621e-08
"GO CC:GO:1990204","GO CC","GO:1990204","oxidoreductase complex",120,-2.67619820336098,1e-10,2.52666666666667e-09,"626359/595136/18451/18453/17969/72900/66916/66355/407785/230075/66052/70316/66427/109754/67264/68133/66112/17993/66594/67530/170718/66152/71893/234309/110826/66218/17991/104130/12039/68342/22272/67130/107197/14979/54405/68375/66576/78330/66495/68198/66414/104174/66091/67184/17721/66416/17717/17720/17719/66377/17722/17708/17716/17718/75406/13171/68202/110842/17711",88,-2.31904410154928,3.43131214111412e-08,2.91661531994701e-06,"66108/67273/66414/14555/68263/110842/18451/333433/68198/15929/234309/66349/67680/20133/12359/68202/66576/72900/68349/67130/67834/14979/22273/16832/225887/68342/66355/67264/18293/66928/66916/104174/17995/227197/68375/66218/66841/78330/66945/13382/226646/75406","Both negative",TRUE,TRUE,3.43131214111412e-08
"GO CC:GO:0070469","GO CC","GO:0070469","respirasome",96,-3.01587773000755,1e-10,2.52666666666667e-09,"72900/66916/12857/407785/230075/110323/66052/70316/12864/67264/12868/12861/17993/66594/67530/66152/66218/17991/104130/68342/12859/22272/67130/12867/107197/54405/68375/66576/78330/66495/68198/66414/66091/20463/67184/17721/66416/17717/17709/78174/17720/407790/17719/66377/17722/17708/17716/17710/17718/75406/68202/17711",69,-2.33629715793125,5.59975874808115e-08,4.16482056888536e-06,"66349/67680/12861/68202/66576/12859/72900/68349/67130/84682/22273/214489/12865/225887/68342/67264/66928/66916/17995/227197/68375/66218/12864/78330/66945/226646/75406","Both negative",TRUE,TRUE,5.59975874808115e-08
"GO BP:GO:0006119","GO BP","GO:0006119","oxidative phosphorylation",142,-2.57623001734468,1e-10,4.22933333333333e-08,"66972/72900/17869/66916/12857/407785/230075/66052/66383/70316/13063/67264/12868/26914/12861/57423/17993/66594/67530/17706/67267/11848/66152/66218/17991/104130/71679/68342/70556/12859/22272/67130/12867/107197/58805/67126/54405/68375/66576/78330/66495/11957/68198/66414/66091/20463/67184/17721/66416/17717/17709/17720/17719/66377/17705/17722/17708/17716/17710/17718/75406/68202/17711",109,-2.20244952550487,8.37194073698465e-08,2.4741875524702e-05,"28080/215951/66108/67273/66414/68198/70556/13063/11949/67126/66043/67680/12861/68202/66576/12859/72900/68349/67130/71679/84682/22273/11946/14467/12865/12122/225887/68342/11666/67264/14297/27369/56428/69702/66916/68550/17995/102060/227197/68375/66218/78330/66945/11958/11950/13382/226646/75406","Both negative",TRUE,TRUE,8.37194073698465e-08
"GO CC:GO:0098803","GO CC","GO:0098803","respiratory chain complex",89,-3.14321223299453,1e-10,2.52666666666667e-09,"626359/595136/72900/66916/12857/407785/230075/110323/66052/70316/12864/67264/12868/12861/17993/66594/67530/66152/66218/17991/104130/68342/12859/22272/67130/12867/107197/54405/68375/66576/78330/66495/68198/66414/66091/20463/67184/17721/66416/17717/17709/78174/17720/407790/17719/66377/17722/17708/17716/17710/17718/75406/68202/17711",65,-2.33944388305049,1.06112305637012e-07,6.200259370947e-06,"66349/67680/12861/68202/66576/12859/72900/68349/67130/84682/22273/12865/225887/68342/67264/66928/66916/17995/227197/68375/66218/12864/78330/66945/226646/75406","Both negative",TRUE,TRUE,1.06112305637012e-07
"GO CC:GO:0005746","GO CC","GO:0005746","mitochondrial respirasome",88,-3.13631328804551,1e-10,2.52666666666667e-09,"626359/595136/72900/66916/12857/407785/230075/110323/66052/70316/12864/67264/12868/12861/17993/66594/67530/66152/66218/17991/104130/68342/12859/22272/67130/12867/107197/54405/68375/66576/78330/66495/68198/66414/66091/20463/67184/17721/66416/17717/17709/17720/407790/17719/66377/17722/17708/17716/17710/17718/75406/68202/17711",65,-2.3390945804159,1.06112305637012e-07,6.200259370947e-06,"66349/67680/12861/68202/66576/12859/72900/68349/67130/84682/22273/12865/225887/68342/67264/66928/66916/17995/227197/68375/66218/12864/78330/66945/226646/75406","Both negative",TRUE,TRUE,1.06112305637012e-07
"GO BP:GO:0015980","GO BP","GO:0015980","energy derivation by oxidation of organic compounds",334,-1.84327296367718,3.14009311948422e-07,3.26569684426359e-05,"66046/14711/14936/11428/14004/12534/27357/15926/232493/66072/56451/268697/67636/28080/15975/71701/214917/11958/22059/215951/56327/100126824/12359/14387/71832/108037/102631912/105675/18432/224792/58200/17986/14297/22040/21416/66148/231699/243262/57320/595136/27369/20917/66972/72900/17869/20411/66916/12857/407785/230075/72157/66052/66383/70316/103988/11364/67472/13063/67885/67264/18976/12868/26914/20203/66681/12861/56351/14533/57423/17993/17202/66594/67530/18682/17706/170718/67267/23960/11848/66152/110826/71803/16591/66218/17991/11651/104130/50776/71679/68342/70556/12859/22272/67130/12867/107197/58805/67126/216558/54405/18679/68375/66576/77559/78330/70673/66495/269951/20512/11957/68198/66414/66091/20463/67184/17721/18021/66416/17717/102093/17709/16189/17720/68077/17751/17719/11429/66377/17705/17722/17708/17716/17710/17718/75406/68202/110842/17711/110078/76824/53412",220,-1.88697543590802,2.27805369034775e-07,5.73179588533759e-05,"28080/74185/215951/19045/66108/11652/67273/68002/54646/66414/66681/14555/19047/68263/110842/68198/17448/76824/15929/70556/13063/11949/67126/66043/67680/12359/12861/68202/14783/66576/64602/12859/72900/68349/52637/67130/67834/71679/20656/84682/170731/22273/11429/11946/78830/14467/12865/12122/225887/68342/16548/11666/19046/67264/56717/20916/18293/19062/14297/27369/56428/105651/69089/18810/69702/66916/104112/56451/68550/17995/102060/227197/50799/18642/68375/66218/78330/66945/11958/11950/319801/18605/13382/12974/226646/75406","Both negative",TRUE,TRUE,3.14009311948422e-07
"KEGG:mmu05171","KEGG","mmu05171","Coronavirus disease",252,-2.69320558898339,1e-10,7.02e-09,"18033/142980/23960/17175/100503670/67248/433745/100502825/67941/100039532/267019/100040298/19896/225215/27176/27370/110954/16179/20044/269261/22186/434843/19951/14109/20103/19921/67186/20102/11837/20115/68028/19941/270106/26451/67945/20084/54217/19982/20055/20116/56040/75617/67097/20088/76808/19942/19943/67891/20005/19933/27207/66489/19981/19899/27050/26961/67025/67427/319195/27367/68193/19988/68436/16898/20085/76846/20042/20054/20068/22121/66475/67115/20091/114641/68052/19989/16785/20104/57808/67671/66481/20090/54127/78294/65019/268449/100043813/67281/19946",134,2.04330235486286,3.75777587587402e-07,3.61676264316923e-05,"54127/67097/19899/75617/26451/20055/19942/20090/20085/268449/68052/68193/20042/76846/19989/19934/114641/18706/20084/19981/19946/19943/20044/67671/27176/66480/100503670/19896/27207/67186/22121/26420/20103/16785/27050/66475/27367/20115/67891/19988/54131/18709/16898/68436/12262/20116/27370/26419/76808/67941/12260/67427/26413/67115/65019/20102/19982/20005/11491/26409/26417/11421/57808/14109/16150/19951/57294/70008","Opposite",TRUE,TRUE,3.75777587587402e-07
"KEGG:mmu03010","KEGG","mmu03010","Ribosome",215,-3.68959861719703,1e-10,7.02e-09,"665562/19944/66480/108169063/67270/68611/66121/66163/102640707/28028/74600/94061/68735/68565/56282/66483/243302/69527/66407/79044/50529/68463/94066/67707/68836/100503670/67681/67248/433745/100502825/67941/100039532/66047/267019/68499/100040298/66230/19896/225215/27176/78523/27370/110954/20044/66292/269261/22186/434843/19951/14109/20103/19921/67186/20102/11837/14694/107732/20115/64660/68028/19941/270106/26451/99045/67945/20084/54217/19982/20055/20116/56040/75617/67097/20088/76808/19942/19943/67891/20005/19933/27207/66489/19981/19899/27050/26961/67025/67427/319195/27367/68193/19988/68436/16898/20085/76846/20042/20054/20068/22121/66475/67115/20091/114641/68052/19989/16785/20104/57808/67671/66481/20090/54127/78294/65019/268449/100043813/67281/14548/19946/66845",158,1.92687137002359,7.33629227420685e-07,4.6071915482019e-05,"54127/67097/18120/19899/75617/26451/20055/19942/20090/20085/27398/268449/68052/68193/20042/76846/19989/19934/66973/114641/20084/66223/19981/19946/19943/20044/67671/27176/66480/100503670/19896/27207/67186/22121/20103/94064/16785/94063/27050/66475/27367/66230/20115/67891/19988/66407/94062/16898/68436/20116/66448/67994/67270/27370/76808/107732/67941/67427/67115/65019/67840/67707/20102/19982/118451/66845/14694/20005/50529","Opposite",TRUE,TRUE,7.33629227420685e-07
"KEGG:mmu05415","KEGG","mmu05415","Diabetic cardiomyopathy",202,-1.95354021976137,8.0560587712049e-07,2.82767662869292e-05,"17969/72900/66916/12857/407785/230075/110323/66052/70316/12864/110854/17390/11951/67264/12868/12861/21808/17993/66594/67530/18033/17706/66152/19353/66218/17991/11651/104130/71679/68342/12859/22272/67130/19354/12867/18753/67126/54405/68375/66576/78330/11606/66495/11957/68198/66414/66091/20463/67184/17721/66416/67942/17717/17709/78174/17720/407790/17719/66377/17705/17722/17708/17716/17710/17718/75406/27273/68202/17711",137,-2.12147610873723,9.78273443391311e-08,3.07177861224872e-05,"28080/19045/66108/11652/67273/55951/66414/11938/19047/68263/68198/74769/18762/18795/11949/67126/18751/11740/66043/12896/67680/12861/68202/66576/12859/72900/14381/68349/67130/71679/84682/22273/11946/12865/236900/225887/68342/19046/20191/67264/22335/18750/19697/56717/12323/66916/22334/17995/11739/26414/227197/68375/66218/12864/78330/66945/11950/226646/22333/75406","Both negative",TRUE,TRUE,8.0560587712049e-07
"GO MF:GO:0015453","GO MF","GO:0015453","oxidoreduction-driven active transmembrane transporter activity",33,-2.57019747009951,3.10634819819664e-07,2.91757780769085e-05,"72900/66916/73649/17993/17991/20930/66576/17721/17717/17709/17720/17719/17722/17708/17716/17710/17718/75406/17711",18,-2.44486670688583,1.15038573689441e-06,0.000315589153821366,"66576/72900/68349/20930/84682/12865/225887/66916/17995/227197/226646/75406","Both negative",TRUE,TRUE,1.15038573689441e-06
"GO BP:GO:0042776","GO BP","GO:0042776","proton motive force-driven mitochondrial ATP synthesis",65,-2.82885512021295,1e-10,4.22933333333333e-08,"72900/66916/407785/230075/66052/70316/67264/57423/17993/17706/66218/17991/104130/71679/68342/67130/67126/54405/68375/78330/66495/11957/68198/66414/66091/67184/17721/66416/17717/17720/17719/66377/17705/17722/17716/17718/75406/68202",54,-2.28571190200717,1.19492559852396e-06,0.000203734814548336,"28080/66108/67273/66414/68198/11949/67126/66043/67680/68202/72900/68349/67130/71679/11946/225887/68342/67264/66916/17995/227197/68375/66218/78330/66945/11958/11950/226646/75406","Both negative",TRUE,TRUE,1.19492559852396e-06
"KEGG:mmu04714","KEGG","mmu04714","Thermogenesis",227,-2.2434613408137,1e-10,7.02e-09,"20662/329003/66916/12857/407785/230075/12856/110323/66052/70316/105787/12864/66359/83766/70127/15461/56456/11951/67264/12868/208647/76947/66706/12861/66853/57423/66379/17993/66594/67530/83796/17706/57279/66152/12894/66218/17991/76178/27425/104130/71679/68342/12859/22272/67130/12867/67126/54405/68375/66576/20111/78330/70673/66495/11957/68198/66414/66091/20463/67184/17721/78070/66416/67942/17717/216739/17709/78174/17720/407790/17719/66377/17705/17722/17708/17716/14182/75597/17710/17718/75406/68202/20104/17711",161,-1.9112115099761,1.45852477356255e-06,6.54252541283773e-05,"19082/28080/66108/57279/11512/67273/69893/66414/68198/216739/277250/11909/14182/20663/11949/67126/66706/20111/66043/12896/67680/64930/74205/22084/12861/68202/66576/12859/72900/68349/210044/56456/67130/239985/224129/71679/104111/84682/66379/22273/12856/66993/11946/12865/225887/68342/11465/67264/56717/69802/69702/66916/17995/227197/74370/68375/66218/12864/14081/78330/66945/11958/11950/226646/75406","Both negative",TRUE,TRUE,1.45852477356255e-06
"GO BP:GO:0042254","GO BP","GO:0042254","ribosome biogenesis",314,-2.03897304750237,1.1263844884783e-09,3.46917980163542e-07,"19384/66583/75416/100038991/67949/229504/109075/223499/66523/231452/73736/59028/55989/66181/52521/100609/237730/75422/236732/28126/74097/20826/234384/50529/67223/72614/227522/67674/208768/70285/214616/100503670/67941/267019/68533/14645/19896/225215/27176/110954/57316/18148/20044/105244208/14109/20103/14791/101867/102462/11837/107732/20115/68966/68077/68040/19941/67832/20055/20116/75617/20088/19942/27207/66489/320790/67025/70078/68193/19988/20085/76846/20042/20054/20068/66475/67115/67205/20091/68052/19989/16785/20104/57808/67671/66481/54127/67134/268449/59050/100043813",175,1.89600643584557,2.35971098637866e-06,0.000337438671052148,"54127/108707/75617/57815/67674/20055/19942/67755/20085/78651/28126/268449/60321/20227/68052/68193/20042/76846/19989/230082/269470/234384/70930/13871/237730/227522/66870/140546/105372/20044/21771/67671/27176/100503670/19896/27207/99375/14113/20103/72584/226982/16785/66475/20115/67134/110109/18148/19988/98956/67014/69499/68147/20935/68845/68083/20116/16418/224619/66448/97112/55989/107732/67941/67493/67115/18150/217011/245474/118451/107071/20826/50529/71989/57808/14109/103136/216156/57294/57750/66164/19069/18572/217038","Opposite",TRUE,TRUE,2.35971098637866e-06
"GO CC:GO:0043209","GO CC","GO:0043209","myelin sheath",208,1.91314231859038,3.13389143961346e-06,5.39884025278864e-05,"67300/14569/12805/20910/18810/14086/22190/11966/23969/54130/227613/18795/18597/18759/76614/18648/19211/17449/17957/14719/22628/13806/20964/12550/18746/20614/67003/235072/269523/67834/18674/21838/18377/22153/17926/11928/20362/22142/11674/226180/18738/11845/18040/13429/78920/20740/14567/13628/108123/11946/227197/13383/15481/20656/14681/13382/12716/11931/78830/14688/22333/53321/12709/11964/13807/15526/15519/14696/71934/72948/232975/56044/18195/11949/20965/18571/21367/269116/11677/12306/227753/20336/14827/22273/380684/22223/20916/14433/12043/140559/17448/12540",186,-2.01011491261184,1.14626643832634e-07,6.200259370947e-06,"28080/17475/18952/18417/15129/18039/67801/67273/235072/70747/380684/77767/14697/83964/17441/21367/17196/18823/17448/18762/18040/64383/76614/18795/13063/12741/11949/18000/118454/17433/11740/19684/23980/12861/12799/12859/17136/72900/15526/12716/53321/68349/338367/67834/13807/11931/71679/20656/17988/11898/18674/22273/16832/233870/11429/11946/78830/118446/14719/11757/71960/11465/227753/18648/20916/14086/18810/11657/18673/22334/109905/11739/12509/227197/18746/16897/11674/12540/66945/11950/67300/232975/13382/22333","Opposite",TRUE,TRUE,3.13389143961346e-06
