"EntrezID","PearsonR"
"433022",1
"16490",0.997084221457515
"102442",0.996209810190478
"20514",0.993472632311908
"108664",0.99076990541398
"223658",0.989771788890823
"68192",0.988416769913634
"72759",0.988108553476838
"11975",0.987949556232642
"68585",0.987849363142711
"104001",0.98719806032701
"72179",0.987151557380498
"17702",0.986556909759172
"234734",0.985024764807327
"16410",0.985018360144205
"234663",0.984880716431349
"76132",0.984842407130998
"238271",0.984722389372992
"12338",0.983584221307724
"71781",0.983132392778556
"56736",0.98309339874588
"71586",0.982955047308055
"16579",0.982220518913387
"75469",0.981354095261574
"234865",0.981236804429589
"239556",0.981059750113808
"56745",0.980906542698949
"338346",0.980393734496557
"52864",0.980107267204384
"13347",0.980018918858377
"213326",0.979509231503566
"67306",0.978205069891036
"54411",0.977930904711396
"69863",0.977825111214858
"19368",0.976976912513924
"320407",0.976588566455423
"329152",0.976394171868079
"93691",0.97619771985467
"193742",0.976177778747053
"78796",0.975812150763157
"99470",0.975472344277666
"218544",0.974986319538043
"98170",0.974704054988057
"54132",0.973947121696822
"208890",0.973427820755912
"20239",0.973423297664416
"66092",0.97305409209475
"53416",0.973034807601602
"100213",0.972712671400773
"226610",0.972631651616676
"11980",0.972483735238234
"107895",0.972416388745244
"76229",0.97231916454435
"241134",0.972175024303449
"12810",0.971893319555569
"72296",0.971311469972538
"20515",0.971123874545437
"16438",0.971033534703694
"99011",0.970823196235016
"74919",0.970754612585913
"13116",0.970685535487249
"224020",0.969878400519727
"67300",0.969841854676085
"98732",0.968982101172498
"208869",0.968775956537766
"70892",0.96870482602046
"20744",0.968603473545093
"23850",0.96849712650018
"64340",0.968196353848264
"320119",0.968189949922311
"330914",0.967821881397526
"230085",0.967736573466092
"20606",0.967491358765478
"234678",0.967368028546867
"68276",0.967142258666604
"228361",0.966685768817785
"269700",0.965902882485358
"208076",0.965891098946063
"11479",0.965620446390316
"77097",0.965455680848791
"18222",0.965056783375693
"16647",0.964906626237862
"15563",0.964846596197766
"17068",0.964751365684306
"18667",0.96448979915709
"74196",0.964233846812629
"76965",0.96384907779553
"13175",0.963771099229768
"105835",0.963436217958399
"269180",0.963337341014635
"108837",0.963268358881096
"68795",0.963160073442171
"74694",0.963052631150078
"20817",0.962972647444594
"28040",0.962777241874093
"229706",0.962758367082062
"353234",0.962749594074131
"110611",0.962729900367845
"241311",0.962377928849615
"21916",0.962258422967397
"66302",0.961719000369495
"98999",0.961599786528419
"12176",0.961470012526383
"56228",0.961226164878384
"76080",0.96121537542551
"11804",0.961116871490278
"51902",0.960918768886919
"109006",0.960872493094151
"20849",0.960476341368532
"13836",0.960378621981366
"12563",0.960271556355896
"231876",0.960243074205541
"99010",0.959581116694332
"22401",0.959439759163405
"12386",0.959418221818117
"63913",0.959402116516082
"14569",0.959370157341996
"19256",0.959270204694417
"67784",0.958831341334764
"227446",0.958649345974768
"64706",0.958097071627967
"230073",0.957740642712875
"241568",0.957693770579274
"232201",0.957143528184388
"14365",0.956982812266386
"17311",0.956976601655059
"223513",0.956956598664207
"230233",0.956863382611151
"381694",0.956654526759213
"140498",0.956482215777328
"59033",0.956172454805024
"242083",0.956052002469788
"108937",0.955992157632316
"23917",0.955626780180848
"11775",0.955356121651975
"27053",0.95526075214153
"229877",0.955225344356867
"18537",0.954877386437633
"243274",0.954865147997375
"226856",0.954741415810308
"19736",0.954551156109186
"330998",0.954317871372408
"11771",0.954026527596279
"22234",0.953890826974784
"12805",0.95387289643235
"194401",0.953845149336725
"215335",0.953833221876524
"20745",0.953245915189605
"16499",0.953191611331475
"76686",0.953081111234266
"108079",0.952959575043155
"212813",0.95285846889143
"258375",0.95285846889143
"544719",0.95285846889143
"240119",0.952728271510376
"56527",0.952590625208153
"268510",0.952565240889329
"98238",0.952426508303698
"17918",0.952292637682964
"230598",0.952244714601233
"71876",0.952165969316738
"59046",0.951870701057677
"212307",0.951619221693119
"192197",0.951255994182615
"74127",0.95120665081503
"66335",0.951202808100197
"57911",0.950982980352046
"227699",0.950968626757881
"56347",0.950732740716845
"320165",0.950728431241784
"320213",0.950358110903003
"100515",0.950296512950668
"96875",0.950123477663288
"68421",0.950101301264082
"74349",0.949454846360942
"270166",0.949088734960403
"50785",0.949006833111344
"210673",0.948711608516819
"19276",0.948680399948075
"14658",0.948650677600023
"20312",0.948245052767318
"94332",0.947898843543604
"106298",0.947850374927495
"65945",0.947840325136429
"57740",0.947762418505186
"17954",0.947677932744761
"110651",0.947596801897874
"15476",0.947570145101039
"216831",0.947504272913872
"11938",0.947197808679083
"210376",0.947159820504687
"244682",0.946982050698236
"20346",0.946834852738199
