"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","PathwayKey"
"GO:0002252","immune effector process",200,-0.234619852979721,-1.27243452214953,0.028557009841469,0.319961567838699,0.298433765531341,1609,"tags=29%, list=22%, signal=23%","107338/18762/22122/20619/99138/11537/54519/15452/105855/64930/17688/270151/12266/360013/15275/12652/20361/75974/101142/16573/19419/14158/12261/20851/11806/72103/17101/12259/16859/22042/12258/76438/100561/14389/12628/22030/214084/56717/110786/18810/18826/94176/80795/18673/214162/72544/109905/12509/14964/13848/16016/13166/16019/18439/110382/14061/18605/13136","GO BP","Proteomics","Negative","GO BP:GO:0002252"
"GO:0046824","positive regulation of nucleocytoplasmic transport",45,0.38911576764143,1.4914521817603,0.028582174794524,0.319961567838699,0.298433765531341,1511,"tags=31%, list=21%, signal=25%","15183/68051/22687/15516/66233/29810/22627/432508/18709/15519/15163/66810/19164/26413","GO BP","Proteomics","Positive","GO BP:GO:0046824"
"GO:0006851","mitochondrial calcium ion transmembrane transport",16,-0.518723361442154,-1.59855312517861,0.028770671294509,0.321019627154498,0.299420636010511,1390,"tags=44%, list=19%, signal=35%","76137/216001/74143/215999/69029/22333/78506","GO BP","Proteomics","Negative","GO BP:GO:0006851"
"GO:0002440","production of molecular mediator of immune response",72,-0.299062796893571,-1.36474509298134,0.0288215230334965,0.321019627154498,0.299420636010511,1992,"tags=39%, list=28%, signal=28%","56200/228607/77125/66824/68585/320795/18762/74552/99138/17688/270151/15275/56045/20361/19419/11806/66642/72103/22042/100561/22030/18673/72544/14964/16019/18439/18605/13136","GO BP","Proteomics","Negative","GO BP:GO:0002440"
"GO:0019320","hexose catabolic process",30,-0.423402489556419,-1.61643351911198,0.0289106717928664,0.32120553397939,0.299594034566361,1334,"tags=43%, list=18%, signal=35%","18655/15275/13807/11668/110119/78830/16548/18642/18746/11674/56421/18641/319801","GO BP","Proteomics","Negative","GO BP:GO:0019320"
"GO:1900077","negative regulation of cellular response to insulin stimulus",36,-0.386760473157875,-1.54532497013974,0.0290560422781913,0.321244354633273,0.299630243271041,1580,"tags=39%, list=22%, signal=31%","18762/18751/22084/14783/18718/228869/18750/19697/26569/19062/117150/74142/11625/18605","GO BP","Proteomics","Negative","GO BP:GO:1900077"
"GO:0010171","body morphogenesis",24,-0.450717434189686,-1.58015869702078,0.0290590990769101,0.321244354633273,0.299630243271041,1252,"tags=38%, list=17%, signal=31%","20397/50884/19247/226407/76499/20130/109880/76707/101476","GO BP","Proteomics","Negative","GO BP:GO:0010171"
"GO:0005112","Notch binding",12,0.575034961108525,1.54499150878673,0.0358996482654809,0.324674840906492,0.296499119277656,2731,"tags=75%, list=38%, signal=47%","226255/330171/66354/70417/11491/319594/18133/18128/20602","GO MF","Proteomics","Positive","GO MF:GO:0005112"
"GO:2000737","negative regulation of stem cell differentiation",12,-0.575474093029925,-1.6266983924047,0.0295985801482142,0.326394293027447,0.304433681126435,1626,"tags=50%, list=22%, signal=39%","106042/58202/15526/69562/77889/22601","GO BP","Proteomics","Negative","GO BP:GO:2000737"
"GO:0032813","tumor necrosis factor receptor superfamily binding",15,-0.503968805800986,-1.54157728348443,0.0368843174232796,0.32995427434086,0.301320396341209,839,"tags=47%, list=12%, signal=41%","69660/107976/69601/22030/20846/14155/68729","GO MF","Proteomics","Negative","GO MF:GO:0032813"
"GO:0007264","small GTPase mediated signal transduction",271,-0.222375654432028,-1.2462224396552,0.0301987631682785,0.332186394851064,0.309836076074175,1811,"tags=34%, list=25%, signal=26%","140580/216831/84092/68585/50768/99371/66863/74206/20469/110351/66922/320127/109689/83767/19877/74769/11303/20663/56041/13430/56212/19395/12175/18186/104445/193385/19684/228998/22084/20163/20430/24001/208869/75974/223864/11852/70527/16706/19419/50884/235041/229541/11857/11806/11858/19417/170731/19769/16443/72065/217692/69601/19731/232227/19053/105445/16800/216963/104418/26921/76089/214952/226751/11855/72399/14745/57912/24071/211673/57257/228850/94176/215821/236915/73728/11629/56784/109905/16456/17165/19878/12488/67299/18015/69721/24064/69632/228355/12540/70497/19732/244668","GO BP","Proteomics","Negative","GO BP:GO:0007264"
"GO:0002443","leukocyte mediated immunity",126,-0.266326275744829,-1.35322776479812,0.0306717940005502,0.336554610902076,0.313910387790935,1580,"tags=30%, list=22%, signal=24%","18762/22122/20619/99138/15452/105855/17688/12266/12652/16573/19419/14158/12261/20851/72103/17101/12259/16859/22042/12258/76438/100561/14389/12628/22030/214084/110786/72544/14964/13848/16016/13166/16019/18439/110382/14061/18605/13136","GO BP","Proteomics","Negative","GO BP:GO:0002443"
"GO:0015293","symporter activity",65,0.341471367646282,1.42316587589674,0.0385802469135802,0.341414443116952,0.31178603617766,2254,"tags=48%, list=31%, signal=33%","20515/330064/238384/103098/20511/215335/30805/18174/232333/229706/239606/55963/54338/227059/20510/53881/71803/106957/20512/76574/114479/102857/94229/140919/277468/83704/105727/54403/57138/72961/240332","GO MF","Proteomics","Positive","GO MF:GO:0015293"
"GO:0005342","organic acid transmembrane transporter activity",77,0.332953940260548,1.43052950387363,0.0395525861355198,0.342650298837187,0.312914642667714,2053,"tags=43%, list=28%, signal=31%","229517/224022/17254/330064/103098/18408/239273/20511/215335/30805/232333/11987/55963/26357/171429/54338/18399/20510/71803/26458/26570/20512/76574/69906/70456/26457/241919/102857/20539/140919/12491/105727/11988","GO MF","Proteomics","Positive","GO MF:GO:0005342"
"GO:0046943","carboxylic acid transmembrane transporter activity",77,0.332953940260548,1.43052950387363,0.0395525861355198,0.342650298837187,0.312914642667714,2053,"tags=43%, list=28%, signal=31%","229517/224022/17254/330064/103098/18408/239273/20511/215335/30805/232333/11987/55963/26357/171429/54338/18399/20510/71803/26458/26570/20512/76574/69906/70456/26457/241919/102857/20539/140919/12491/105727/11988","GO MF","Proteomics","Positive","GO MF:GO:0046943"
"GO:0009100","glycoprotein metabolic process",135,0.292579493639589,1.36934374550085,0.0315242569171757,0.34349651283833,0.320385221467928,1957,"tags=39%, list=27%, signal=29%","13478/212996/237500/380959/76299/56398/64294/74498/215015/20454/68563/26879/217364/68273/21664/19089/69352/242291/76308/233824/73836/108155/14348/224143/66357/68292/12387/110173/57357/230904/20014/102580/69038/76051/16795/13480/66967/16430/19164/11881/57377/23908/320011/22235/13200/67075/109154/328572/29858/230903/66175/94229","GO BP","Proteomics","Positive","GO BP:GO:0009100"
