"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","PathwayKey"
"mmu04926","Relaxin signaling pathway",122,0.289302954344046,1.5714903972561,0.00328908749423835,0.0202538545697835,0.0151243358460822,4151,"tags=33%, list=22%, signal=26%","140498/18708/26419/216148/18798/12827/26420/14677/18795/19094/14695/18706/12842/26398/12825/381489/17126/11909/26413/14784/14704/14681/18749/18126/210044/14688/11512/14706/12843/14696/78284/26414/109689/18796/94216/14205/22341/18750/16653/19773","KEGG","Transcriptomics","Positive","KEGG:mmu04926"
"GO:0007029","endoplasmic reticulum organization",95,0.327905686488098,1.69888113439278,0.00104645833524538,0.0209423712264879,0.0183994583600341,2689,"tags=34%, list=14%, signal=29%","68585/104001/98732/17918/69162/225362/30960/73991/13666/546134/66183/338366/20168/66725/52250/13476/19305/27643/15194/70675/319740/231580/69605/12292/73024/23943/227298/76757/114606/103425/102371/74166","GO BP","Transcriptomics","Positive","GO BP:GO:0007029"
"GO:0042405","nuclear inclusion body",12,0.633408193022382,1.90863192604505,0.00379758569328312,0.0211184824449487,0.0157193536876718,5592,"tags=67%, list=29%, signal=47%","269966/19386/27354/110616/105377/20238/58186/15951","GO CC","Transcriptomics","Positive","GO CC:GO:0042405"
"GO:0045263","proton-transporting ATP synthase complex, coupling factor F(o)",12,-0.637804109094804,-1.91920387591214,0.00381692888516882,0.0211184824449487,0.0157193536876718,6474,"tags=92%, list=34%, signal=61%","11950/228033/28080/11958/11951/57423/17706/27425/71679/11957/67942","GO CC","Transcriptomics","Negative","GO CC:GO:0045263"
"GO:1902911","protein kinase complex",142,0.271318830617953,1.53782578547273,0.00388872774992192,0.0212482572921074,0.0158159504354528,4637,"tags=33%, list=24%, signal=25%","11479/108079/26408/16150/227154/13000/12995/18759/12447/12569/12572/19085/66354/19084/57261/12283/12575/51897/12448/12421/26367/18749/110094/19079/111173/16969/13871/108097/72149/269275/22241/12570/16151/26409/18538/78610/26365/67974/58864/12568/77976/14885/16001/381393/22115/16337/66671","GO CC","Transcriptomics","Positive","GO CC:GO:1902911"
"GO:0030660","Golgi-associated vesicle membrane",45,0.415124309727281,1.87070017260056,0.00389644823694317,0.0212482572921074,0.0158159504354528,6063,"tags=60%, list=32%, signal=41%","224020/67300/11765/12847/68861/243983/11768/11764/54161/74585/320150/68137/66913/18550/217887/252903/67549/78891/70349/11767/27277/73218/50797/64011/216549/74325/56447","GO CC","Transcriptomics","Positive","GO CC:GO:0030660"
"GO:0019897","extrinsic component of plasma membrane",140,0.285271260093961,1.60895217817806,0.0039519590954491,0.0213970356739316,0.0159266922944415,3699,"tags=33%, list=19%, signal=27%","12563/12386/11938/20910/109676/14677/320873/12560/244723/16480/546134/53324/14695/23836/72685/21818/12388/20616/16451/12562/16452/12550/215654/20614/71770/11773/29867/104010/14704/320127/23943/14681/320865/17874/14688/14706/20811/20459/14696/78808/14687/217154/241201/69217/19158/11789","GO CC","Transcriptomics","Positive","GO CC:GO:0019897"
"GO:0098835","presynaptic endocytic zone membrane",14,0.598223732701767,1.88638295849543,0.00402723225244207,0.0216499435982347,0.0161149420478458,2076,"tags=50%, list=11%, signal=45%","67300/72685/20616/71770/11773/13429/74006","GO CC","Transcriptomics","Positive","GO CC:GO:0098835"
"GO:0032401","establishment of melanosome localization",17,0.608576397624063,2.01525498506266,0.00108956965975943,0.0216684323558427,0.019037358021535,2094,"tags=53%, list=11%, signal=47%","17918/13191/110380/12560/53869/18457/381269/19324/69654","GO BP","Transcriptomics","Positive","GO BP:GO:0032401"
"GO:1903423","positive regulation of synaptic vesicle recycling",17,0.606778812616099,2.00930241745978,0.00108956965975943,0.0216684323558427,0.019037358021535,2594,"tags=59%, list=14%, signal=51%","26875/104015/20616/66725/11773/75734/19057/13429/74006/18786","GO BP","Transcriptomics","Positive","GO BP:GO:1903423"
"GO:0010770","positive regulation of cell morphogenesis",66,0.382761787583919,1.81860865197582,0.00110202108085811,0.021847567928012,0.0191947421813937,3136,"tags=38%, list=16%, signal=32%","18222/26420/19699/331461/13047/18472/17356/382253/19266/68151/74143/108100/13048/12361/17344/74006/22418/665113/53872/170731/224617/16975/29819/99152/98733","GO BP","Transcriptomics","Positive","GO BP:GO:0010770"
