"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","PathwayKey"
"GO:0097006","regulation of plasma lipoprotein particle levels",64,-0.319014147217677,-1.5097600012082,0.0192520979005674,0.161341227319947,0.142794535495552,5436,"tags=44%, list=28%, signal=31%","20778/16816/74205/12988/22260/27226/11450/11812/329244/67800/16956/17777/238055/11840/18830/13660/104158/83433/76574/11807/14756/11816/56530/54711/223920/17846/14792/68767","GO BP","Transcriptomics","Negative","GO BP:GO:0097006"
"GO:0021799","cerebral cortex radially oriented cell migration",40,0.359669130035105,1.51609737592759,0.0194159212350462,0.162499477988302,0.143819641532754,4799,"tags=50%, list=25%, signal=38%","68585/14270/19699/18472/99512/83431/12569/77053/12825/18992/268882/328365/16975/13193/67254/319565/12570/12568/77582/223697","GO BP","Transcriptomics","Positive","GO BP:GO:0021799"
"GO:0032328","alanine transport",16,0.522131204770884,1.68986982706315,0.0195074084655217,0.162517573596247,0.143835656992497,3474,"tags=44%, list=18%, signal=36%","229706/215335/50934/67760/69354/209837/234967","GO BP","Transcriptomics","Positive","GO BP:GO:0032328"
"GO:0031126","sno(s)RNA 3'-end processing",12,-0.568371696073398,-1.66830909627194,0.0195076918692665,0.162517573596247,0.143835656992497,4497,"tags=50%, list=23%, signal=38%","28036/227715/68280/245474/109075/237730","GO BP","Transcriptomics","Negative","GO BP:GO:0031126"
"GO:0043628","regulatory ncRNA 3'-end processing",12,-0.568371696073398,-1.66830909627194,0.0195076918692665,0.162517573596247,0.143835656992497,4497,"tags=50%, list=23%, signal=38%","28036/227715/68280/245474/109075/237730","GO BP","Transcriptomics","Negative","GO BP:GO:0043628"
"GO:0035051","cardiocyte differentiation",186,0.236188597495785,1.36345885529617,0.0195205534489817,0.162517573596247,0.143835656992497,4374,"tags=31%, list=23%, signal=24%","11479/19736/18810/238161/56717/18479/13052/76365/225288/22431/17260/12159/14200/14534/11548/77579/22437/234214/56637/22402/65256/26398/12156/320712/11554/17684/16905/18175/16000/11549/21393/26413/21821/13813/17888/237560/74244/214384/20997/93760/20541/16795/67655/24052/11546/211323/106042/19664/13642/17268/22160/108058/72162/14815/23966/108655/12540/17996","GO BP","Transcriptomics","Positive","GO BP:GO:0035051"
"GO:0031102","neuron projection regeneration",63,0.321524982151852,1.4914862660773,0.0195734540645394,0.162531403907642,0.143847897465215,5510,"tags=46%, list=29%, signal=33%","68585/210108/83431/19211/16452/233781/21838/18377/223255/18605/19280/15234/14226/211323/21960/269295/22241/380684/14824/238505/12043/16001/11535/19242/19268/21923/66368/65079/30957","GO BP","Transcriptomics","Positive","GO BP:GO:0031102"
"GO:2000649","regulation of sodium ion transmembrane transporter activity",59,0.325544493322456,1.4813473661969,0.0195734540645394,0.162531403907642,0.143847897465215,4740,"tags=42%, list=25%, signal=32%","329152/53416/75607/93692/18795/75785/14167/23967/100102/101118/14169/56398/246317/94253/11931/22629/108058/545622/13830/13405/18693/57780/11735/17999/279561","GO BP","Transcriptomics","Positive","GO BP:GO:2000649"
"GO:0001573","ganglioside metabolic process",27,-0.41602808490484,-1.60173466213364,0.0196087920731219,0.162611995963249,0.14391922520541,2789,"tags=33%, list=15%, signal=29%","20444/15212/50935/26938/320095/241159/241230/20452/14667","GO BP","Transcriptomics","Negative","GO BP:GO:0001573"
"GO:0010566","regulation of ketone biosynthetic process",23,0.455009051578802,1.64127141834915,0.0196531830016659,0.162767353737034,0.144056724104556,3891,"tags=48%, list=20%, signal=38%","50722/12160/12096/12161/12156/19017/230027/13132/22417/100198/68346","GO BP","Transcriptomics","Positive","GO BP:GO:0010566"
"GO:0031253","cell projection membrane",317,0.203473463333678,1.26729559460066,0.0457448853172942,0.162791657608023,0.121850719970455,4100,"tags=28%, list=21%, signal=23%","16410/230073/18537/57138/27403/14086/20742/16500/23969/17762/102774/52028/11941/16510/18386/16790/13823/225997/240185/16502/11977/268902/268345/20975/382253/170677/18174/14394/15165/68151/244650/21838/232566/14396/435145/216225/50934/16416/13829/22003/65969/11845/140494/76161/12361/50768/24057/170835/18751/26569/20509/234593/19132/19218/12289/13383/13809/14688/11826/99738/67474/11512/20607/15519/14406/12780/76499/72555/50997/67220/69354/14810/16800/237636/269346/13521/69538/26570/19298/319565/211652/11789/19062/29816/11421/27405/71096/71492/26365/54670","GO CC","Transcriptomics","Positive","GO CC:GO:0031253"
"GO:0033314","mitotic DNA replication checkpoint signaling",10,-0.612336575343438,-1.69259330590386,0.0196926859208078,0.162881876768715,0.144158082346241,2012,"tags=40%, list=10%, signal=36%","19356/66983/77011/15574","GO BP","Transcriptomics","Negative","GO BP:GO:0033314"
"GO:0005891","voltage-gated calcium channel complex",39,0.340213070850969,1.44508976982656,0.0461458859831243,0.163451315772001,0.122344478823925,4070,"tags=36%, list=21%, signal=28%","12287/238871/81904/12298/12291/12293/12295/12292/12289/54378/12286/18578/12288/12300","GO CC","Transcriptomics","Positive","GO CC:GO:0005891"
"GO:0033180","proton-transporting V-type ATPase, V1 domain",10,0.572958296885656,1.64035189966324,0.0464706748950779,0.163836146839391,0.122632527630095,2748,"tags=60%, list=14%, signal=51%","108664/66335/11966/11973/73834/11964","GO CC","Transcriptomics","Positive","GO CC:GO:0033180"
"GO:0043653","mitochondrial fragmentation involved in apoptotic process",12,0.567113484584121,1.71836541671822,0.0199173126654244,0.164525301496683,0.14561259012798,2371,"tags=50%, list=12%, signal=44%","12176/65114/75734/72930/74006/13869","GO BP","Transcriptomics","Positive","GO BP:GO:0043653"
"GO:0031214","biomineral tissue development",168,0.238346581041626,1.35417871129033,0.0200179534272152,0.16501850570184,0.146049098927061,3258,"tags=26%, list=17%, signal=22%","17702/20515/54723/102657/11941/13666/12096/17260/12159/12845/338366/67141/12842/239405/23967/71982/20750/17966/68151/214593/12161/22410/12156/22420/58235/16000/15213/11732/105732/170574/77583/239790/100038882/18605/22337/20541/12843/17313/20866/13871/15251/22417/243853/106042","GO BP","Transcriptomics","Positive","GO BP:GO:0031214"
"GO:0048679","regulation of axon regeneration",35,0.388155976770097,1.57850343113566,0.0200367617413844,0.16501850570184,0.146049098927061,5432,"tags=46%, list=28%, signal=33%","210108/83431/19211/233781/18377/223255/19280/14226/211323/21960/14824/16001/19242/19268/66368/65079","GO BP","Transcriptomics","Positive","GO BP:GO:0048679"
"GO:0021680","cerebellar Purkinje cell layer development",39,0.381762655963908,1.60541634187587,0.0200550548386063,0.16501850570184,0.146049098927061,2240,"tags=31%, list=12%, signal=27%","234734/20239/72393/11941/11977/77579/19883/67453/235439/19156/14466/74244","GO BP","Transcriptomics","Positive","GO BP:GO:0021680"
