"EntrezID","PearsonR"
"16467",0.960289870714276
"229517",0.950416914503767
"27058",0.935819240276396
"240334",0.928799991451748
"67526",0.913243192129187
"54127",0.910460850159013
"224022",0.908872962647567
"56812",0.901551941382631
"28015",0.897089397588454
"65106",0.884559309049331
"20515",0.882936082959836
"12928",0.879536273614517
"27205",0.879008405440178
"70533",0.875857944120972
"67097",0.874589878145116
"214063",0.87381435053424
"75687",0.873480128542913
"14802",0.87049346260532
"210933",0.863450089164641
"228942",0.861802435279758
"18166",0.860145184181058
"78428",0.860086581123492
"18120",0.849177585116181
"23897",0.847534708952127
"80909",0.846428429154845
"74229",0.845376791205735
"18099",0.843170237169472
"68581",0.842976084111168
"19377",0.840295949932312
"74316",0.835190698857259
"74450",0.827440929017765
"108707",0.827050276187226
"12054",0.825499336111848
"19899",0.821380410060592
"14792",0.821089190781966
"56495",0.818405577653545
"67841",0.818271669102808
"56494",0.816812693329073
"216134",0.815117500597715
"22365",0.81463183397756
"110312",0.814507328248249
"19274",0.814100565285839
"445007",0.81126713696329
"75617",0.811030388459739
"432763",0.8109562650243
"14339",0.810631321380031
"11750",0.807993854547553
"70178",0.807645008573303
"57815",0.807279817725332
"18458",0.804598498253055
"93684",0.804074636425115
"23854",0.802005779913549
"52858",0.801672760579476
"239364",0.799216215335976
"223664",0.798496531629697
"75725",0.797439821984626
"26451",0.796913795827064
"11677",0.796439206137211
"22353",0.795925745026243
"52589",0.794592583988658
"56348",0.79245591298856
"192167",0.789923231153144
"67674",0.789764086010754
"17254",0.789161911515601
"20055",0.789070840890634
"17025",0.788871026514812
"19159",0.788451165778518
"73737",0.787479718372165
"74091",0.784396720862234
"59288",0.7819567675126
"17846",0.781768546493548
"17035",0.781377291500826
"93734",0.779612273931808
"14702",0.772594503149611
"70757",0.771561539964788
"18189",0.771467336308898
"106344",0.771315581155578
"12539",0.768665254430487
"73666",0.766999447174757
"232157",0.76503950989938
"26908",0.764586999390061
"24086",0.763585200778295
"21924",0.761686194474274
"15894",0.760255249652339
"66365",0.75805299768165
"117197",0.756483358933357
"68015",0.753480367390797
"384569",0.752544131612688
"68524",0.752383118500548
"13478",0.752348873161101
"57776",0.751957233915232
"104069",0.750500759395589
"19942",0.748501374493314
"330064",0.74825222565204
"68592",0.747225517712886
"19826",0.745809656238494
"76273",0.744204611796337
"67881",0.743673922403576
"68877",0.743362560022399
"27425",0.743056575195324
"56433",0.742530883978499
"11972",0.742449787713297
