"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","PathwayKey"
"mmu04814","Motor proteins",187,0.2205984796498,1.27712854876369,0.0569620253164557,0.181760644418872,0.135727696687057,2980,"tags=24%, list=16%, signal=21%","234663/16579/17918/13191/13424/16570/54130/227613/16569/16593/16558/53857/16568/235661/13426/16564/53598/77579/360013/71602/16594/17882/22145/22153/22142/270163/22003/22004/244281/17896/16565/56444/17912/110350/16563/17888/69654/320191/22152/69926/13411/17883/21954/22154/21924","KEGG","Transcriptomics","Positive","KEGG:mmu04814"
"GO:0015833","peptide transport",321,0.208201858275247,1.30053950360053,0.0240167402045786,0.182033691586436,0.159930377140469,3885,"tags=27%, list=20%, signal=22%","93691/16438/17918/19276/18642/19339/214597/216856/11750/16500/26875/76055/18795/12426/68267/15357/11865/12889/319613/12801/13640/18133/21943/67041/228355/26950/52055/16452/20614/54126/19275/28253/380752/100039795/19324/17126/19084/266690/15194/20907/235415/12361/56406/78894/50790/74370/213993/53357/19662/18751/12753/16847/14601/19218/12921/74244/207227/12289/14063/116838/20502/14681/18126/11516/22226/11826/107221/74998/381677/22063/20866/22044/15251/14226/21419/14687/16193/15161/109689/26570/106347/269275/14064/12918/56325/12288/19016/28240","GO BP","Transcriptomics","Positive","GO BP:GO:0015833"
"GO:0006816","calcium ion transport",447,0.196343807065559,1.27687525372017,0.0241350639140306,0.18271222609858,0.160526521071212,4356,"tags=30%, list=23%, signal=24%","16410/239556/66092/16438/108837/68795/19736/17918/20312/11938/69597/15558/109676/12287/94178/238161/11827/18798/14219/238871/81904/11622/76055/216001/11941/18795/12298/18386/546134/14767/12159/75909/225997/54376/11438/228071/319239/21838/29867/19057/12291/16416/74143/26556/100862177/78506/11554/14169/12293/15194/13645/16000/11549/12361/12295/12292/53357/12325/18751/22368/74006/19218/230899/12289/76757/14681/381290/22226/72828/11931/29865/22337/22333/18854/74166/20541/54378/12721/55991/11749/338370/56085/12286/22063/16440/269615/20866/73660/23796/246788/14226/14810/20855/65086/217154/14265/50527/29866/18796/15559/13409/66815/225055/16534/228139/18578/19062/68279/12918/26409/140723/12288/28240/24047/26903/233979/108058/11421/64177/80708/12300/22065/15465/12043/110893/12568/76376/13405/11419/240660/81897/14812/65973","GO BP","Transcriptomics","Positive","GO BP:GO:0006816"
"GO:0097322","7SK snRNA binding",10,-0.573245325592866,-1.60912900476068,0.0339293168198223,0.183308388659306,0.154080502558578,5296,"tags=60%, list=28%, signal=43%","71059/28036/78784/68280/231803/192231","GO MF","Transcriptomics","Negative","GO MF:GO:0097322"
"GO:1903034","regulation of response to wounding",161,0.239882483063453,1.36871426107768,0.024337330131613,0.183319960279537,0.16106046155176,4939,"tags=35%, list=26%, signal=27%","56745/54616/56717/210108/76707/83431/14083/19211/11977/27279/233781/211673/22402/22370/214593/18377/208936/13829/12258/223255/12361/14234/216350/12737/14063/72828/260299/19280/21788/76499/15251/230959/22417/14226/20848/211323/21960/22349/18792/11684/109254/59011/12306/14824/16621/26365/18214/16952/16001/19242/19268/208177/100503895/14061/14161/18815/19695","GO BP","Transcriptomics","Positive","GO BP:GO:1903034"
"GO:1903052","positive regulation of proteolysis involved in protein catabolic process",131,0.259909740479271,1.42046489721672,0.0243725233896799,0.183319960279537,0.16106046155176,4143,"tags=31%, list=22%, signal=25%","56736/26419/26420/72607/13666/269695/27373/14083/50754/19211/218215/414872/56637/22225/66725/269523/110616/78933/238896/23806/268291/13645/14466/54609/74244/75841/13132/71999/56085/54638/106042/14265/237339/231600/216157/75234/237353/330863/71492/75788/67269","GO BP","Transcriptomics","Positive","GO BP:GO:1903052"
"GO:0034205","amyloid-beta formation",47,0.340520477463975,1.49929020129093,0.0243793459374519,0.183319960279537,0.16106046155176,5705,"tags=43%, list=30%, signal=30%","68585/104001/27403/23821/59287/260302/27373/20168/19878/16000/20660/12367/216028/68318/239606/23988/13548/11305/11487/21926","GO BP","Transcriptomics","Positive","GO BP:GO:0034205"
"GO:1901018","positive regulation of potassium ion transmembrane transporter activity",27,0.412931177057111,1.58196725692156,0.0243860047918762,0.183319960279537,0.16106046155176,2506,"tags=41%, list=13%, signal=35%","109676/238161/229715/16502/268345/241528/16485/433809/230899/16527/11931","GO BP","Transcriptomics","Positive","GO BP:GO:1901018"
"GO:0009070","serine family amino acid biosynthetic process",14,-0.537025148652396,-1.70722973054843,0.0243988544333507,0.183319960279537,0.16106046155176,4616,"tags=79%, list=24%, signal=60%","108156/108037/13361/107869/14598/100678/20768/107272/20425/12411/236539","GO BP","Transcriptomics","Negative","GO BP:GO:0009070"
"GO:0001964","startle response",38,0.370296450717684,1.55037188109959,0.0244348745409581,0.183319960279537,0.16106046155176,4348,"tags=37%, list=23%, signal=29%","12386/14658/23821/16510/19211/22142/16485/22226/67772/94109/14810/68318/13542/14812","GO BP","Transcriptomics","Positive","GO BP:GO:0001964"
