"Rank","PearsonR","RunningES","IsHit","EntrezID"
1,1,0.00586484322187097,TRUE,"433022"
2,0.997084221457515,0.00581178437961491,FALSE,"16490"
3,0.996209810190478,0.00575872553735885,FALSE,"102442"
4,0.993472632311908,0.00570566669510278,FALSE,"20514"
5,0.99076990541398,0.00565260785284672,FALSE,"108664"
6,0.989771788890823,0.00559954901059066,FALSE,"223658"
7,0.988416769913634,0.0055464901683346,FALSE,"68192"
8,0.988108553476838,0.00549343132607854,FALSE,"72759"
9,0.987949556232642,0.00544037248382247,FALSE,"11975"
10,0.987849363142711,0.00538731364156641,FALSE,"68585"
11,0.98719806032701,0.00533425479931035,FALSE,"104001"
12,0.987151557380498,0.00528119595705429,FALSE,"72179"
13,0.986556909759172,0.00522813711479823,FALSE,"17702"
14,0.985024764807327,0.00517507827254216,FALSE,"234734"
15,0.985018360144205,0.0051220194302861,FALSE,"16410"
16,0.984880716431349,0.00506896058803004,FALSE,"234663"
17,0.984842407130998,0.00501590174577398,FALSE,"76132"
18,0.984722389372992,0.00496284290351792,FALSE,"238271"
19,0.983584221307724,0.00490978406126185,FALSE,"12338"
20,0.983132392778556,0.00485672521900579,FALSE,"71781"
21,0.98309339874588,0.00480366637674973,FALSE,"56736"
22,0.982955047308055,0.00475060753449367,FALSE,"71586"
23,0.982220518913387,0.00469754869223761,FALSE,"16579"
24,0.981354095261574,0.00464448984998154,FALSE,"75469"
25,0.981236804429589,0.00459143100772548,FALSE,"234865"
26,0.981059750113808,0.00453837216546942,FALSE,"239556"
27,0.980906542698949,0.00448531332321336,FALSE,"56745"
28,0.980393734496557,0.0044322544809573,FALSE,"338346"
29,0.980107267204384,0.00437919563870123,FALSE,"52864"
30,0.980018918858377,0.00432613679644517,FALSE,"13347"
31,0.979509231503566,0.00427307795418911,FALSE,"213326"
32,0.978205069891036,0.00422001911193305,FALSE,"67306"
33,0.977930904711396,0.00416696026967699,FALSE,"54411"
34,0.977825111214858,0.00411390142742092,FALSE,"69863"
35,0.976976912513924,0.00406084258516486,FALSE,"19368"
36,0.976588566455423,0.0040077837429088,FALSE,"320407"
37,0.976394171868079,0.00395472490065274,FALSE,"329152"
38,0.97619771985467,0.00390166605839668,FALSE,"93691"
39,0.976177778747053,0.00384860721614061,FALSE,"193742"
40,0.975812150763157,0.00379554837388455,FALSE,"78796"
41,0.975472344277666,0.00374248953162849,FALSE,"99470"
42,0.974986319538043,0.00368943068937243,FALSE,"218544"
43,0.974704054988057,0.00363637184711637,FALSE,"98170"
44,0.973947121696822,0.0035833130048603,FALSE,"54132"
45,0.973427820755912,0.00353025416260424,FALSE,"208890"
46,0.973423297664416,0.00347719532034818,FALSE,"20239"
47,0.97305409209475,0.00342413647809212,FALSE,"66092"
