Metric	Value
Input genes	35566
Genes analyzed without prefiltering	35566
Control samples	3
Asphyxia samples	3
FDR-significant upregulated genes	23
FDR-significant downregulated genes	101
FDR- and effect-size-filtered upregulated genes	8
FDR- and effect-size-filtered downregulated genes	19
Adjusted P-value threshold	0.05
Absolute shrunken log2FC threshold	0.5
