"Omics","Category","TermID","Description","Overlap","SetSize","CandidateSize","BackgroundSize","GeneRatio","BgRatio","FoldEnrichment","Pvalue","OverlapEntrez","padj","OverlapGenes"
"Transcriptomics","GO BP","GO:0010660","regulation of muscle cell apoptotic process",0,101,19,17692,"0/19","101/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0014743","regulation of muscle hypertrophy",0,80,19,17692,"0/19","80/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0048634","regulation of muscle organ development",0,28,19,17692,"0/19","28/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1901861","regulation of muscle tissue development",0,55,19,17692,"0/19","55/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0031641","regulation of myelination",0,57,19,17692,"0/19","57/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0033032","regulation of myeloid cell apoptotic process",0,36,19,17692,"0/19","36/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0045637","regulation of myeloid cell differentiation",0,213,19,17692,"0/19","213/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0002761","regulation of myeloid leukocyte differentiation",0,137,19,17692,"0/19","137/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0002886","regulation of myeloid leukocyte mediated immunity",0,80,19,17692,"0/19","80/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0045661","regulation of myoblast differentiation",0,83,19,17692,"0/19","83/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1901739","regulation of myoblast fusion",0,25,19,17692,"0/19","25/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:2000291","regulation of myoblast proliferation",0,20,19,17692,"0/19","20/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0010830","regulation of myotube differentiation",0,45,19,17692,"0/19","45/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1902031","regulation of NADP metabolic process",0,10,19,17692,"0/19","10/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0032814","regulation of natural killer cell activation",0,61,19,17692,"0/19","61/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0002727","regulation of natural killer cell cytokine production",0,21,19,17692,"0/19","21/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0032823","regulation of natural killer cell differentiation",0,17,19,17692,"0/19","17/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0042269","regulation of natural killer cell mediated cytotoxicity",0,63,19,17692,"0/19","63/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0002858","regulation of natural killer cell mediated cytotoxicity directed against tumor cell target",0,11,19,17692,"0/19","11/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0002855","regulation of natural killer cell mediated immune response to tumor cell",0,12,19,17692,"0/19","12/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0002715","regulation of natural killer cell mediated immunity",0,66,19,17692,"0/19","66/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0032817","regulation of natural killer cell proliferation",0,24,19,17692,"0/19","24/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0140747","regulation of ncRNA transcription",0,92,19,17692,"0/19","92/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0060544","regulation of necroptotic process",0,23,19,17692,"0/19","23/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0072182","regulation of nephron tubule epithelial cell differentiation",0,12,19,17692,"0/19","12/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:2000177","regulation of neural precursor cell proliferation",0,132,19,17692,"0/19","132/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1902692","regulation of neuroblast proliferation",0,64,19,17692,"0/19","64/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0050767","regulation of neurogenesis",0,477,19,17692,"0/19","477/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0150077","regulation of neuroinflammatory response",0,30,19,17692,"0/19","30/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1904396","regulation of neuromuscular junction development",0,10,19,17692,"0/19","10/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0043523","regulation of neuron apoptotic process",0,300,19,17692,"0/19","300/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0045664","regulation of neuron differentiation",0,223,19,17692,"0/19","223/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0014041","regulation of neuron maturation",0,14,19,17692,"0/19","14/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:2001222","regulation of neuron migration",0,58,19,17692,"0/19","58/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0150011","regulation of neuron projection arborization",0,13,19,17692,"0/19","13/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0070570","regulation of neuron projection regeneration",0,40,19,17692,"0/19","40/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0098908","regulation of neuronal action potential",0,12,19,17692,"0/19","12/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0048168","regulation of neuronal synaptic plasticity",0,72,19,17692,"0/19","72/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0001505","regulation of neurotransmitter levels",0,217,19,17692,"0/19","217/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0099601","regulation of neurotransmitter receptor activity",0,63,19,17692,"0/19","63/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0098696","regulation of neurotransmitter receptor localization to postsynaptic specialization membrane",0,19,19,17692,"0/19","19/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0046928","regulation of neurotransmitter secretion",0,106,19,17692,"0/19","106/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0051588","regulation of neurotransmitter transport",0,125,19,17692,"0/19","125/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0051580","regulation of neurotransmitter uptake",0,19,19,17692,"0/19","19/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0051386","regulation of neurotrophin TRK receptor signaling pathway",0,17,19,17692,"0/19","17/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1902563","regulation of neutrophil activation",0,14,19,17692,"0/19","14/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0090022","regulation of neutrophil chemotaxis",0,37,19,17692,"0/19","37/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1902622","regulation of neutrophil migration",0,53,19,17692,"0/19","53/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0045428","regulation of nitric oxide biosynthetic process",0,68,19,17692,"0/19","68/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0010749","regulation of nitric oxide mediated signal transduction",0,11,19,17692,"0/19","11/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0080164","regulation of nitric oxide metabolic process",0,71,19,17692,"0/19","71/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0050999","regulation of nitric-oxide synthase activity",0,32,19,17692,"0/19","32/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0051769","regulation of nitric-oxide synthase biosynthetic process",0,25,19,17692,"0/19","25/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0051133","regulation of NK T cell activation",0,11,19,17692,"0/19","11/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1900225","regulation of NLRP3 inflammasome complex assembly",0,37,19,17692,"0/19","37/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:2000310","regulation of NMDA receptor activity",0,27,19,17692,"0/19","27/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1901222","regulation of non-canonical NF-kappaB signal transduction",0,100,19,17692,"0/19","100/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:2000050","regulation of non-canonical Wnt signaling pathway",0,25,19,17692,"0/19","25/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1902855","regulation of non-motile cilium assembly",0,17,19,17692,"0/19","17/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0008593","regulation of Notch signaling pathway",0,89,19,17692,"0/19","89/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0033262","regulation of nuclear cell cycle DNA replication",0,12,19,17692,"0/19","12/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0051783","regulation of nuclear division",0,140,19,17692,"0/19","140/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1900151","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0,26,19,17692,"0/19","26/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:2000622","regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0,13,19,17692,"0/19","13/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0060211","regulation of nuclear-transcribed mRNA poly(A) tail shortening",0,15,19,17692,"0/19","15/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0032069","regulation of nuclease activity",0,28,19,17692,"0/19","28/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0032239","regulation of nucleobase-containing compound transport",0,16,19,17692,"0/19","16/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0046822","regulation of nucleocytoplasmic transport",0,131,19,17692,"0/19","131/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0030808","regulation of nucleotide biosynthetic process",0,37,19,17692,"0/19","37/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0006140","regulation of nucleotide metabolic process",0,54,19,17692,"0/19","54/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0070424","regulation of nucleotide-binding oligomerization domain containing signaling pathway",0,10,19,17692,"0/19","10/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:2000819","regulation of nucleotide-excision repair",0,29,19,17692,"0/19","29/17692",0,1,"",1,""
