"Sample","group","PC1","PC2"
"CON-R1-1","Control",-11.8372010747783,-11.006402559623
"CON-R1-2","Control",14.1414209518401,-7.85026509281037
"CON-R1-3","Control",-4.0441641141522,6.01841240352946
"Asphyxia-R1-1","Asphyxia",-0.542020184523264,4.81898397216148
"Asphyxia-R1-2","Asphyxia",0.396777969577748,4.99693770405567
"Asphyxia-R1-3","Asphyxia",1.88518645203592,3.02233357268674
