"omics","sample_id","normalized_matrix_sample_id","subject_id","group","region_code","region","sample_role"
"transcriptomics","CON-R1-1","CON_R1_1","CON-1","Control","R1","frontal_cortex","biological"
"transcriptomics","CON-R1-2","CON_R1_2","CON-2","Control","R1","frontal_cortex","biological"
"transcriptomics","CON-R1-3","CON_R1_3","CON-3","Control","R1","frontal_cortex","biological"
"transcriptomics","Asphyxia-R1-1","Asphyxia_R1_1","Asphyxia-1","Asphyxia","R1","frontal_cortex","biological"
"transcriptomics","Asphyxia-R1-2","Asphyxia_R1_2","Asphyxia-2","Asphyxia","R1","frontal_cortex","biological"
"transcriptomics","Asphyxia-R1-3","Asphyxia_R1_3","Asphyxia-3","Asphyxia","R1","frontal_cortex","biological"
