"GeneID","GeneName","CON-R1-1","CON-R1-2","CON-R1-3","Asphyxia-R1-1","Asphyxia-R1-2","Asphyxia-R1-3"
"ENSMUSG00000094881","H2al2c",0,0,0,0,0,0
"ENSMUSG00000094884","Or12d15",0,0,0,0,1.0738851542607,0.906292963294512
"ENSMUSG00000094885","Ott",0,0,0,0,0,0
"ENSMUSG00000094886","Gm10784",0,0,0,0,0,0
"ENSMUSG00000094887","ENSMUSG00000094887",0,0,0,0,0,0
"ENSMUSG00000094891","Or10h1b",0,0,0,0,0,0
"ENSMUSG00000094892","Vmn2r101",0,0,0,0,0,0
"ENSMUSG00000094898","Vmn1r201",14.8222160400292,5.56327127576216,8.33933652802635,13.6387902481894,10.738851542607,5.43775777976707
"ENSMUSG00000094902","Igkv10-95",0,0,0,0,0,0
"ENSMUSG00000094910","D430019H16Rik",3763.78414445028,4523.86675907393,3402.44930343475,2770.62281898933,2751.29376521591,2833.07180325865
"ENSMUSG00000094911","Gm21921",0,0,0,0,0,0
"ENSMUSG00000094913","Krtap10-27",0,0,0,0,0,0
"ENSMUSG00000094914","Trav9d-2",0,0.927211879293693,0,0,0,0
"ENSMUSG00000094915","ENSMUSG00000094915",0,0,0,0,0,0
"ENSMUSG00000094918","Spata31e4",0,0,0,0,0,0
"ENSMUSG00000094920","Gm6605",0,0,0,0,0,0
"ENSMUSG00000094921","Vmn2r112",12.7047566057393,10.1993306722306,12.5090047920395,5.8451958206526,5.36942577130349,8.15663666965061
"ENSMUSG00000094925","Gm5798",0,0,0,0,0,0
"ENSMUSG00000094926","Gm16533",0,0,0,0,0,0
"ENSMUSG00000094928","1700122O11Rik",0,0,0,0,0,0
"ENSMUSG00000094929","Gm3526",0,0,0,0,0,0
"ENSMUSG00000094930","Igkv6-25",0,0,0,0,0,0
"ENSMUSG00000094931","Vmn1r160",0,0,0,0,0,0
"ENSMUSG00000094932","Gm2007",318.677644860628,311.543191442681,330.446209923044,342.918154811619,308.20503927282,338.047275308853
"ENSMUSG00000094935","Gm9726",20.115864625754,15.7626019479928,0,0,13.9605070053891,0
"ENSMUSG00000094936","Rbm4",436.196643463717,295.780589494688,299.173697942945,325.382567349661,323.23943143247,350.735376794976
"ENSMUSG00000094939","Gm21773",0,0,0,0,0,0
"ENSMUSG00000094940","Ighv1-84",0,0,0,0,0,0
"ENSMUSG00000094941","Gm15093",0,0,0,0,0,0
"ENSMUSG00000094942","Gm3604",11.6460268885944,12.9809663101117,6.25450239601976,8.76779373097889,20.4038179309533,9.96922259623964
"ENSMUSG00000094945","Rhox4a2",0,2.78163563788108,0,0,0,0
"ENSMUSG00000094948","Gm21286",0,0,0,0,0,0
"ENSMUSG00000094950","Vmn2r66",2925.27020847148,2840.04998627658,3251.29882886427,2687.81587819675,2712.63389966252,2770.53758879132
"ENSMUSG00000094951","Ighv5-6",0,0,0,0,0,0
"ENSMUSG00000094954","Gm8011",0,0,0,0,0,0
"ENSMUSG00000094955","Gm3699",0,0,0,0,0,0
"ENSMUSG00000094957","Ighd5-5",0,0,0,0,0,0
"ENSMUSG00000094964","Gm15101",0,0,0,0,0,0
"ENSMUSG00000094966","Trav9-2",0,0,0,0,0,0
"ENSMUSG00000094967","Obox4-ps18",0,0,0,0,0,0
"ENSMUSG00000094970","Or8g26",2.11745943428989,0,1.04241706600329,1.9483986068842,1.0738851542607,2.71887888988354
"ENSMUSG00000094973","Eif4a3l1",0,0.927211879293693,0,0.974199303442099,0,0
"ENSMUSG00000094974","Rps19-ps2",0,8.34490691364324,5.21208533001647,4.8709965172105,1.0738851542607,0
"ENSMUSG00000094978","Scgb1b20",0,0,0,0,0,0
"ENSMUSG00000094985","Topaz1",0,0,0,0,0,0
"ENSMUSG00000094986","Or5b102",0,0,0,0,0,0
"ENSMUSG00000094989","Rpl9-ps4",7.41110802001461,8.34490691364324,4.16966826401318,0,9.66496638834628,1.81258592658902
"ENSMUSG00000094992","Fbxw25",0,0,0,0,0,0
"ENSMUSG00000094993","Igkv4-51",0,0,0,0,0,0
"ENSMUSG00000094995","Pate3",0,0,0,0,0,0
"ENSMUSG00000095002","Or6c66",0,0,0,0,0,0
"ENSMUSG00000095007","Igkv12-41",0,0.927211879293693,0,0,0,0
"ENSMUSG00000095015","Gm16434",0,0,0,0,0,0.906292963294512
"ENSMUSG00000095019","ENSMUSG00000095019",0,0,0,0,0,0
"ENSMUSG00000095024","Gm5458",0,0,0,0,0,0
"ENSMUSG00000095026","Gm3336",1.05872971714494,0.927211879293693,1.04241706600329,0,0,0
"ENSMUSG00000095028","Sirpb1b",0,1.85442375858739,0,4.8709965172105,0,0
"ENSMUSG00000095029","Anxa2r2",0,0,0,0,0,0
"ENSMUSG00000095030","Or10g3b",0,0,0,0,0,0
"ENSMUSG00000095032","Gm21310",0,0,0,0,0,0
"ENSMUSG00000095040","1700001J03Rik",2.11745943428989,0,0,0,0,0.906292963294512
"ENSMUSG00000095041","ENSMUSG00000095041",1713.02468234052,1468.70361680121,1015.31422228721,1185.60055228903,1027.70809262749,1326.81289826317
"ENSMUSG00000095042","Gm12537",38.114269817218,40.7973226889225,0,61.3745561168523,40.8076358619065,46.2209411280201
