"Accession","GeneName","GeneID","Description","MissingFractionControl","MissingFractionAsphyxia"
"Q9CWS0","Ddah1","69219","N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",0,0
"P63318","Prkcg","18752","Protein kinase C gamma type",0,0
"Q6PD24","Ankrd13d","68423","Ankyrin repeat domain-containing protein 13D",0,0
"Q6IRU2","Tpm4","326618","Tropomyosin alpha-4 chain",0,0
"Q8BIQ5","Cstf2","108062","Cleavage stimulation factor subunit 2",0,0
"Q921H9","Coa7","69893","Cytochrome c oxidase assembly factor 7",0,0
"Q64010","Crk","12928","Adapter molecule crk",0,0
"Q920I9","Wdr7","104082","WD repeat-containing protein 7",0,0
"Q3U487","Hectd3","76608","E3 ubiquitin-protein ligase HECTD3",0,0
"Q08331","Calb2","12308","Calretinin",0,0
"Q64520","Guk1","14923","Guanylate kinase",0,0
"Q3U3Q1","Ulk3","71742","Serine/threonine-protein kinase ULK3",0,0
"Q64433","Hspe1","15528","10 kDa heat shock protein, mitochondrial",0,0
"Q91VR8","Brk1","101314","Protein BRICK1",0,0
"Q99JY9","Actr3","74117","Actin-related protein 3",0,0
"Q9D6R2","Idh3a","67834","Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",0,0
"Q8VE09","Ttc39c","72747","Tetratricopeptide repeat protein 39C",0,0
"Q641P0","Actr3b","242894","Actin-related protein 3B",0,0
"Q9ER72","Cars1","27267","Cysteine--tRNA ligase, cytoplasmic",0,0
"Q8VED9","Lgalsl","216551","Galectin-related protein",0,0
"Q9D287","Bcas2","68183","Pre-mRNA-splicing factor SPF27",0,0
"Q99PW4","Tp53rkb","76367","EKC/KEOPS complex subunit Tp53rkb",0,0
"Q9QXS6","Dbn1","56320","Drebrin",0,0
"Q6P5F7","Ttyh3","78339","Protein tweety homolog 3",0,0
"P62962","Pfn1","18643","Profilin-1",0,0
"Q80TA1","Selenoi","28042","Ethanolaminephosphotransferase 1",0,0
"Q8C166","Cpne1","266692","Copine-1",0,0
"Q923B0","Ggact","223267","Gamma-glutamylaminecyclotransferase",0,0
"Q8BFV2","Pcid2","234069","PCI domain-containing protein 2",0,0
"Q9Z0P5","Twf2","23999","Twinfilin-2",0,0
"Q99KH8","Stk24","223255","Serine/threonine-protein kinase 24",0,0
"P70280","Vamp7","20955","Vesicle-associated membrane protein 7",0,0
"Q3SXD3","Hddc2","69692","5'-deoxynucleotidase HDDC2",0,0
"Q3THK7","Gmps","229363","GMP synthase [glutamine-hydrolyzing]",0,0
"P62196","Psmc5","19184","26S proteasome regulatory subunit 8",0,0
"Q9CPZ8","Cmc1","67899","COX assembly mitochondrial protein homolog",0,0
"Q80YA9","Cnksr2","245684","Connector enhancer of kinase suppressor of ras 2",0,0
"Q9JL62","Gltp","56356","Glycolipid transfer protein",0,0
"Q9D1P4","Chordc1","66917","Cysteine and histidine-rich domain-containing protein 1",0,0
"Q8C181","Mbnl2","105559","Muscleblind-like protein 2",0,0
"Q8BGR9","Ublcp1","79560","Ubiquitin-like domain-containing CTD phosphatase 1",0,0
"Q3TUH1","Tamm41","68971","Phosphatidate cytidylyltransferase, mitochondrial",0,0
"P50518","Atp6v1e1","11973","V-type proton ATPase subunit E 1",0,0
"Q5DTY9","Kctd16","383348","BTB/POZ domain-containing protein KCTD16",0,0
"Q9QYB1","Clic4","29876","Chloride intracellular channel protein 4",0,0
"Q60676","Ppp5c","19060","Serine/threonine-protein phosphatase 5",0,0
"Q9DBZ5","Eif3k","73830","Eukaryotic translation initiation factor 3 subunit K",0,0
"Q8VEK0","Tmem30a","69981","Cell cycle control protein 50A",0,0
"Q7TSE6","Stk38l","232533","Serine/threonine-protein kinase 38-like",0,0
"Q99JW4","Lims1","110829","LIM and senescent cell antigen-like-containing domain protein 1",0,0
"Q6ZPU9","Kifbp","72320","KIF-binding protein",0,0
"Q8R1G2","Cmbl","69574","Carboxymethylenebutenolidase homolog",0,0
"P61087","Ube2k","53323","Ubiquitin-conjugating enzyme E2 K",0,0
"Q8JZP9","Gas2l1","78926","GAS2-like protein 1",0,0
"Q9QYJ0","Dnaja2","56445","DnaJ homolog subfamily A member 2",0,0
"Q9D4V0","Etnk1","75320","Ethanolamine kinase 1",0,0
"Q9CQ56","Use1","67023","Vesicle transport protein USE1",0,0
"A2ASI5","Scn3a","20269","Sodium channel protein type 3 subunit alpha",0,0
"Q8VD04","Gripap1","54645","GRIP1-associated protein 1",0,0
"Q8CAK3","Shfl","319278","Shiftless antiviral inhibitor of ribosomal frameshifting protein homolog",0,0
"Q505B7","Zbtb8os","67106","tRNA-splicing ligase-activating factor archease",0,0
"Q9QUH0","Glrx","93692","Glutaredoxin-1",0,0
"P48543","Kcnj9","16524","G protein-activated inward rectifier potassium channel 3",0,0
"P56389","Cda","72269","Cytidine deaminase",0,0
"Q8BI72","Cdkn2aip","70925","CDKN2A-interacting protein",0,0
"Q68FE2","Atg9a","245860","Autophagy-related protein 9A",0,0
"O54829","Rgs7","24012","Regulator of G protein signaling 7",0,0
"Q68FD5","Cltc","67300","Clathrin heavy chain 1",0,0
"O35551","Rabep1","54189","Rab GTPase-binding effector protein 1",0,0
"Q6ZWZ2","Ube2r2","67615","Ubiquitin-conjugating enzyme E2 R2",0,0
"B1AWN6","Scn2a","110876","Sodium channel protein type 2 subunit alpha",0,0
"P56371","Rab4a","19341","Ras-related protein Rab-4A",0,0
"Q9ESZ8","Gtf2i","14886","General transcription factor II-I",0,0
"P42227","Stat3","20848","Signal transducer and activator of transcription 3",0,0
