"Accession","GeneName","GeneID","Description","MissingFractionControl","MissingFractionAsphyxia"
"Q8BGD9","Eif4b","75705","Eukaryotic translation initiation factor 4B",0,0
"Q920B9","Supt16h","114741","FACT complex subunit SPT16",0,0
"Q9EQZ6","Rapgef4","56508","Rap guanine nucleotide exchange factor 4",0,0
"Q6DFZ1","Gbf1","107338","Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1",0,0
"Q99PU5","Acsbg1","94180","Long-chain-fatty-acid--CoA ligase ACSBG1",0,0
"Q7TSK2","Sez6","20370","Seizure protein 6",0,0
"Q9Z223","Mocs2","17434","Molybdopterin synthase catalytic subunit",0,0
"P53395","Dbt","13171","Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",0,0
"Q9CXV1","Sdhd","66925","Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",0,0
"Q64511","Top2b","21974","DNA topoisomerase 2-beta",0,0
"Q8CC35","Synpo","104027","Synaptopodin",0,0
"Q68EF6","Begain","380785","Brain-enriched guanylate kinase-associated protein",0,0
"Q8K1C0","Angel2","52477","RNA 2',3'-cyclic phosphatase ANGEL2",0,0
"O89032","Sh3pxd2a","14218","SH3 and PX domain-containing protein 2A",0,0
"Q7TPH6","Mycbp2","105689","E3 ubiquitin-protein ligase MYCBP2",0,0
"Q00493","Cpe","12876","Carboxypeptidase E",0,0
"Q6DFV3","Arhgap21","71435","Rho GTPase-activating protein 21",0,0
"Q9ESN9","Mapk8ip3","30957","C-Jun-amino-terminal kinase-interacting protein 3",0,0
"Q9QYE6","Golga5","27277","Golgin subfamily A member 5",0,0
"O08688","Capn5","12337","Calpain-5",0,0
"Q9JIH2","Nup50","18141","Nuclear pore complex protein Nup50",0,0
"P97820","Map4k4","26921","Mitogen-activated protein kinase kinase kinase kinase 4",0,0
"Q9Z1Q2","Abhd16a","193742","Phosphatidylserine lipase ABHD16A",0,0
"Q61120","Shc3","20418","SHC-transforming protein 3",0,0
"Q80Z38","Shank2","210274","SH3 and multiple ankyrin repeat domains protein 2",0,0
"Q920Q4","Vps16","80743","Vacuolar protein sorting-associated protein 16 homolog",0,0
"Q9EQT6","Syt13","80976","Synaptotagmin-13",0,0
"Q8BX17","Gemin5","216766","Gem-associated protein 5",0,0
"Q9Z1Z2","Strap","20901","Serine-threonine kinase receptor-associated protein",0,0
"Q8CE96","Trmt6","66926","tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6",0,0
"P81117","Nucb2","53322","Nucleobindin-2",0,0
"Q8C4B4","Unc119b","106840","Protein unc-119 homolog B",0,0
"Q3UGF1","Wdr19","213081","WD repeat-containing protein 19",0,0
"Q61687","Atrx","22589","Chromatin remodeler ATRX",0,0
"Q61586","Gpam","14732","Glycerol-3-phosphate acyltransferase 1, mitochondrial",0.25,0.25
"Q8C1Z7","Bbs4","102774","BBSome complex member BBS4",0.25,0
"Q80YV3","Trrap","100683","Transformation/transcription domain-associated protein",0,0
"Q3ULD5","Mccc2","78038","Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",0,0
"Q3U2I3","Fhip1b","74349","FHF complex subunit HOOK-interacting protein 1B",0,0
"Q9JKK7","Tmod2","50876","Tropomodulin-2",0,0
"P12367","Prkar2a","19087","cAMP-dependent protein kinase type II-alpha regulatory subunit",0,0
"Q80ZF8","Adgrb3","210933","Adhesion G protein-coupled receptor B3",0,0
"Q9CU62","Smc1a","24061","Structural maintenance of chromosomes protein 1A",0,0
"Q9QY42","Gpr37","14763","Prosaposin receptor GPR37",0,0
"Q8BZJ7","Dcun1d2","102323","DCN1-like protein 2",0,0
"P08003","Pdia4","12304","Protein disulfide-isomerase A4",0,0
"Q9D666","Sun1","77053","SUN domain-containing protein 1",0,0
"F8VQK3","Gucy1a2","234889","Guanylate cyclase soluble subunit alpha-2",0,0
"Q0VBL3","Rbm15","229700","RNA-binding protein 15",0,0
"Q8K3F6","Kcnq3","110862","Potassium voltage-gated channel subfamily KQT member 3",0,0
"Q9CYH5","Gfod2","70575","Glucose-fructose oxidoreductase domain-containing protein 2",0,0
"Q8BR63","Fam177a","100101807","Protein FAM177A",0,0
"Q9Z268","Rasal1","19415","RasGAP-activating-like protein 1",0,0
"O88602","Cacng2","12300","Voltage-dependent calcium channel gamma-2 subunit",0,0
"Q8CJ67","Stau2","29819","Double-stranded RNA-binding protein Staufen homolog 2",0,0
"Q8BTF8","Ralyl","76897","RNA-binding Raly-like protein",0,0
"P63054","Pcp4","18546","Calmodulin regulator protein PCP4",0,0
"O88307","Sorl1","20660","Sortilin-related receptor",0,0
"Q02053","Uba1","22201","Ubiquitin-like modifier-activating enzyme 1",0,0
"Q60875","Arhgef2","16800","Rho guanine nucleotide exchange factor 2",0,0
"Q9WV70","Noc2l","57741","Nucleolar complex protein 2 homolog",0.5,0.25
"P51660","Hsd17b4","15488","Peroxisomal multifunctional enzyme type 2",0,0
"Q6NZF1","Zc3h11a","70579","Zinc finger CCCH domain-containing protein 11A",0,0
"Q8K2D3","Edc3","353190","Enhancer of mRNA-decapping protein 3",0,0
"P28474","Adh5","11532","Alcohol dehydrogenase class-3",0,0
"Q9D0G0","Mrps30","59054","Large ribosomal subunit protein mL65",0,0
"Q99LC5","Etfa","110842","Electron transfer flavoprotein subunit alpha, mitochondrial",0,0
"Q8K2L8","Trappc12","217449","Trafficking protein particle complex subunit 12",0,0
"Q7TPV2","Dzip3","224170","E3 ubiquitin-protein ligase DZIP3",0,0
"P63038","Hspd1","15510","60 kDa heat shock protein, mitochondrial",0,0
"Q3V3R1","Mthfd1l","270685","Monofunctional C1-tetrahydrofolate synthase, mitochondrial",0,0
"Q6P3A8","Bckdhb","12040","2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",0,0
"Q8C437","Pex5l","58869","PEX5-related protein",0,0
"Q3TXS7","Psmd1","70247","26S proteasome non-ATPase regulatory subunit 1",0,0
"Q61545","Ewsr1","14030","RNA-binding protein EWS",0,0
"P01027","C3","12266","Complement C3",0,0
"Q7TMC8","Fcsk","234730","L-fucose kinase",0,0
"P13439","Umps","22247","Uridine 5'-monophosphate synthase",0,0
"Q8CGF5","Tlcd4","99887","TLC domain-containing protein 4",0,0
"Q9D2R0","Aacs","78894","Acetoacetyl-CoA synthetase",0,0
"Q6PCZ4","Magee1","107528","Melanoma-associated antigen E1",0,0
"Q9QZI8","Serinc1","56442","Serine incorporator 1",0,0
"Q9JIK5","Ddx21","56200","Nucleolar RNA helicase 2",0,0
"Q9D1G3","Hhatl","74770","Protein-cysteine N-palmitoyltransferase HHAT-like protein",0,0
"Q64012","Raly","19383","RNA-binding protein Raly",0,0
"Q80YA7","Dpp8","74388","Dipeptidyl peptidase 8",0,0
"Q9WU60","Atrn","11990","Attractin",0,0
"Q99PV0","Prpf8","192159","Pre-mRNA-processing-splicing factor 8",0,0
"Q5SRY7","Fbxw11","103583","F-box/WD repeat-containing protein 11",0,0
"Q6PIE5","Atp1a2","98660","Sodium/potassium-transporting ATPase subunit alpha-2",0,0
"P17182","Eno1","433182","Alpha-enolase",0,0
"P17183","Eno2","13807","Gamma-enolase",0,0
"P09411","Pgk1","18655","Phosphoglycerate kinase 1",0,0
"Q71LX4","Tln2","70549","Talin-2",0,0
"Q8K354","Cbr3","109857","Carbonyl reductase [NADPH] 3",0,0
"P16332","Mmut","17850","Methylmalonyl-CoA mutase, mitochondrial",0,0
"P52624","Upp1","22271","Uridine phosphorylase 1",0.25,0
"Q9QYC0","Add1","11518","Alpha-adducin",0,0
"Q3UHU5","Mtcl1","68617","Microtubule cross-linking factor 1",0,0
"Q8CH77","Nav1","215690","Neuron navigator 1",0,0
"P45952","Acadm","11364","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",0,0
"P84309","Adcy5","224129","Adenylate cyclase type 5",0,0
"P70392","Rasgrf2","19418","Ras-specific guanine nucleotide-releasing factor 2",0,0
"Q505D7","Opa3","403187","Optic atrophy 3 protein homolog",0,0
"Q5SWP3","Nacad","192950","NAC-alpha domain-containing protein 1",0,0
"P27671","Rasgrf1","19417","Ras-specific guanine nucleotide-releasing factor 1",0,0
"Q64096","Mcf2l","17207","Guanine nucleotide exchange factor DBS",0,0
"Q9EPL9","Acox3","80911","Peroxisomal acyl-coenzyme A oxidase 3",0,0
"Q91VC9","Ghitm","66092","Growth hormone-inducible transmembrane protein",0,0
"Q8CGF6","Wdr47","99512","WD repeat-containing protein 47",0,0
"Q8CAK1","Iba57","216792","Iron-sulfur cluster assembly factor IBA57, mitochondrial",0,0
"Q8BWF0","Aldh5a1","214579","Succinate-semialdehyde dehydrogenase, mitochondrial",0,0
"Q62172","Ralbp1","19765","RalA-binding protein 1",0,0
"Q9CQW1","Ykt6","56418","Synaptobrevin homolog YKT6",0,0
"Q5S006","Lrrk2","66725","Leucine-rich repeat serine/threonine-protein kinase 2",0,0
"Q8VED2","Bloc1s4","117197","Biogenesis of lysosome-related organelles complex 1 subunit 4",0,0
"P98195","Atp9b","50771","Probable phospholipid-transporting ATPase IIB",0,0
"Q91YT0","Ndufv1","17995","NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",0,0
"Q9JHK4","Rabggta","56187","Geranylgeranyl transferase type-2 subunit alpha",0,0
"Q6PDQ2","Chd4","107932","ATP-dependent chromatin remodeler CHD4",0,0
"A2A8L1","Chd5","269610","ATP-dependent chromatin remodeler CHD5",0,0
"Q9CQI6","Cotl1","72042","Coactosin-like protein",0,0
"Q8VDP4","Ccar2","219158","Cell cycle and apoptosis regulator protein 2",0,0
"Q8BGW1","Fto","26383","Alpha-ketoglutarate-dependent dioxygenase FTO",0,0
"Q8BVL9","Jakmip1","76071","Janus kinase and microtubule-interacting protein 1",0,0
"P29341","Pabpc1","18458","Polyadenylate-binding protein 1",0,0
"Q9ES00","Ube4b","63958","Ubiquitin conjugation factor E4 B",0,0
"Q9Z2D8","Mbd3","17192","Methyl-CpG-binding domain protein 3",0,0
"Q9EQH3","Vps35","65114","Vacuolar protein sorting-associated protein 35",0,0
"Q80WM4","Hapln4","330790","Hyaluronan and proteoglycan link protein 4",0,0
"Q80ZX8","Spag1","26942","Sperm-associated antigen 1",0.5,0
"Q3UZV7","Elapor2","231014","Endosome/lysosome-associated apoptosis and autophagy regulator family member 2",0,0
"Q921W4","Cryzl1","66609","Ferry endosomal RAB5 effector complex subunit 4",0,0
"O35099","Map3k5","26408","Mitogen-activated protein kinase kinase kinase 5",0,0
"O08576","Rundc3a","51799","RUN domain-containing protein 3A",0,0
"Q07417","Acads","11409","Short-chain specific acyl-CoA dehydrogenase, mitochondrial",0,0
"Q9JHI5","Ivd","56357","Isovaleryl-CoA dehydrogenase, mitochondrial",0,0
"Q8BRK8","Prkaa2","108079","5'-AMP-activated protein kinase catalytic subunit alpha-2",0,0
"E9PXF8","Sbf2","319934","Myotubularin-related protein 13",0,0
"P97772","Grm1","14816","Metabotropic glutamate receptor 1",0,0
"Q8C3R1","Brat1","231841","Integrator complex assembly factor BRAT1",0,0
"A3KMP2","Ttc38","239570","Tetratricopeptide repeat protein 38",0,0
"P70193","Lrig1","16206","Leucine-rich repeats and immunoglobulin-like domains protein 1",0.5,0
"Q80TG9","Lrfn2","70530","Leucine-rich repeat and fibronectin type-III domain-containing protein 2",0,0
"Q920R0","Als2","74018","Alsin",0,0
"P36916","Gnl1","14670","Guanine nucleotide-binding protein-like 1",0,0
"Q69ZU6","Thsd7a","330267","Thrombospondin type-1 domain-containing protein 7A",0,0
"Q8CDM8","Fhip2a","226252","FHF complex subunit HOOK interacting protein 2A",0,0
"P63239","Pcsk1","18548","Neuroendocrine convertase 1",0,0
"Q9D071","Mms19","72199","MMS19 nucleotide excision repair protein homolog",0,0
"G3X9K3","Arfgef1","211673","Brefeldin A-inhibited guanine nucleotide-exchange protein 1",0,0
"Q99K28","Arfgap2","77038","ADP-ribosylation factor GTPase-activating protein 2",0,0
"Q61739","Itga6","16403","Integrin alpha-6",0,0
"Q6PGG6","Gnl3l","237107","Guanine nucleotide-binding protein-like 3-like protein",0,0
"O88738","Birc6","12211","Dual E2 ubiquitin-conjugating enzyme/E3 ubiquitin-protein ligase BIRC6",0,0
"Q91YP0","L2hgdh","217666","L-2-hydroxyglutarate dehydrogenase, mitochondrial",0,0
"Q63959","Kcnc3","16504","Voltage-gated potassium channel KCNC3",0,0
"Q9QYH6","Maged1","94275","Melanoma-associated antigen D1",0,0
"Q8JZX4","Rbm17","76938","Splicing factor 45",0,0
"Q99MR3","Slc12a9","83704","Solute carrier family 12 member 9",0,0
"P34914","Ephx2","13850","Bifunctional epoxide hydrolase 2",0,0
"Q80YX1","Tnc","21923","Tenascin",0,0
"P62880","Gnb2","14693","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2",0,0
"O88444","Adcy1","432530","Adenylate cyclase type 1",0,0
"Q810J8","Zfyve1","217695","Zinc finger FYVE domain-containing protein 1",0,0
"Q6EDY6","Carmil1","68732","F-actin-uncapping protein LRRC16A",0,0
"P56380","Nudt2","66401","Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]",0,0
"Q62465","Vat1","26949","NADPH-dependent quinone oxidoreductase VAT1",0,0
"Q80TB8","Vat1l","270097","Putative NADPH-dependent quinone oxidoreductase VAT1L",0,0
"Q99KR6","Rnf34","80751","E3 ubiquitin-protein ligase RNF34",0,0
"Q8BH69","Sephs1","109079","Selenide, water dikinase 1",0,0
"Q01279","Egfr","13649","Epidermal growth factor receptor",0,0
"Q99LI8","Hgs","15239","Hepatocyte growth factor-regulated tyrosine kinase substrate",0,0
"Q91YI4","Arrb2","216869","Beta-arrestin-2",0,0
"Q8BWG8","Arrb1","109689","Beta-arrestin-1",0,0
"Q6QI06","Rictor","78757","Rapamycin-insensitive companion of mTOR",0,0
"Q61290","Cacna1e","12290","Voltage-dependent R-type calcium channel subunit alpha-1E",0,0
"Q8R127","Sccpdh","109232","Saccharopine dehydrogenase-like oxidoreductase",0,0
"Q8C7R4","Uba6","231380","Ubiquitin-like modifier-activating enzyme 6",0,0
"Q2TPA8","Hsdl2","72479","Hydroxysteroid dehydrogenase-like protein 2",0,0
"Q8C7H1","Mmaa","109136","Methylmalonic aciduria type A homolog, mitochondrial",0,0
"Q8R0S2","Iqsec1","232227","IQ motif and SEC7 domain-containing protein 1",0,0
"Q91XD7","Creld1","171508","Protein disulfide isomerase Creld1",0,0
"Q9R013","Ctsf","56464","Cathepsin F",0,0
"P46471","Psmc2","19181","26S proteasome regulatory subunit 7",0,0
"Q8C145","Slc39a6","106957","Zinc transporter ZIP6",0,0
"P57780","Actn4","60595","Alpha-actinin-4",0,0
"Q9JI91","Actn2","11472","Alpha-actinin-2",0,0
"E9Q3L2","Pi4ka","224020","Phosphatidylinositol 4-kinase alpha",0,0
"Q7TSH8","Tmem94","71947","Transmembrane protein 94",0,0
"Q8K1X1","Wdr11","207425","WD repeat-containing protein 11",0,0
"Q8R480","Nup85","445007","Nuclear pore complex protein Nup85",0,0
"Q810D6","Grwd1","101612","Glutamate-rich WD repeat-containing protein 1",0,0
"P97785","Gfra1","14585","GDNF family receptor alpha-1",0,0
"O08842","Gfra2","14586","GDNF family receptor alpha-2",0,0
"P18052","Ptpra","19262","Receptor-type tyrosine-protein phosphatase alpha",0,0
"Q62092","Nsg1","18196","Neuronal vesicle trafficking-associated protein 1",0,0
"Q9R0L6","Pcm1","18536","Pericentriolar material 1 protein",0,0
"Q5H8C4","Vps13a","271564","Intermembrane lipid transfer protein VPS13A",0,0
"Q9EP82","Wdr4","57773","tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4",0,0
"Q8K2C8","Gpat4","102247","Glycerol-3-phosphate acyltransferase 4",0,0
"Q8K1H1","Tdrd7","100121","Tudor domain-containing protein 7",0,0
"Q922L6","Nelfcd","57314","Negative elongation factor D",0,0
"P97370","Atp1b3","11933","Sodium/potassium-transporting ATPase subunit beta-3",0,0
"P58802","Tbc1d10a","103724","TBC1 domain family member 10A",0,0
"Q9DC63","Fbxo3","57443","F-box only protein 3",0,0
"Q3UVX5","Grm5","108071","Metabotropic glutamate receptor 5",0,0
"Q8BND3","Wdr35","74682","WD repeat-containing protein 35",0,0
"Q8VEH6","Zng1","226043","Zinc-regulated GTPase metalloprotein activator 1",0,0
"P11835","Itgb2","16414","Integrin beta-2",0,0
"Q9JM98","Wrap73","59002","WD repeat-containing protein WRAP73",0,0.5
"P97351","Rps3a","20091","Small ribosomal subunit protein eS1",0,0
"A2A5R2","Arfgef2","99371","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",0,0
"Q8C547","Heatr5b","320473","HEAT repeat-containing protein 5B",0,0
"Q80Y24","Prickle2","243548","Prickle-like protein 2",0,0
"Q80X80","C2cd2l","71764","Phospholipid transfer protein C2CD2L",0,0
"A6H611","Mipep","70478","Mitochondrial intermediate peptidase",0,0
"Q62407","Speg","11790","Striated muscle-specific serine/threonine-protein kinase",0,0
"Q05920","Pc","18563","Pyruvate carboxylase, mitochondrial",0,0
"Q9QXY7","Xk","22439","Endoplasmic reticulum membrane adapter protein XK",0,0
"Q61595","Ktn1","16709","Kinectin",0,0
"Q5SUR0","Pfas","237823","Phosphoribosylformylglycinamidine synthase",0,0
"Q8BRT1","Clasp2","76499","CLIP-associating protein 2",0,0
"Q6PIC6","Atp1a3","232975","Sodium/potassium-transporting ATPase subunit alpha-3",0,0
"E9PV86","Mctp1","78771","Multiple C2 and transmembrane domain-containing protein 1",0,0
"P58058","Nadk","192185","NAD kinase",0,0
"Q8R1C0","Kcnc4","99738","Voltage-gated potassium channel KCNC4",0,0
"Q922Q9","Chid1","68038","Chitinase domain-containing protein 1",0,0
"O09126","Sema4d","20354","Semaphorin-4D",0,0
"Q9WU42","Ncor2","20602","Nuclear receptor corepressor 2",0,0
"P62908","Rps3","27050","Small ribosomal subunit protein uS3",0,0
"Q9ET80","Jph1","57339","Junctophilin-1",0,0
"P22682","Cbl","12402","E3 ubiquitin-protein ligase CBL",0,0
"Q02357","Ank1","11733","Ankyrin-1",0,0
"Q9CXR1","Dhrs7","66375","Dehydrogenase/reductase SDR family member 7",0,0
"Q80YF9","Arhgap33","233071","Rho GTPase-activating protein 33",0,0
"Q9JLC8","Sacs","50720","Sacsin",0,0
"Q8BFZ9","Erlin2","244373","Erlin-2",0,0
"O88487","Dync1i2","13427","Cytoplasmic dynein 1 intermediate chain 2",0,0
"Q8C561","Lmbrd2","320506","G protein-coupled receptor-associated protein LMBRD2",0,0
"Q6PHS9","Cacna2d2","56808","Voltage-dependent calcium channel subunit alpha-2/delta-2",0,0
"Q9CQ49","Ncbp2","68092","Nuclear cap-binding protein subunit 2",0,0
"P48036","Anxa5","11747","Annexin A5",0,0
"Q91X78","Erlin1","226144","Erlin-1",0,0
"O70589","Cask","12361","Peripheral plasma membrane protein CASK",0,0
"Q9QYR9","Acot2","171210","Acyl-coenzyme A thioesterase 2, mitochondrial",0,0
"Q61234","Snta1","20648","Alpha-1-syntrophin",0,0
"O88878","Zfand5","22682","AN1-type zinc finger protein 5",0,0
"Q9JMB8","Cntn6","53870","Contactin-6",0,0
"Q07409","Cntn3","18488","Contactin-3",0,0
"P22723","Gabrg2","14406","Gamma-aminobutyric acid receptor subunit gamma-2",0,0
"Q62442","Vamp1","22317","Vesicle-associated membrane protein 1",0,0
"Q149L6","Dnajb14","70604","DnaJ homolog subfamily B member 14",0,0
"Q8VE99","Vma22","69668","Vacuolar ATPase assembly protein VMA22",0,0
"Q99JX3","Gorasp2","70231","Golgi reassembly-stacking protein 2",0,0
"Q8BK64","Ahsa1","217737","Activator of 90 kDa heat shock protein ATPase homolog 1",0,0
"O89084","Pde4a","18577","3',5'-cyclic-AMP phosphodiesterase 4A",0,0
"Q9R1V6","Adam22","11496","Disintegrin and metalloproteinase domain-containing protein 22",0,0
"Q8BFR5","Tufm","233870","Elongation factor Tu, mitochondrial",0,0
"A6X935","Itih4","16427","Inter alpha-trypsin inhibitor, heavy chain 4",0,0
"P20491","Fcer1g","14127","High affinity immunoglobulin epsilon receptor subunit gamma",0,0
"Q9D938","Tmem160","69094","Transmembrane protein 160",0,0
"Q9JI99","Sgpp1","81535","Sphingosine-1-phosphate phosphatase 1",0,0
"Q9QZN4","Fbxo6","50762","F-box only protein 6",0,0
"Q91VM9","Ppa2","74776","Inorganic pyrophosphatase 2, mitochondrial",0,0
"Q920N2","Hlcs","110948","Biotin--protein ligase",0,0
"Q80TT8","Cul9","78309","Cullin-9",0,0
"Q9Z2Q6","Septin5","18951","Septin-5",0,0
"Q6PEB6","Mob4","19070","MOB-like protein phocein",0,0
"P32020","Scp2","20280","Sterol carrier protein 2",0,0
"Q923D5","Wbp11","60321","WW domain-binding protein 11",0,0
"Q6GQW0","Abtb3","74007","Ankyrin repeat- and BTB/POZ domain-containing protein 3",0,0
"P39061","Col18a1","12822","Collagen alpha-1(XVIII) chain",0,0
"Q9CTY5","Micu3","78506","Calcium uptake protein 3, mitochondrial",0,0
"P15208","Insr","16337","Insulin receptor",0,0
"Q6PE13","Prrt3","210673","Proline-rich transmembrane protein 3",0,0
"Q9Z1D1","Eif3g","53356","Eukaryotic translation initiation factor 3 subunit G",0,0
"Q3UDE2","Ttll12","223723","Tubulin--tyrosine ligase-like protein 12",0,0
"Q922B2","Dars1","226414","Aspartate--tRNA ligase, cytoplasmic",0,0
"Q80TF3","Pcdh19","279653","Protocadherin-19",0,0
"P51863","Atp6v0d1","11972","V-type proton ATPase subunit d 1",0,0
"Q91WG7","Dgkg","110197","Diacylglycerol kinase gamma",0,0
"Q8BG80","Fbxo46","243867","F-box only protein 46",0.5,0.5
"Q8CFY5","Cox10","70383","Protoheme IX farnesyltransferase, mitochondrial",0.5,0
"P61460","Depdc5","277854","GATOR1 complex protein DEPDC5",0,0
"P53811","Pitpnb","56305","Phosphatidylinositol transfer protein beta isoform",0,0
"P61971","Nutf2","68051","Nuclear transport factor 2",0,0
"P15388","Kcnc1","16502","Voltage-gated potassium channel KCNC1",0,0
"P35700","Prdx1","18477","Peroxiredoxin-1",0,0
"P53564","Cux1","13047","Homeobox protein cut-like 1",0.25,0
"Q8BXN9","Tmem87a","211499","Golgi-pH regulating cation channel",0,0
"P83741","Wnk1","232341","Serine/threonine-protein kinase WNK1",0,0
"Q9R1P4","Psma1","26440","Proteasome subunit alpha type-1",0,0
"Q8BMQ2","Gtf3c4","269252","General transcription factor 3C polypeptide 4",0,0
"Q91V92","Acly","104112","ATP-citrate synthase",0,0
"Q61879","Myh10","77579","Myosin-10",0,0
"P97393","Arhgap5","11855","Rho GTPase-activating protein 5",0,0
"P47791","Gsr","14782","Glutathione reductase, mitochondrial",0,0
"Q8CBF3","Ephb1","270190","Ephrin type-B receptor 1",0,0
"Q9EQ80","Nif3l1","65102","NIF3-like protein 1",0,0
"Q8K135","Kiaa0319l","100317","Dyslexia-associated protein KIAA0319-like protein",0,0
"Q8BH48","Ubap1","67123","Ubiquitin-associated protein 1",0,0
"Q7TQN3","Wfikkn2","278507","WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2",0.25,0.25
"Q99MR0","Actl6b","83766","Actin-like protein 6B",0,0
"O88522","Ikbkg","16151","NF-kappa-B essential modulator",0,0
"Q9CRD0","Ociad1","68095","OCIA domain-containing protein 1",0,0
"O08800","Serpinb8","20725","Serpin B8",0,0
"P56375","Acyp2","75572","Acylphosphatase-2",0,0
"Q8K298","Anln","68743","Anillin",0,0
"Q80Y83","Dixdc1","330938","Dixin",0,0
"Q7TQA1","Igsf1","209268","Immunoglobulin superfamily member 1",0.5,0
"Q9DBT3","Ccdc97","52132","Coiled-coil domain-containing protein 97",0,0
"P39447","Tjp1","21872","Tight junction protein 1",0,0
"Q9JIA7","Sphk2","56632","Sphingosine kinase 2",0,0
"Q9D1T0","Lingo1","235402","Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1",0,0
"P97355","Sms","20603","Spermine synthase",0,0
"P70310","Ntsr2","18217","Neurotensin receptor type 2",0,0
"Q0VGY8","Tanc1","66860","Protein TANC1",0,0
"Q8CA95","Pde10a","23984","cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",0,0
"Q5DU31","Ipcef1","320495","Interactor protein for cytohesin exchange factors 1",0,0
"Q9ERU9","Ranbp2","19386","E3 SUMO-protein ligase RanBP2",0,0
"Q6PDH0","Phldb1","102693","Pleckstrin homology-like domain family B member 1",0,0
"Q9CQ06","Mrpl24","67707","Large ribosomal subunit protein uL24m",0,0
"P13634","Ca1","12346","Carbonic anhydrase 1",0,0
"Q6P1H6","Ankle2","71782","Ankyrin repeat and LEM domain-containing protein 2",0,0
"Q8R2K1","Fuom","69064","Fucose mutarotase",0,0
"Q3UE31","Q3UE31","223739","Uncharacterized protein KIAA0930 homolog",0,0
"P70207","Plxna2","18845","Plexin-A2",0,0
"Q9CW46","Raver1","71766","Ribonucleoprotein PTB-binding 1",0,0
"Q9QZQ1","Afdn","17356","Afadin",0,0
"Q6PHQ8","Naa35","78689","N-alpha-acetyltransferase 35, NatC auxiliary subunit",0,0
"O08749","Dld","13382","Dihydrolipoyl dehydrogenase, mitochondrial",0,0
"Q8BWY4","Mblac1","330216","Metallo-beta-lactamase domain-containing protein 1",0,0
"Q8BGF9","Slc25a44","229517","Solute carrier family 25 member 44",0,0
"P62242","Rps8","100040298","Small ribosomal subunit protein eS8",0,0
"Q01341","Adcy6","11512","Adenylate cyclase type 6",0,0
"P62334","Psmc6","67089","26S proteasome regulatory subunit 10B",0,0
"P11499","Hsp90ab1","15516","Heat shock protein HSP 90-beta",0,0
"Q8K2Q7","Brox","71678","BRO1 domain-containing protein BROX",0,0
"P23819","Gria2","14800","Glutamate receptor 2",0,0
"Q9Z2W9","Gria3","53623","Glutamate receptor 3",0,0
"Q9CY18","Snx7","76561","Sorting nexin-7",0,0
"P58021","Tm9sf2","68059","Transmembrane 9 superfamily member 2",0,0
"Q6ZWX6","Eif2s1","13665","Eukaryotic translation initiation factor 2 subunit 1",0,0
"P61222","Abce1","24015","ATP-binding cassette sub-family E member 1",0,0
"Q61543","Glg1","20340","Golgi apparatus protein 1",0,0
"Q61625","Grid2","14804","Glutamate receptor ionotropic, delta-2",0,0
"Q8VDN2","Atp1a1","11928","Sodium/potassium-transporting ATPase subunit alpha-1",0,0
"Q6PE15","Abhd10","213012","Palmitoyl-protein thioesterase ABHD10, mitochondrial",0,0
"P55144","Tyro3","22174","Tyrosine-protein kinase receptor TYRO3",0,0
"Q8R3P0","Aspa","11484","Aspartoacylase",0,0
"Q8VE62","Paip1","218693","Polyadenylate-binding protein-interacting protein 1",0,0
"Q61503","Nt5e","23959","5'-nucleotidase",0,0
"Q99KK9","Hars2","70791","Histidine--tRNA ligase, mitochondrial",0,0
"P15920","Atp6v0a2","21871","V-type proton ATPase 116 kDa subunit a 2",0,0
"Q8JZR0","Acsl5","433256","Long-chain-fatty-acid--CoA ligase 5",0,0
"Q8VE22","Mrps23","64656","Small ribosomal subunit protein mS23",0,0
"P10649","Gstm1","14862","Glutathione S-transferase Mu 1",0,0
"Q69Z98","Brsk2","75770","Serine/threonine-protein kinase BRSK2",0,0
"Q99KL7","Rab28","100972","Ras-related protein Rab-28",0,0
"Q6P9R2","Oxsr1","108737","Serine/threonine-protein kinase OSR1",0,0
"Q8BGN3","Enpp6","320981","Glycerophosphocholine cholinephosphodiesterase ENPP6",0,0
"P68037","Ube2l3","22195","Ubiquitin-conjugating enzyme E2 L3",0,0
"Q8VBX6","Mpdz","17475","Multiple PDZ domain protein",0,0
"P39087","Grik2","14806","Glutamate receptor ionotropic, kainate 2",0,0
"B1AS29","Grik3","14807","Glutamate receptor ionotropic, kainate 3",0,0
