"Accession","GeneName","GeneID","Description","MissingFractionControl","MissingFractionAsphyxia","AveExpr","log2FoldChange","t","pvalue","padj","B","FDRRegulation","ThresholdRegulation","ExploratoryRegulation"
"Q9EPA7","Nmnat1","66454","Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1",0,0.5,10.1379161044326,-0.684335302031695,-2.96851947350572,0.0149732018457096,0.999906683574988,-3.55501595162633,"Not significant","Not significant","Down"
"Q6ZQ73","Cand2","67088","Cullin-associated NEDD8-dissociated protein 2",0.5,0,13.3885970216708,0.697428805602977,2.94303241149938,0.0156214481924292,0.999906683574988,-3.56888597915036,"Not significant","Not significant","Up"
"Q80YT7","Pde4dip","83679","Myomegalin",0,0,7.83619475311144,0.938915833220442,2.93426346545286,0.0158510421354228,0.999906683574988,-3.57367497888621,"Not significant","Not significant","Up"
"P32648","Vip","22353","VIP peptides",0.25,0,9.2300683904215,0.67969820207453,2.91727183165356,0.0163057673186846,0.999906683574988,-3.58297913544831,"Not significant","Not significant","Up"
"Q8VEM9","Klhdc3","71765","Kelch domain-containing protein 3",0,0.5,8.7473764618845,-1.25796917318663,-2.91247954505211,0.0164364043608607,0.999906683574988,-3.58560906996745,"Not significant","Not significant","Down"
"P01837","Igkc","16136","Immunoglobulin kappa constant",0,0,15.9550789301434,-0.587880245141148,-2.9107499843429,0.0166141990454468,0.999906683574988,-3.58970797715867,"Not significant","Not significant","Down"
"Q6NXN1","Szrd1","213491","SUZ RNA-binding domain-containing",0.25,0,11.0384908054615,0.666695095627349,2.80525971770219,0.0196546123743067,0.999906683574988,-3.6451016331622,"Not significant","Not significant","Up"
"Q8K190","Saysd1","67509","SAYSvFN domain-containing protein 1",0,0.5,7.79592073930914,-1.63590892007265,-2.80395919701989,0.0198400908646031,0.999906683574988,-3.64866675127902,"Not significant","Not significant","Down"
"Q6PGH2","Jpt2","52009","Jupiter microtubule associated homolog 2",0,0,13.4842834129293,-0.824691990758797,-2.79991757401524,0.0199613511442633,0.999906683574988,-3.650674136496,"Not significant","Not significant","Down"
"Q60613","Adora2a","11540","Adenosine receptor A2a",0,0.5,12.1043219289323,-1.27309259435957,-2.81341314563128,0.0202492038906328,0.999906683574988,-3.65755860458478,"Not significant","Not significant","Down"
"Q69ZB3","Tspyl5","239364","Testis-specific Y-encoded-like protein 5",0,0,12.5347792453541,0.6594707604555,2.7801238859842,0.0204973982820834,0.999906683574988,-3.65922403508142,"Not significant","Not significant","Up"
"Q07456","Ambp","11699","Protein AMBP",0,0.5,12.1508978139122,-0.668132627799098,-2.77058010175273,0.0208268904907081,0.999906683574988,-3.66460302344808,"Not significant","Not significant","Down"
"P52431","Pold1","18971","DNA polymerase delta catalytic subunit",0,0.25,8.12190757544469,-0.871571419409136,-2.76916800611894,0.0208760948383809,0.999906683574988,-3.66539967859337,"Not significant","Not significant","Down"
"Q9QXC1","Fetub","59083","Fetuin-B",0,0,12.9138654567758,-0.681262401006,-2.76484569057691,0.0210274370625527,0.999906683574988,-3.66783942546662,"Not significant","Not significant","Down"
"Q9JHJ3","Glmp","56700","Glycosylated lysosomal membrane protein",0,0.5,11.5685501507352,-0.933218031688623,-2.75950082635266,0.0212161172558658,0.999906683574988,-3.67085894571607,"Not significant","Not significant","Down"
"B2RXA1","Plcxd2","433022","PI-PLC X domain-containing protein 2",0,0,13.8105705283945,0.693554788230248,2.71491713798256,0.0228580861191762,0.999906683574988,-3.69615599811295,"Not significant","Not significant","Up"
"P22599","Serpina1b","20701","Alpha-1-antitrypsin 1-2",0,0,15.8453610052027,-0.646952728251875,-2.72642152851077,0.0231531080080607,0.999906683574988,-3.70198644094021,"Not significant","Not significant","Down"
"Q7TT45","Rragd","52187","Ras-related GTP-binding protein D",0,0,12.9806805321101,-0.576470327728671,-2.68692379646045,0.0239539355831866,0.999906683574988,-3.7121377291064,"Not significant","Not significant","Down"
"Q9R0N8","Syt6","54524","Synaptotagmin-6",0,0,15.0523918368204,-0.760010940395853,-2.69629515789284,0.0244076657208455,0.999906683574988,-3.71998632717188,"Not significant","Not significant","Down"
"Q80X32","Q80X32","78521","UPF0461 protein C5orf24 homolog",0,0.25,15.8288128811831,-1.03682791012093,-2.72757862652662,0.0246829365601415,0.999906683574988,-3.7265397749054,"Not significant","Not significant","Down"
"Q9ESB3","Hrg","94175","Histidine-rich glycoprotein",0,0,12.694578699929,-0.622020179500247,-2.64438999971001,0.0257210099301235,0.999906683574988,-3.73656049045647,"Not significant","Not significant","Down"
"Q9CR24","Nudt8","66387","Mitochondrial coenzyme A diphosphatase NUDT8",0.25,0,9.14807608495176,0.89792745847012,2.63652975423769,0.0260616200132295,0.999906683574988,-3.74109177326935,"Not significant","Not significant","Up"
"Q64435","Ugt1a6","94284","UDP-glucuronosyltransferase 1A6",0,0,11.9958276478863,1.08126437197147,2.61241268165271,0.0277159195769645,0.999906683574988,-3.76300188608809,"Not significant","Not significant","Up"
"Q925N1","Sfxn4","94281","Sideroflexin-4",0,0,14.2195732572341,0.527288389595673,2.59550916073103,0.0279139266356074,0.999906683574988,-3.76482721822077,"Not significant","Not significant","Up"
"Q7TQA1","Igsf1","209268","Immunoglobulin superfamily member 1",0.5,0,14.7877789740953,1.31361022450022,2.62579121157471,0.0293765880421348,0.999906683574988,-3.78541706036628,"Not significant","Not significant","Up"
"Q91WZ8","Dtnbp1","94245","Dysbindin",0.25,0,15.8679412941826,0.516236313615224,2.56401777936288,0.0295969405242094,0.999906683574988,-3.78531744058895,"Not significant","Not significant","Up"
"Q00897","Serpina1d","20703","Alpha-1-antitrypsin 1-4",0,0,18.3424975720225,-0.572279001339677,-2.58769407127693,0.0296070821029598,0.999906683574988,-3.78646010709573,"Not significant","Not significant","Down"
"P30875","Sstr2","20606","Somatostatin receptor type 2",0.25,0,10.6164791795827,0.502164704095099,2.55240867204155,0.0300022035058788,0.999906683574988,-3.78991913522656,"Not significant","Not significant","Up"
"P07758","Serpina1a","20700","Alpha-1-antitrypsin 1-1",0,0,17.4908726885033,-0.581480985180555,-2.57555782854089,0.0301991704947449,0.999906683574988,-3.79327281583155,"Not significant","Not significant","Down"
"O88879","Apaf1","11783","Apoptotic protease-activating factor 1",0,0.5,10.7408126803334,-1.00283799327216,-2.51788264008542,0.0317953836402768,0.999906683574988,-3.81022445019912,"Not significant","Not significant","Down"
"Q00898","Serpina1e","20704","Alpha-1-antitrypsin 1-5",0,0,19.7231475099881,-0.567077164510998,-2.55126099179283,0.0322457279086056,0.999906683574988,-3.81646218382275,"Not significant","Not significant","Down"
"Q6W8Q3","Pcp4l1","66425","Purkinje cell protein 4-like protein 1",0,0,16.6945830845647,-1.15459687255937,-2.578226057827,0.0329847677980785,0.999906683574988,-3.82574373533532,"Not significant","Not significant","Down"
"Q61143","Trpc6","22068","Short transient receptor potential channel 6",0.5,0,12.1330811600627,0.626747234213177,2.49487592679423,0.0330344551444438,0.999906683574988,-3.82364218727362,"Not significant","Not significant","Up"
