"FeatureKey","FeatureLabel","KEGGCompound","PathwayID","PathwayName"
"FT0497NR","L-Aspartic acid","C00049","mmu00270","Cysteine and methionine metabolism"
"FT0497NR","L-Aspartic acid","C00049","mmu00340","Histidine metabolism"
"FT0497NR","L-Aspartic acid","C00049","mmu00410","beta-Alanine metabolism"
"FT0497NR","L-Aspartic acid","C00049","mmu00470","D-Amino acid metabolism"
"FT0497NR","L-Aspartic acid","C00049","mmu00630","Glyoxylate and dicarboxylate metabolism"
"FT0497NR","L-Aspartic acid","C00049","mmu00760","Nicotinate and nicotinamide metabolism"
"FT0497NR","L-Aspartic acid","C00049","mmu00770","Pantothenate and CoA biosynthesis"
"FT0497NR","L-Aspartic acid","C00049","mmu00970","Aminoacyl-tRNA biosynthesis"
"FT0497NR","L-Aspartic acid","C00049","mmu02010","ABC transporters"
"FT0497NR","L-Aspartic acid","C00049","mmu04080","Neuroactive ligand-receptor interaction"
"FT0497NR","L-Aspartic acid","C00049","mmu04974","Protein digestion and absorption"
"FT0497NR","L-Aspartic acid","C00049","mmu05230","Central carbon metabolism in cancer"
"FT1215PR","4-Guanidinobutanoic acid","C01035","mmu00330","Arginine and proline metabolism"
"FT6633PR","LysoPC(22:6/0:0)","C04230","mmu00564","Glycerophospholipid metabolism"
"FT6633PR","LysoPC(22:6/0:0)","C04230","mmu04148","Efferocytosis"
"FT6633PR","LysoPC(22:6/0:0)","C04230","mmu05231","Choline metabolism in cancer"
"FT4814NR","dIDP","C01344","mmu00230","Purine metabolism"
"FT6491PR","LysoPC(20:2/0:0)","C04230","mmu00564","Glycerophospholipid metabolism"
"FT6491PR","LysoPC(20:2/0:0)","C04230","mmu04148","Efferocytosis"
"FT6491PR","LysoPC(20:2/0:0)","C04230","mmu05231","Choline metabolism in cancer"
"FT0349NR","Succinic acid","C00042","mmu00020","Citrate cycle (TCA cycle)"
"FT0349NR","Succinic acid","C00042","mmu00190","Oxidative phosphorylation"
"FT0349NR","Succinic acid","C00042","mmu00250","Alanine, aspartate and glutamate metabolism"
"FT0349NR","Succinic acid","C00042","mmu00310","Lysine degradation"
"FT0349NR","Succinic acid","C00042","mmu00350","Tyrosine metabolism"
"FT0349NR","Succinic acid","C00042","mmu00360","Phenylalanine metabolism"
"FT0349NR","Succinic acid","C00042","mmu00620","Pyruvate metabolism"
"FT0349NR","Succinic acid","C00042","mmu00630","Glyoxylate and dicarboxylate metabolism"
"FT0349NR","Succinic acid","C00042","mmu00640","Propanoate metabolism"
"FT0349NR","Succinic acid","C00042","mmu00650","Butanoate metabolism"
"FT0349NR","Succinic acid","C00042","mmu00760","Nicotinate and nicotinamide metabolism"
"FT0349NR","Succinic acid","C00042","mmu00920","Sulfur metabolism"
"FT0349NR","Succinic acid","C00042","mmu04024","cAMP signaling pathway"
"FT0349NR","Succinic acid","C00042","mmu04727","GABAergic synapse"
"FT0349NR","Succinic acid","C00042","mmu04922","Glucagon signaling pathway"
"FT0349NR","Succinic acid","C00042","mmu05230","Central carbon metabolism in cancer"
"FT5413NR","Flavin mononucleotide","C00061","mmu00740","Riboflavin metabolism"
"FT5413NR","Flavin mononucleotide","C00061","mmu04977","Vitamin digestion and absorption"
"FT1014NR","Pyrophosphate","C00013","mmu00190","Oxidative phosphorylation"
"FT1014NR","Pyrophosphate","C00013","mmu05012","Parkinson disease"
"FT1014NR","Pyrophosphate","C00013","mmu05022","Pathways of neurodegeneration - multiple diseases"
"FT2704PR","Lumichrome","C01727","mmu00740","Riboflavin metabolism"
"FT1136NR","Kynurenic acid","C01717","mmu00380","Tryptophan metabolism"
"FT3752NR","Adenosine monophosphate","C00020","mmu00230","Purine metabolism"
"FT3752NR","Adenosine monophosphate","C00020","mmu01523","Antifolate resistance"
"FT3752NR","Adenosine monophosphate","C00020","mmu04022","cGMP-PKG signaling pathway"
"FT3752NR","Adenosine monophosphate","C00020","mmu04024","cAMP signaling pathway"
"FT3752NR","Adenosine monophosphate","C00020","mmu04068","FoxO signaling pathway"
"FT3752NR","Adenosine monophosphate","C00020","mmu04150","mTOR signaling pathway"
"FT3752NR","Adenosine monophosphate","C00020","mmu04151","PI3K-Akt signaling pathway"
"FT3752NR","Adenosine monophosphate","C00020","mmu04152","AMPK signaling pathway"
"FT3752NR","Adenosine monophosphate","C00020","mmu04211","Longevity regulating pathway"
"FT3752NR","Adenosine monophosphate","C00020","mmu04740","Olfactory transduction"
"FT3752NR","Adenosine monophosphate","C00020","mmu04742","Taste transduction"
"FT3752NR","Adenosine monophosphate","C00020","mmu04923","Regulation of lipolysis in adipocytes"
"FT3752NR","Adenosine monophosphate","C00020","mmu04924","Renin secretion"
"FT3752NR","Adenosine monophosphate","C00020","mmu04925","Aldosterone synthesis and secretion"
"FT3752NR","Adenosine monophosphate","C00020","mmu04927","Cortisol synthesis and secretion"
"FT3752NR","Adenosine monophosphate","C00020","mmu04928","Parathyroid hormone synthesis, secretion and action"
"FT3752NR","Adenosine monophosphate","C00020","mmu04934","Cushing syndrome"
"FT3752NR","Adenosine monophosphate","C00020","mmu05012","Parkinson disease"
"FT3752NR","Adenosine monophosphate","C00020","mmu05022","Pathways of neurodegeneration - multiple diseases"
"FT3752NR","Adenosine monophosphate","C00020","mmu05032","Morphine addiction"
