"FeatureKey","FeatureLabel","KEGGCompound","PathwayID","PathwayName"
"FT2132PR","L-Tryptophan","C00078","mmu00260","Glycine, serine and threonine metabolism"
"FT2132PR","L-Tryptophan","C00078","mmu00380","Tryptophan metabolism"
"FT2132PR","L-Tryptophan","C00078","mmu00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"FT2132PR","L-Tryptophan","C00078","mmu00970","Aminoacyl-tRNA biosynthesis"
"FT2132PR","L-Tryptophan","C00078","mmu04726","Serotonergic synapse"
"FT2132PR","L-Tryptophan","C00078","mmu04974","Protein digestion and absorption"
"FT2132PR","L-Tryptophan","C00078","mmu04978","Mineral absorption"
"FT2132PR","L-Tryptophan","C00078","mmu05143","African trypanosomiasis"
"FT2132PR","L-Tryptophan","C00078","mmu05230","Central carbon metabolism in cancer"
"FT3860NR","Prostaglandin F2a","C00639","mmu00590","Arachidonic acid metabolism"
"FT3860NR","Prostaglandin F2a","C00639","mmu04072","Phospholipase D signaling pathway"
"FT3860NR","Prostaglandin F2a","C00639","mmu04080","Neuroactive ligand-receptor interaction"
"FT3860NR","Prostaglandin F2a","C00639","mmu04726","Serotonergic synapse"
"FT3860NR","Prostaglandin F2a","C00639","mmu04913","Ovarian steroidogenesis"
"FT3860NR","Prostaglandin F2a","C00639","mmu04921","Oxytocin signaling pathway"
"FT3860NR","Prostaglandin F2a","C00639","mmu04976","Bile secretion"
"FT5637NR","Adenosine 3',5'-diphosphate","C00054","mmu00230","Purine metabolism"
