"PathwayID","PathwayName","SetSize","PearsonR","CorrelationT","Pvalue","padj","N","Omics"
"mmu04964","Proximal tubule bicarbonate reclamation",4,0.940472922541315,6.77814487892173,0.00050406888371792,0.0401987817051438,8,"Proteomics"
"mmu00250","Alanine, aspartate and glutamate metabolism",16,0.924297225765144,5.93192020403271,0.00102396560074416,0.0401987817051438,8,"Proteomics"
"mmu04122","Sulfur relay system",4,0.921786769261035,5.8238929440858,0.00112706864593861,0.0401987817051438,8,"Proteomics"
"mmu04921","Oxytocin signaling pathway",4,0.860732580007739,4.14168553461261,0.00606717805161543,0.133365221047323,8,"Proteomics"
"mmu05200","Pathways in cancer",5,0.8594346201996,4.11773911508669,0.00623201967510857,0.133365221047323,8,"Proteomics"
"mmu00524","Neomycin, kanamycin and gentamicin biosynthesis",3,0.819953902168133,3.50867394344114,0.0126918371291363,0.199777643694951,8,"Proteomics"
"mmu00541","Biosynthesis of various nucleotide sugars",6,0.818094989160611,3.48456637598881,0.0130695654753706,0.199777643694951,8,"Proteomics"
"mmu04726","Serotonergic synapse",8,0.797076316753478,3.23315035671778,0.0178397154171432,0.23860619370429,8,"Proteomics"
"mmu00220","Arginine biosynthesis",11,0.78779327026422,3.13292260523298,0.0202492183977479,0.240740707617669,8,"Proteomics"
"mmu04913","Ovarian steroidogenesis",4,0.769785113954783,2.95405218831061,0.0254786730628228,0.272621801772204,8,"Proteomics"
"mmu05012","Parkinson disease",8,0.751008271909784,2.7860171607003,0.0317438868174553,0.308781444497065,8,"Proteomics"
"mmu00520","Amino sugar and nucleotide sugar metabolism",7,0.726134971700185,2.58694570653255,0.041381361979012,0.368983810979523,8,"Proteomics"
"mmu00740","Riboflavin metabolism",5,-0.695990089612829,-2.37423200504512,0.0552008969848889,0.454345844414085,8,"Proteomics"
"mmu05215","Prostate cancer",4,0.682052615881004,2.28452590816662,0.0624109486390637,0.473981327862591,8,"Proteomics"
"mmu00562","Inositol phosphate metabolism",4,0.674667950571752,2.23891665036796,0.0664459805414847,0.473981327862591,8,"Proteomics"
"mmu04924","Renin secretion",4,0.66039838712844,2.15422273808808,0.0746698028893089,0.476597133826944,8,"Proteomics"
"mmu04931","Insulin resistance",3,0.658358372755482,2.14246336056573,0.0758917996689895,0.476597133826944,8,"Proteomics"
"mmu00590","Arachidonic acid metabolism",9,0.65135564701661,2.10272356712452,0.0801752187746261,0.476597133826944,8,"Proteomics"
"mmu04981","Folate transport and metabolism",6,0.628783861983595,1.9807600086442,0.0949238850031614,0.501506867953952,8,"Proteomics"
"mmu00330","Arginine and proline metabolism",13,-0.623375603177958,-1.95281766321902,0.098672764066359,0.501506867953952,8,"Proteomics"
"mmu00600","Sphingolipid metabolism",6,-0.622240578361616,-1.94701219623794,0.0994701447955108,0.501506867953952,8,"Proteomics"
"mmu00240","Pyrimidine metabolism",13,0.61198611193174,1.89545251393145,0.106841350828833,0.501506867953952,8,"Proteomics"
"mmu04148","Efferocytosis",16,-0.610681806154113,-1.88900618598268,0.107800541709728,0.501506867953952,8,"Proteomics"
"mmu04071","Sphingolipid signaling pathway",4,-0.602023933559014,-1.84682780583937,0.114291516860876,0.506870432380116,8,"Proteomics"
"mmu00410","beta-Alanine metabolism",8,-0.59520153507261,-1.81431403397342,0.119558387899899,0.506870432380116,8,"Proteomics"
"mmu05022","Pathways of neurodegeneration - multiple diseases",6,0.583631420746517,1.76054958277367,0.128797246868225,0.506870432380116,8,"Proteomics"
"mmu04082","Neuroactive ligand signaling",7,0.570843161849806,1.70301313190591,0.139458299785325,0.506870432380116,8,"Proteomics"
"mmu04923","Regulation of lipolysis in adipocytes",4,0.569106563525549,1.69534488627809,0.140942435860276,0.506870432380116,8,"Proteomics"
"mmu05230","Central carbon metabolism in cancer",18,0.568459357962822,1.69249564114529,0.141497778557789,0.506870432380116,8,"Proteomics"
"mmu00053","Ascorbate and aldarate metabolism",9,0.567743769247233,1.68935075072242,0.142113205340219,0.506870432380116,8,"Proteomics"
"mmu00430","Taurine and hypotaurine metabolism",7,-0.560020648241384,-1.65576365012738,0.148849318424194,0.513770228109314,8,"Proteomics"
"mmu05014","Amyotrophic lateral sclerosis",3,0.547038123630896,1.60070715202652,0.160560024531903,0.520819330923092,8,"Proteomics"
"mmu04068","FoxO signaling pathway",3,0.542559305202041,1.58210210253171,0.16471257735221,0.520819330923092,8,"Proteomics"
"mmu00140","Steroid hormone biosynthesis",4,0.540901181813822,1.57526300594577,0.166264525643759,0.520819330923092,8,"Proteomics"
"mmu00040","Pentose and glucuronate interconversions",6,0.532389231863284,1.54055813091547,0.174355549046278,0.520819330923092,8,"Proteomics"
"mmu00400","Phenylalanine, tyrosine and tryptophan biosynthesis",5,0.526933204074054,1.51865784649554,0.17965083330776,0.520819330923092,8,"Proteomics"
"mmu00640","Propanoate metabolism",5,0.52647806700038,1.51684279930743,0.180096404150976,0.520819330923092,8,"Proteomics"
"mmu01040","Biosynthesis of unsaturated fatty acids",7,-0.514761452671119,-1.47072635073098,0.191769913331898,0.539983703329293,8,"Proteomics"
"mmu00970","Aminoacyl-tRNA biosynthesis",15,0.503896720366349,1.42896667851043,0.202942799116728,0.55679178219205,8,"Proteomics"
"mmu00230","Purine metabolism",22,0.497120569133472,1.40338565703516,0.210079801607608,0.561963469300351,8,"Proteomics"
"mmu04022","cGMP-PKG signaling pathway",3,0.482341926772654,1.34876083682226,0.226091667370469,0.566940672770423,8,"Proteomics"
"mmu04740","Olfactory transduction",3,0.482341926772654,1.34876083682226,0.226091667370469,0.566940672770423,8,"Proteomics"
"mmu04925","Aldosterone synthesis and secretion",3,0.475035530685376,1.32231682342406,0.234232150983595,0.566940672770423,8,"Proteomics"
"mmu05231","Choline metabolism in cancer",15,-0.473307672167169,-1.31611533126861,0.236178826154487,0.566940672770423,8,"Proteomics"
"mmu05146","Amoebiasis",4,0.471315941355619,1.30899104791599,0.238432993221206,0.566940672770423,8,"Proteomics"
"mmu00340","Histidine metabolism",11,-0.460281611425605,-1.2699813238935,0.251118291580512,0.583331164433329,8,"Proteomics"
"mmu05415","Diabetic cardiomyopathy",6,0.455522735376681,1.25339024749022,0.256691647657319,0.583331164433329,8,"Proteomics"
"mmu04978","Mineral absorption",9,0.447046047316839,1.22417138995462,0.266770798860528,0.583331164433329,8,"Proteomics"
"mmu00061","Fatty acid biosynthesis",3,-0.443126659798588,-1.21080182278659,0.271496401340387,0.583331164433329,8,"Proteomics"
"mmu00591","Linoleic acid metabolism",4,0.440151476794248,1.2007108443004,0.275110979990846,0.583331164433329,8,"Proteomics"
"mmu04750","Inflammatory mediator regulation of TRP channels",3,0.436507189130655,1.18841721514844,0.279570554878625,0.583331164433329,8,"Proteomics"
"mmu04742","Taste transduction",10,0.430950188885862,1.1698099221816,0.286438444092726,0.583331164433329,8,"Proteomics"
"mmu00190","Oxidative phosphorylation",5,0.428682438930237,1.16226371073773,0.289264535860456,0.583331164433329,8,"Proteomics"
"mmu00670","One carbon pool by folate",5,0.422439488554702,1.1416276717554,0.297114157296608,0.583331164433329,8,"Proteomics"
"mmu04976","Bile secretion",14,0.420287821684086,1.13456148809306,0.299843121904982,0.583331164433329,8,"Proteomics"
"mmu05208","Chemical carcinogenesis - reactive oxygen species",4,0.395831234166077,1.05582051145088,0.331697126928271,0.633778438952233,8,"Proteomics"
