"PathwayID","PathwayName","SetSize","PearsonR","CorrelationT","Pvalue","padj","N","Omics"
"mmu00400","Phenylalanine, tyrosine and tryptophan biosynthesis",5,0.968583089796124,7.7894764342519,0.00146502877548976,0.156758078977404,6,"Transcriptomics"
"mmu00240","Pyrimidine metabolism",13,0.949672970019414,6.06348819873791,0.00373548051893967,0.199848207763273,6,"Transcriptomics"
"mmu04721","Synaptic vesicle cycle",4,0.930020049998102,5.06121262679284,0.00717443742868205,0.208697343241286,6,"Transcriptomics"
"mmu00230","Purine metabolism",22,0.92698683405599,4.94269255889033,0.00780176984079574,0.208697343241286,6,"Transcriptomics"
"mmu05014","Amyotrophic lateral sclerosis",3,0.887077192355554,3.84331288787586,0.018407369723476,0.393917712082387,6,"Transcriptomics"
"mmu00750","Vitamin B6 metabolism",6,0.841972996608111,3.12119481589123,0.0354856333596911,0.565060988679585,6,"Transcriptomics"
"mmu04921","Oxytocin signaling pathway",4,0.825454097713613,2.924708829833,0.0430405265392487,0.565060988679585,6,"Transcriptomics"
"mmu04082","Neuroactive ligand signaling",7,0.785080228449782,2.53499426308128,0.0643221355693867,0.565060988679585,6,"Transcriptomics"
"mmu00640","Propanoate metabolism",5,0.779085757507167,2.48544960178424,0.0678140035902327,0.565060988679585,6,"Transcriptomics"
"mmu00920","Sulfur metabolism",7,0.778340971242413,2.47941747321998,0.0682537314894804,0.565060988679585,6,"Transcriptomics"
"mmu00730","Thiamine metabolism",4,0.766341775808039,2.38574812148089,0.0755158270324332,0.565060988679585,6,"Transcriptomics"
"mmu00660","C5-Branched dibasic acid metabolism",3,0.764151016900029,2.36932320192528,0.0768775947281929,0.565060988679585,6,"Transcriptomics"
"mmu01040","Biosynthesis of unsaturated fatty acids",7,-0.764023078546954,-2.36837013571301,0.0769574610732712,0.565060988679585,6,"Transcriptomics"
"mmu00524","Neomycin, kanamycin and gentamicin biosynthesis",3,0.74450169400426,2.23031382097452,0.0895796904889715,0.565060988679585,6,"Transcriptomics"
"mmu00561","Glycerolipid metabolism",4,0.737329846245757,2.18295762404034,0.0944318708092924,0.565060988679585,6,"Transcriptomics"
"mmu04750","Inflammatory mediator regulation of TRP channels",3,0.719089167013124,2.06956607323315,0.107282881357966,0.565060988679585,6,"Transcriptomics"
"mmu05022","Pathways of neurodegeneration - multiple diseases",6,0.715550672928931,2.04864241244289,0.10985953006786,0.565060988679585,6,"Transcriptomics"
"mmu04122","Sulfur relay system",4,0.714467549803125,2.04230280268459,0.110653613999186,0.565060988679585,6,"Transcriptomics"
"mmu04924","Renin secretion",4,0.710323811469417,2.01832360368404,0.113714744524819,0.565060988679585,6,"Transcriptomics"
"mmu04068","FoxO signaling pathway",3,0.706526585286561,1.99672194926729,0.116552027391302,0.565060988679585,6,"Transcriptomics"
"mmu04152","AMPK signaling pathway",4,0.702398264693902,1.97362715539507,0.119671373663402,0.565060988679585,6,"Transcriptomics"
"mmu05012","Parkinson disease",8,0.701983955864829,1.97133134864485,0.119986410552828,0.565060988679585,6,"Transcriptomics"
"mmu00670","One carbon pool by folate",5,0.696050636641491,1.93887943625939,0.124537609513704,0.565060988679585,6,"Transcriptomics"
"mmu04913","Ovarian steroidogenesis",4,0.693209937261933,1.92361753365275,0.126742651666449,0.565060988679585,6,"Transcriptomics"
"mmu05415","Diabetic cardiomyopathy",6,0.642141552949213,1.6753279647829,0.169179848418097,0.660122037864857,6,"Transcriptomics"
"mmu00541","Biosynthesis of various nucleotide sugars",6,0.638190316477567,1.65789848820564,0.172677796720425,0.660122037864857,6,"Transcriptomics"
"mmu04726","Serotonergic synapse",8,0.63266932738075,1.63391350170146,0.177615435911584,0.660122037864857,6,"Transcriptomics"
"mmu04931","Insulin resistance",3,0.631287071839633,1.62797417473658,0.178860716969782,0.660122037864857,6,"Transcriptomics"
"mmu00250","Alanine, aspartate and glutamate metabolism",16,0.620678380835389,1.58323140843611,0.188538011279216,0.660122037864857,6,"Transcriptomics"
"mmu04923","Regulation of lipolysis in adipocytes",4,0.6172115890523,1.56892164556956,0.19174603879795,0.660122037864857,6,"Transcriptomics"
"mmu00030","Pentose phosphate pathway",6,0.59476330895353,1.47969316188802,0.213051832241701,0.660122037864857,6,"Transcriptomics"
"mmu00190","Oxidative phosphorylation",5,0.590941442304774,1.46505727945081,0.21676969544703,0.660122037864857,6,"Transcriptomics"
"mmu00140","Steroid hormone biosynthesis",4,0.587152829200465,1.4506983709268,0.22048076857388,0.660122037864857,6,"Transcriptomics"
"mmu05200","Pathways in cancer",5,0.586387832024501,1.44781678448283,0.221233182154868,0.660122037864857,6,"Transcriptomics"
"mmu00220","Arginine biosynthesis",11,0.584428115084961,1.44046180422713,0.223165356794909,0.660122037864857,6,"Transcriptomics"
"mmu00983","Drug metabolism - other enzymes",4,-0.582609566843792,-1.43367089531556,0.224964370609082,0.660122037864857,6,"Transcriptomics"
"mmu04925","Aldosterone synthesis and secretion",3,0.579286662089705,1.42134629131031,0.228266499074764,0.660122037864857,6,"Transcriptomics"
"mmu04540","Gap junction",4,0.56143702795054,1.35691558261209,0.246330172147328,0.692089758344729,6,"Transcriptomics"
"mmu00562","Inositol phosphate metabolism",4,0.555693978713784,1.33678788745283,0.25225701472378,0.692089758344729,6,"Transcriptomics"
"mmu04216","Ferroptosis",5,0.529883668223803,1.24962198180466,0.279563992028408,0.74783367867599,6,"Transcriptomics"
"mmu04714","Thermogenesis",4,0.479961875996187,1.09419287462547,0.33534001139645,0.833695732485506,6,"Transcriptomics"
"mmu04071","Sphingolipid signaling pathway",4,-0.477971494554104,-1.08830808180567,0.337640665193989,0.833695732485506,6,"Transcriptomics"
"mmu04964","Proximal tubule bicarbonate reclamation",4,0.476651235860511,1.08441658488653,0.339169868785044,0.833695732485506,6,"Transcriptomics"
"mmu00520","Amino sugar and nucleotide sugar metabolism",7,0.473501487512081,1.07517084627533,0.342828151676283,0.833695732485506,6,"Transcriptomics"
"mmu00051","Fructose and mannose metabolism",4,0.448973555849353,1.00492651987961,0.371791094446113,0.849717999360622,6,"Transcriptomics"
"mmu04918","Thyroid hormone synthesis",4,0.446252220253919,0.997315037202951,0.375055236151659,0.849717999360622,6,"Transcriptomics"
"mmu00020","Citrate cycle (TCA cycle)",6,0.443520799597254,0.989710085917595,0.378341444008801,0.849717999360622,6,"Transcriptomics"
"mmu00600","Sphingolipid metabolism",6,-0.439480516646997,-0.978523747759875,0.383220545103247,0.849717999360622,6,"Transcriptomics"
