"PathwayID","PathwayName","SetSize","CON-1","CON-2","CON-3","CON-4","CON-5","CON-6","Asphyxia-1","Asphyxia-2","Asphyxia-3","Asphyxia-4","Asphyxia-5","Asphyxia-6"
"mmu00020","Citrate cycle (TCA cycle)",6,0.502874569989344,0.51417569756589,0.515006419542154,0.499828389290713,0.528613651583012,0.510687377893651,0.517801591474907,0.506663054684084,0.513978739054138,0.509737632105101,0.491472783083909,0.513361014259738
"mmu00030","Pentose phosphate pathway",6,0.19443088156398,0.192264547106895,0.236770908077029,0.2203450662585,0.201146681161795,0.228569509208721,0.215158485703457,0.220454804659181,0.209021428830018,0.210516941231628,0.211375760262643,0.197627373135545
"mmu00040","Pentose and glucuronate interconversions",6,0.334917866643957,0.328264548933777,0.326971924909006,0.322700077088191,0.320560441803051,0.344642650649673,0.338117511285481,0.332571762180404,0.331989756649402,0.33492404648335,0.317274811365065,0.330575667792065
"mmu00051","Fructose and mannose metabolism",4,0.298541025528175,0.334306210771866,0.320963059925311,0.305871046987923,0.322066660147795,0.324114382401127,0.323769888654627,0.339655234634406,0.328359581177097,0.309662735623755,0.340594980161257,0.29436770224749
"mmu00052","Galactose metabolism",5,0.408981752273803,0.426201338873986,0.413641821066053,0.408278733567505,0.417364215716808,0.427877598361719,0.405445544384244,0.422962018941503,0.424209570135011,0.373131214382665,0.408004894477709,0.387460511188583
"mmu00053","Ascorbate and aldarate metabolism",9,0.349058127095322,0.360237362464948,0.345787055171338,0.332344103791036,0.289393897392712,0.367146285950648,0.369348151386591,0.350741761839642,0.35604474273575,0.343065289659461,0.334334638823811,0.33046989245928
"mmu00061","Fatty acid biosynthesis",3,0.293302359727111,0.296994720931336,0.318215227189442,0.317370924279893,0.304378563945716,0.330615091954321,0.2736121932534,0.347274087895482,0.307191624573854,0.326242227519835,0.321428665397209,0.321204109316818
"mmu00120","Primary bile acid biosynthesis",3,0.0447432379903563,0.0297221990571247,0.0336220974224241,0.0181682008484593,0.0155628646983386,0.0249654386341603,0.0160517318063586,0.0154771327733698,0.0882838556571567,0.0948025358013117,0.112575160994355,0.0915599805718275
"mmu00140","Steroid hormone biosynthesis",4,-0.300047193510702,-0.261765990747397,-0.317977847824658,-0.297782360259633,-0.357351761521861,-0.304692676575034,-0.184411492297288,-0.125845418656848,-0.242717350895052,-0.248057494916344,-0.227146618983265,-0.238663524253389
"mmu00190","Oxidative phosphorylation",5,0.470335585796214,0.491260984395998,0.488687937327574,0.469291048289222,0.505090149980323,0.482815084783184,0.498109159200382,0.484810471295574,0.490765466385081,0.483454547902301,0.482719063361364,0.473140247740818
