"FeatureKey","Metabolite","KEGG","Class","SubClass","VIP","VIPCandidate","log2FC","PearsonR","CorrelationT","Pvalue","padj","N","Omics"
"FT1181NR","1-Acetyl-2-methylcyclopentene",NA,"Prenol lipids","Monoterpenoids",1.09960936469296,FALSE,-0.286910056660422,-0.841278237488785,-3.8118634164744,0.00884430904505931,0.425136786510782,8,"Proteomics"
"FT5822PR","Car(18:1)",NA,"Fatty Acyls","Fatty acid esters",0.760187858933418,FALSE,-0.213558443926738,-0.838758006179093,-3.77320964260036,0.00925378969412057,0.429992761120136,8,"Proteomics"
"FT4208NR","Retinol acetate",NA,"Prenol lipids","Retinoids",0.648649154216788,FALSE,-0.213019308444286,-0.834991633192748,-3.71695858261829,0.00988786132282114,0.444634796258473,8,"Proteomics"
"FT3363NR","FA(19:3)",NA,"Fatty Acyls","Lineolic acids and derivatives",1.14116868971557,FALSE,-0.327094787817454,-0.829573571282201,-3.6390424535826,0.0108472854554632,0.46054811591609,8,"Proteomics"
"FT3745PR","18-Octadecanolide",NA,"Macrolides and analogues","Unclassified",0.996856292638378,FALSE,-0.31255477127754,-0.829271161419447,-3.63479315094472,0.010902502026708,0.46054811591609,8,"Proteomics"
"FT3805NR","FA(23:1;O)",NA,"Fatty Acyls","Fatty acids and conjugates",0.219363726960401,FALSE,-0.0587437788006023,-0.823805264192051,-3.55970895524124,0.0119313483262384,0.489185281375773,8,"Proteomics"
"FT0870NR","Xylan",NA,"Organooxygen compounds","Carbohydrates and carbohydrate conjugates",0.4705347100132,FALSE,-0.155099513189737,-0.819889781634665,-3.50783679573017,0.0127047500936069,0.501477491291417,8,"Proteomics"
"FT3744PR","Sphingosine","C00319","Organonitrogen compounds","Amines",1.05828953674145,FALSE,-0.28773855976617,-0.818546784219309,-3.49039484084098,0.0129771182367388,0.501477491291417,8,"Proteomics"
"FT5349PR","CHEBI:140689",NA,"Fatty Acyls","Fatty acid esters",1.81524699237181,TRUE,-0.924263031517753,-0.814344095543841,-3.43691954864094,0.0138531403337005,0.501477491291417,8,"Proteomics"
"FT2489PR","3-hydroxy-.beta.-ionol",NA,"Prenol lipids","Sesquiterpenoids",1.04480498992834,FALSE,-0.510716626873623,-0.812955097394643,-3.41960325046097,0.0141506297961262,0.501477491291417,8,"Proteomics"
"FT3412NR","Taurolidine",NA,"Thiadiazinanes","Unclassified",0.805325123285155,FALSE,-0.205322478428508,-0.810948838685169,-3.39489476104262,0.0145873684268835,0.501477491291417,8,"Proteomics"
"FT5467PR","LysoPE(0:0/14:0)",NA,"Glycerophospholipids","Glycerophosphoethanolamines",0.497801186618551,FALSE,-0.169102938413751,-0.808345120530543,-3.3633483194112,0.015166672403421,0.501477491291417,8,"Proteomics"
"FT3210PR","gamma-Camphorene",NA,"Prenol lipids","Monoterpenoids",0.648665569529529,FALSE,-0.187363479507554,-0.80748445354476,-3.35304673233236,0.0153612893358895,0.501477491291417,8,"Proteomics"
"FT7474NR","PA(20:4-OH(15S)/P-16:0)",NA,"Glycerophospholipids","Glycerophosphates",0.659597209564103,FALSE,-0.146219227492919,-0.80722106077153,-3.3499064332913,0.0154211603499584,0.501477491291417,8,"Proteomics"
"FT4301PR","S-Formylglutathione","C01031","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",1.23509737682537,FALSE,-0.775500485801804,-0.805694168855581,-3.33181463019688,0.0157711205135881,0.501477491291417,8,"Proteomics"
"FT5691NR","Colupdox a",NA,"Benzofurans","Unclassified",0.674841804489046,FALSE,-0.324983005343051,-0.804567250316854,-3.31858364867648,0.0160325765144687,0.501477491291417,8,"Proteomics"
"FT5055PR","2-Hydroxyethyl glucosinolate",NA,"Organooxygen compounds","Carbohydrates and carbohydrate conjugates",1.0949976084565,FALSE,-0.358435440279433,-0.803523081708286,-3.30641498538018,0.0162772456985055,0.501477491291417,8,"Proteomics"
"FT3639PR","(R)-Rhazinilam",NA,"Unclassified","Unclassified",1.41203024943906,FALSE,-1.02259020521864,-0.800050196131611,-3.26655565466755,0.0171078050610967,0.501477491291417,8,"Proteomics"
"FT4120NR","(7Z)-Tetradec-7-enoylcarnitine",NA,"Fatty Acyls","Fatty acid esters",0.415412510214087,FALSE,-0.121853561478336,-0.79905481238437,-3.25530131793482,0.0173506464104732,0.501477491291417,8,"Proteomics"
"FT5472PR","Oleoylcarnitine",NA,"Fatty Acyls","Fatty acid esters",1.66707728951866,TRUE,-0.745301815679734,-0.798853040927839,-3.25302903733623,0.0174001335434305,0.501477491291417,8,"Proteomics"
"FT2163PR","Hexyl benzoate","C14716","Benzene and substituted derivatives","Benzoic acids and derivatives",1.08597828220579,FALSE,0.356145582305962,0.797931576988773,3.24269029015659,0.0176272575848489,0.501477491291417,8,"Proteomics"
"FT2293NR","Cysteinyl-Cysteine",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",1.56938876178902,TRUE,0.638023434029496,0.794456726002659,3.20425995035233,0.0185003961676096,0.514258380867485,8,"Proteomics"
"FT1156NR","Carglumic acid","C05829","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.626082502871103,FALSE,-0.252643800160155,-0.791464781149864,-3.17185536907333,0.0192734432534923,0.514258380867485,8,"Proteomics"
"FT0497NR","L-Aspartic acid","C00049","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.0568393778502109,FALSE,-0.00275107667740518,-0.790501533785639,-3.16155374881906,0.0195265391424007,0.514258380867485,8,"Proteomics"
"FT3874NR","Gly-Glu-Asp",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",2.34534619314484,TRUE,1.74865130257465,0.78924361158595,3.14819473974098,0.019860169431885,0.514258380867485,8,"Proteomics"
"FT3064PR","Thiamine","C00378","Diazines","Pyrimidines and pyrimidine derivatives",0.69412141877619,FALSE,0.246806462328828,0.788021511498142,3.13531682476043,0.0201876813708286,0.514258380867485,8,"Proteomics"
"FT3222NR","(+-)-Trihydroxy-decipiadiene",NA,"Prenol lipids","Diterpenoids",0.90862810606297,FALSE,-0.437684818545068,-0.787642379341728,-3.13134164837239,0.0202899648118448,0.514258380867485,8,"Proteomics"
"FT3579NR","FA(22:1)","C08316","Fatty Acyls","Fatty acids and conjugates",0.89674262852532,FALSE,-0.319307535538336,-0.785505227743248,-3.10910784034797,0.020872572111007,0.51957795576328,8,"Proteomics"
"FT2908NR","2-Naphthylaminomethyl-gamma-aminobutyric acid",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",1.59856175145354,TRUE,0.768308232315897,0.783931726145586,3.09292401247012,0.0213081064914038,0.521114042965209,8,"Proteomics"
"FT4454PR","N-Palmitoyl Serine",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.71591425470298,FALSE,-0.226258531474619,-0.775085950389345,-3.00474418942967,0.0238616904472218,0.542455027678593,8,"Proteomics"
"FT6515PR","LysoPC(20:1/0:0)","C04230","Glycerophospholipids","Glycerophosphocholines",0.613464614455142,FALSE,-0.157155881912453,-0.774406545654417,-2.99816015221121,0.0240652758377148,0.542455027678593,8,"Proteomics"
"FT4958PR","MG(0:0/20:4)",NA,"Endocannabinoids","Unclassified",0.568453126355037,FALSE,-0.280860243355851,-0.772679271172173,-2.98153755232157,0.0245876948146898,0.542455027678593,8,"Proteomics"
"FT1908PR","2-Amino-3-methyl-1-pyrrolidin-1-YL-butan-1-one",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.50885694536673,FALSE,-0.213294576627999,-0.772063652841978,-2.97565297316175,0.0247755727863844,0.542455027678593,8,"Proteomics"
"FT6256PR","LysoPC(0:0/18:2)",NA,"Glycerophospholipids","Glycerophosphocholines",0.0898616677006846,FALSE,-0.0288601236637539,-0.77150578207063,-2.97033830601829,0.0249465925645233,0.542455027678593,8,"Proteomics"
"FT4022PR","Leucylphenylalanine",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",1.04498664604835,FALSE,-0.418272440410418,-0.771299872119509,-2.96838094594469,0.0250099000405796,0.542455027678593,8,"Proteomics"
"FT3918PR","2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone","C17561","Prenol lipids","Quinone and hydroquinone lipids",0.725953031917671,FALSE,0.175529973096649,0.767747110822722,2.93496674852091,0.0261178944365679,0.542455027678593,8,"Proteomics"
"FT7355PR","PC(21:0/11:0)",NA,"Glycerophospholipids","Glycerophosphocholines",0.784862390736521,FALSE,-0.321797968414171,-0.766660762215383,-2.92488228839416,0.0264626374516083,0.542455027678593,8,"Proteomics"
