"FeatureKey","Metabolite","KEGG","Class","SubClass","VIP","VIPCandidate","log2FC","PearsonR_RNA","Pvalue_RNA","padj_RNA","N_RNA","PearsonR_Protein","Pvalue_Protein","padj_Protein","N_Protein","DirectionPattern","Concordant","MeanAbsR","MinAbsR"
"FT6256PR","LysoPC(0:0/18:2)",NA,"Glycerophospholipids","Glycerophosphocholines",0.0898616677006846,FALSE,-0.0288601236637539,-0.774901699934665,0.0703010866155391,0.760267849808906,6,-0.77150578207063,0.0249465925645233,0.542455027678593,8,"RNA negative / Protein negative",TRUE,0.773203741002648,0.77150578207063
"FT3513PR","Helicallenal",NA,"Prenol lipids","Sesquiterpenoids",0.647962245377558,FALSE,0.255261829506812,0.892579283135913,0.016689040490162,0.610906718995139,6,0.763291673012148,0.0275496103802987,0.542455027678593,8,"RNA positive / Protein positive",TRUE,0.827935478074031,0.763291673012148
"FT3686PR","Linoleamide",NA,"Fatty Acyls","Fatty amides",1.30103561967089,FALSE,-0.677586207036801,-0.822254364295324,0.0445824621685985,0.717627196300257,6,-0.75496577662961,0.0303525768715425,0.542455027678593,8,"RNA negative / Protein negative",TRUE,0.788610070462467,0.75496577662961
"FT3905NR","FA(22:0;O)",NA,"Fatty Acyls","Fatty acids and conjugates",1.74093205140834,TRUE,-0.866447739921784,-0.753393850535577,0.083723263130729,0.760267849808906,6,-0.936971692823159,0.000596743589515155,0.249161067041036,8,"RNA negative / Protein negative",TRUE,0.845182771679368,0.753393850535577
"FT5227PR","N-propyl-16,16-dimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl amine",NA,"Fatty Acyls","Fatty amides",0.227145507519745,FALSE,-0.0520487649246027,0.757877102764129,0.0808382005346733,0.760267849808906,6,0.74450021734851,0.0341156515518802,0.552990747215335,8,"RNA positive / Protein positive",TRUE,0.75118866005632,0.74450021734851
"FT3744PR","Sphingosine","C00319","Organonitrogen compounds","Amines",1.05828953674145,FALSE,-0.28773855976617,-0.742625756114749,0.0908378239529374,0.760267849808906,6,-0.818546784219309,0.0129771182367388,0.501477491291417,8,"RNA negative / Protein negative",TRUE,0.780586270167029,0.742625756114749
"FT0469PR","MALEAMIC ACID",NA,"Fatty Acyls","Fatty acids and conjugates",0.709810579771127,FALSE,0.206905599612248,0.749211532329452,0.0864556310551353,0.760267849808906,6,0.741021150932573,0.0354266948863095,0.552990747215335,8,"RNA positive / Protein positive",TRUE,0.745116341631012,0.741021150932573
"FT2835NR","FA(18:0;O)",NA,"Fatty Acyls","Fatty acids and conjugates",0.238727004183663,FALSE,0.082361193185779,-0.733795742528878,0.0968648167302016,0.760267849808906,6,-0.743730877897026,0.0344029661698094,0.552990747215335,8,"RNA negative / Protein negative",TRUE,0.738763310212952,0.733795742528878
"FT6215NR","LPS(O-18:1;O/0:0)",NA,"Glycerophospholipids","Glycerophosphoserines",0.895033506670817,FALSE,-0.303165519884537,-0.762829079043777,0.0777046310439852,0.760267849808906,6,-0.726805634876925,0.0411009264646331,0.570937791154668,8,"RNA negative / Protein negative",TRUE,0.744817356960351,0.726805634876925
"FT5987PR","LysoPC(O-16:0/0:0)","C13903","Glycerophospholipids","Glycerophosphocholines",0.387011221084058,FALSE,-0.123868052421436,-0.722193017686975,0.1050449633691,0.760267849808906,6,-0.720316304853652,0.0438631627004091,0.575322528363535,8,"RNA negative / Protein negative",TRUE,0.721254661270313,0.720316304853652
"FT2305PR","sn-glycero-3-Phosphoethanolamine",NA,"Glycerophospholipids","Glycerophosphoethanolamines",1.96890490074133,TRUE,1.14157533555238,0.716370556690605,0.10926011262907,0.760267849808906,6,0.743985599218424,0.0343076756436396,0.552990747215335,8,"RNA positive / Protein positive",TRUE,0.730178077954514,0.716370556690605
"FT2725PR","3-Methylbut-2-enoylcarnitine",NA,"Fatty Acyls","Fatty acid esters",0.063366952475422,FALSE,0.0297113985876299,-0.716298938038729,0.109312415500921,0.760267849808906,6,-0.763706008184138,0.0274144747001194,0.542455027678593,8,"RNA negative / Protein negative",TRUE,0.740002473111433,0.716298938038729
"FT2885NR","2-Hexenoylcarnitine",NA,"Fatty Acyls","Fatty acid esters",3.64011917745827,TRUE,-4.16825204973238,-0.883789370762956,0.0194726584568582,0.660645558865604,6,-0.708446816399833,0.0491995005430164,0.584128132428263,8,"RNA negative / Protein negative",TRUE,0.796118093581395,0.708446816399833
"FT3082NR","MG(0:0/16:0)",NA,"Glycerolipids","Monoradylglycerols",1.45663525483969,FALSE,1.18209719490525,0.873522513374247,0.0229832299230465,0.67419337390447,6,0.70428936312293,0.0511564655865147,0.588523549803042,8,"RNA positive / Protein positive",TRUE,0.788905938248589,0.70428936312293
"FT2430NR","Polyribosylribitolphosphate",NA,"Organooxygen compounds","Carbohydrates and carbohydrate conjugates",0.743306701315629,FALSE,0.256601282241248,0.79017274074896,0.0614221354909253,0.760267849808906,6,0.702233968628032,0.0521409460289838,0.588523549803042,8,"RNA positive / Protein positive",TRUE,0.746203354688496,0.702233968628032
"FT6181PR","LysoPE(20:1/0:0)",NA,"Glycerophospholipids","Glycerophosphoethanolamines",1.48012266346662,TRUE,-0.623085071588719,-0.698818657358335,0.122405191645509,0.76696225936443,6,-0.73141966952537,0.0392028647865149,0.570937791154668,8,"RNA negative / Protein negative",TRUE,0.715119163441852,0.698818657358335
"FT3771NR","Neoabietic acid","C11889","Prenol lipids","Diterpenoids",0.57462560061635,FALSE,-0.152862750066118,-0.88566406167553,0.0188617200900228,0.655916316130542,6,-0.693629449322298,0.0563850693866309,0.595460505492148,8,"RNA negative / Protein negative",TRUE,0.789646755498914,0.693629449322298
"FT3918PR","2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone","C17561","Prenol lipids","Quinone and hydroquinone lipids",0.725953031917671,FALSE,0.175529973096649,0.683234233970907,0.134618600116106,0.777485875998432,6,0.767747110822722,0.0261178944365679,0.542455027678593,8,"RNA positive / Protein positive",TRUE,0.725490672396814,0.683234233970907
"FT2766PR","Isovalerylcarnitine",NA,"Fatty Acyls","Fatty acid esters",0.344642377265395,FALSE,-0.13369518635722,-0.681373504353102,0.136110331629718,0.779770464150909,6,-0.896918530475584,0.00253096807870687,0.319096494566148,8,"RNA negative / Protein negative",TRUE,0.789146017414343,0.681373504353102
"FT4689NR","FA(22:7;O2)",NA,"Fatty Acyls","Fatty alcohols",0.677293603040806,FALSE,0.324770438090547,0.679928756268745,0.137273456121886,0.779770464150909,6,0.760076458384381,0.0286122269880225,0.542455027678593,8,"RNA positive / Protein positive",TRUE,0.720002607326563,0.679928756268745
"FT4334NR","FA(24:1;O)",NA,"Fatty Acyls","Fatty acids and conjugates",1.53479965477808,TRUE,-0.69734356548397,-0.677970779567899,0.138856559268823,0.78198167588232,6,-0.898717602015116,0.00240411064302586,0.319096494566148,8,"RNA negative / Protein negative",TRUE,0.788344190791507,0.677970779567899
"FT2259PR","5-Isopropyl-2-(2-methylpropyl)-2-cyclohexen-1-one",NA,"Prenol lipids","Monoterpenoids",0.854156655676715,FALSE,-0.347506826721635,-0.813458567883143,0.0489509518981821,0.717627196300257,6,-0.671790006514495,0.0680591580840302,0.632530718869754,8,"RNA negative / Protein negative",TRUE,0.742624287198819,0.671790006514495
"FT2332NR","2S-hydroxypalmitic acid",NA,"Fatty Acyls","Fatty acids and conjugates",0.191189638595214,FALSE,-0.0501605060604199,-0.802165908905317,0.0548360436651063,0.72308367718528,6,-0.653343804135546,0.0789451162412023,0.645250270564314,8,"RNA negative / Protein negative",TRUE,0.727754856520431,0.653343804135546
"FT2896PR","Palmitoleamide",NA,"Fatty Acyls","Fatty amides",0.590111792836155,FALSE,-0.232429524671623,-0.894531618945552,0.0160987761478266,0.60522696274667,6,-0.650031472974304,0.0810006721437726,0.646160695925008,8,"RNA negative / Protein negative",TRUE,0.772281545959928,0.650031472974304
"FT3364NR","FA(17:2;O)",NA,"Fatty Acyls","Fatty acids and conjugates",1.08041145655469,FALSE,-0.331018493390251,-0.643581529200588,0.167912534968084,0.842783223920486,6,-0.688090955708731,0.0592224766858931,0.613701401787844,8,"RNA negative / Protein negative",TRUE,0.665836242454659,0.643581529200588
"FT2930PR","Bacillamidin F",NA,"Fatty Acyls","Fatty amides",0.80311280786506,FALSE,-0.366025325870856,-0.758175067937853,0.0806480705455359,0.760267849808906,6,-0.643040501369577,0.0854405837620847,0.646160695925008,8,"RNA negative / Protein negative",TRUE,0.700607784653715,0.643040501369577
"FT4991NR","PA(17:1/0:0)",NA,"Glycerophospholipids","Glycerophosphates",1.30327251603577,FALSE,-0.483003738557738,-0.640831850725353,0.170335977582041,0.842783223920486,6,-0.922806346364689,0.00108441581389884,0.249161067041036,8,"RNA negative / Protein negative",TRUE,0.781819098545021,0.640831850725353
"FT4578PR","FA(22:2)",NA,"Fatty Acyls","Fatty acids and conjugates",0.637467944230185,FALSE,-0.290509196541686,-0.646624707458009,0.165247435722571,0.842783223920486,6,-0.640491912604332,0.0870935237408791,0.646160695925008,8,"RNA negative / Protein negative",TRUE,0.643558310031171,0.640491912604332
"FT2434PR","(E,E)-2,4-Decadienoic isobutylamide",NA,"Fatty Acyls","Fatty amides",0.766190294074245,FALSE,-0.370313341002852,-0.861194932875946,0.0275631020170623,0.717627196300257,6,-0.638820679948658,0.08818742427682,0.646418800550132,8,"RNA negative / Protein negative",TRUE,0.750007806412302,0.638820679948658
"FT5501NR","7alpha-Hydroxycampesterol",NA,"Steroids and steroid derivatives","Ergostane steroids",0.5642257254608,FALSE,0.189407991676731,0.808676422940405,0.0514053945721565,0.717627196300257,6,0.638016635713975,0.088716530706234,0.646418800550132,8,"RNA positive / Protein positive",TRUE,0.72334652932719,0.638016635713975
"FT3860NR","Prostaglandin F2a","C00639","Fatty Acyls","Eicosanoids",0.92189815224096,FALSE,0.299608659060848,0.857869713370712,0.028865939299899,0.717627196300257,6,0.635488022944918,0.0903924592335265,0.646427276261756,8,"RNA positive / Protein positive",TRUE,0.746678868157815,0.635488022944918
"FT3361NR","11-cis- and 12s-trans-fixed retinal",NA,"Prenol lipids","Sesquiterpenoids",0.822254574953933,FALSE,-0.405936571189522,-0.655227440392748,0.157810944162381,0.834619344496697,6,-0.631831837967458,0.0928478586354224,0.649354375579589,8,"RNA negative / Protein negative",TRUE,0.643529639180103,0.631831837967458
"FT3965NR","PC(O-1:0/2:0)",NA,"Glycerophospholipids","Glycerophosphocholines",0.806838764185256,FALSE,0.242947420463131,0.630028274472416,0.179997922254016,0.842783223920486,6,0.743427645865362,0.0345166152830531,0.552990747215335,8,"RNA positive / Protein positive",TRUE,0.686727960168889,0.630028274472416
"FT2318NR","Phosphocitrate",NA,"Carboxylic acids and derivatives","Tricarboxylic acids and derivatives",0.699849204967707,FALSE,0.155292051157251,0.82338070460951,0.0440367989454977,0.717627196300257,6,0.628677874224156,0.0949965513493552,0.649388909815683,8,"RNA positive / Protein positive",TRUE,0.726029289416833,0.628677874224156
"FT3312NR","FA(20:1;O)",NA,"Fatty Acyls","Fatty acids and conjugates",0.154629198955512,FALSE,-0.0305568674456865,-0.624242896445469,0.185262889631255,0.842783223920486,6,-0.702113799751675,0.052198852443578,0.588523549803042,8,"RNA negative / Protein negative",TRUE,0.663178348098572,0.624242896445469
"FT2801NR","FA(18:1;O)","C08365","Fatty Acyls","Fatty acids and conjugates",0.566666090969752,FALSE,-0.202213382134986,-0.62234619341395,0.187002650758903,0.842783223920486,6,-0.629231377353837,0.0946174167825424,0.649388909815683,8,"RNA negative / Protein negative",TRUE,0.625788785383893,0.62234619341395
"FT3363NR","FA(19:3)",NA,"Fatty Acyls","Lineolic acids and derivatives",1.14116868971557,FALSE,-0.327094787817454,-0.622324088138394,0.187022966578333,0.842783223920486,6,-0.829573571282201,0.0108472854554632,0.46054811591609,8,"RNA negative / Protein negative",TRUE,0.725948829710297,0.622324088138394
"FT6543PR","LysoPE(24:6/0:0)",NA,"Glycerophospholipids","Glycerophosphoethanolamines",0.931674902593566,FALSE,-0.403260743786768,-0.655772212902535,0.157344902214496,0.834619344496697,6,-0.611241770900987,0.10738814331717,0.675854684599613,8,"RNA negative / Protein negative",TRUE,0.633506991901761,0.611241770900987
"FT4368NR","6,7-dihydro-12-epi-LTB4",NA,"Fatty Acyls","Eicosanoids",2.57219553870831,TRUE,-1.91228715358657,-0.806801988704804,0.0523826039137911,0.717627196300257,6,-0.611226876779132,0.107399100765049,0.675854684599613,8,"RNA negative / Protein negative",TRUE,0.709014432741968,0.611226876779132
"FT5804PR","Glucosylsphingosine","C03108","Sphingolipids","Glycosphingolipids",1.64458757965763,TRUE,-0.698642001661402,-0.610596088491306,0.197929399279528,0.842783223920486,6,-0.900546653921069,0.00227943969563066,0.319096494566148,8,"RNA negative / Protein negative",TRUE,0.755571371206188,0.610596088491306
"FT1181NR","1-Acetyl-2-methylcyclopentene",NA,"Prenol lipids","Monoterpenoids",1.09960936469296,FALSE,-0.286910056660422,-0.609210138060384,0.19923500207336,0.842783223920486,6,-0.841278237488785,0.00884430904505931,0.425136786510782,8,"RNA negative / Protein negative",TRUE,0.725244187774585,0.609210138060384
"FT6800NR","LPS(O-19:1;O/0:0)",NA,"Glycerophospholipids","Glycerophosphoserines",0.946775461668051,FALSE,0.32029150015615,0.945119391136769,0.00443517490595732,0.543555659481085,6,0.609175181884001,0.10891459998173,0.675854684599613,8,"RNA positive / Protein positive",TRUE,0.777147286510385,0.609175181884001
"FT5356PR","DG(2:0/18:1-O(9S,10R)/0:0)",NA,"Glycerolipids","Diradylglycerols",0.297754984190422,FALSE,-0.061156825183986,-0.606473118268653,0.201823653212107,0.842783223920486,6,-0.760414001213762,0.0284995043722775,0.542455027678593,8,"RNA negative / Protein negative",TRUE,0.683443559741208,0.606473118268653
"FT4461NR","N-Acetylneuraminic acid 9-phosphate","C06241","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",1.68463516398889,TRUE,0.721288046926666,0.606147575345551,0.202132457249319,0.842783223920486,6,0.883261046992923,0.00363719297088668,0.338016466761069,8,"RNA positive / Protein positive",TRUE,0.744704311169237,0.606147575345551
"FT4457PR","N-Acetylsphinganine",NA,"Sphingolipids","Ceramides",1.15323582459959,FALSE,-0.89093760075667,-0.821119875814005,0.0451352362970902,0.717627196300257,6,-0.605177139012362,0.111902538539188,0.679592045882456,8,"RNA negative / Protein negative",TRUE,0.713148507413183,0.605177139012362
"FT3462NR","FA(22:4)",NA,"Fatty Acyls","Fatty acids and conjugates",0.343746332219962,FALSE,-0.0898913488805049,-0.602869248002967,0.205252943053506,0.844694804104814,6,-0.862418484561103,0.00585727192936774,0.408251853476931,8,"RNA negative / Protein negative",TRUE,0.732643866282035,0.602869248002967
